name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Hominidae	9604	F	14508477	585109	15093586	0.62909
Nectriaceae	110618	F	17146	1459	18605	0.00078
Clavicipitaceae	34397	F	8395	166	8561	0.00036
Ophiocordycipitaceae	474942	F	6102	395	6497	0.00027
Hypocreaceae	5129	F	4963	612	5575	0.00023
Cordycipitaceae	474943	F	1526	75	1601	0.00007
Glomerellaceae	681950	F	7201	660	7861	0.00033
Sordariaceae	5148	F	5076	400	5476	0.00023
Chaetomiaceae	35718	F	3806	89	3895	0.00016
Podosporaceae	2609812	F	3391	2096	5487	0.00023
Pyriculariaceae	2528436	F	5818	25	5843	0.00024
Sclerotiniaceae	28983	F	2890	197	3087	0.00013
Aspergillaceae	1131492	F	14391	487	14878	0.00062
Trichocomaceae	28568	F	2958	182	3140	0.00013
Onygenaceae	33184	F	1364	136	1500	0.00006
Pleosporaceae	28556	F	2488	253	2741	0.00011
Didymellaceae	683158	F	2187	151	2338	0.00010
Mycosphaerellaceae	93133	F	4683	337	5020	0.00021
Saccharomycetaceae	4893	F	46796	5689	52485	0.00219
Saccharomycodaceae	34365	F	1729	353	2082	0.00009
Debaryomycetaceae	766764	F	15893	2081	17974	0.00075
Metschnikowiaceae	27319	F	1537	70	1607	0.00007
Pichiaceae	1156497	F	3587	259	3846	0.00016
Trichomonascaceae	410830	F	1025	1012	2037	0.00008
Schizosaccharomycetaceae	4894	F	2230	75	2305	0.00010
Cryptococcaceae	1884633	F	31761	1282	33043	0.00138
Trichosporonaceae	1759442	F	3187	177	3364	0.00014
Strophariaceae	40562	F	2040	34	2074	0.00009
Marasmiaceae	654128	F	1502	40	1542	0.00006
Ceratobasidiaceae	5250	F	1352	19	1371	0.00006
Pucciniaceae	5262	F	13925	471	14396	0.00060
Ustilaginaceae	5268	F	2146	152	2298	0.00010
Malasseziaceae	742845	F	1552	85	1637	0.00007
Glomeraceae	36751	F	16466	562	17028	0.00071
Nosematidae	27974	F	1751	12	1763	0.00007
Unikaryonidae	36734	F	742	0	742	0.00003
Plasmodiidae	1639119	F	49304	830	50134	0.00209
Theileriidae	27994	F	4467	60	4527	0.00019
Babesiidae	32594	F	2083	19	2102	0.00009
Sarcocystidae	5809	F	7890	138	8028	0.00033
Cryptosporidiidae	35082	F	1763	83	1846	0.00008
Parameciidae	340080	F	131	0	131	0.00001
Peronosporaceae	4777	F	22471	14	22485	0.00094
Phaeodactylaceae	38749	F	1983	13	1996	0.00008
Thalassiosiraceae	29202	F	1332	402	1734	0.00007
Trypanosomatidae	5654	F	28098	17	28115	0.00117
Vahlkampfiidae	5765	F	13088	0	13088	0.00055
Trichomonadidae	181550	F	8816	3	8819	0.00037
Hexamitidae	5739	F	2637	0	2637	0.00011
Dictyosteliaceae	2058185	F	9095	69	9164	0.00038
Hemiselmidaceae	589351	F	225	1	226	0.00001
Cryptomonadaceae	2896	F	113	3	116	0.00000
Geminigeraceae	589343	F	232	90	322	0.00001
Hafniaceae	1903412	F	966256	146962	1113218	0.04640
Enterobacteriaceae	543	F	252281	71347	323628	0.01349
Morganellaceae	1903414	F	25905	12751	38656	0.00161
Erwiniaceae	1903409	F	19811	259	20070	0.00084
Yersiniaceae	1903411	F	11511	1036	12547	0.00052
Pectobacteriaceae	1903410	F	7183	145	7328	0.00031
Bruguierivoracaceae	2812006	F	1456	24	1480	0.00006
Budviciaceae	1903416	F	721	10	731	0.00003
Gallaecimonadaceae	3120698	F	500	5	505	0.00002
Aeromonadaceae	84642	F	593665	24643	618308	0.02577
