name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Homo	9605	G	14508477	585109	15093586	0.62912
Fusarium	5506	G	17146	1459	18605	0.00078
Ustilaginoidea	124426	G	2898	108	3006	0.00013
Metarhizium	5529	G	2766	38	2804	0.00012
Pochonia	243023	G	2705	45	2750	0.00011
Purpureocillium	1052105	G	4195	422	4617	0.00019
Drechmeria	98402	G	1836	44	1880	0.00008
Trichoderma	5543	G	4963	612	5575	0.00023
Akanthomyces	150366	G	1526	75	1601	0.00007
Colletotrichum	5455	G	7201	660	7861	0.00033
Neurospora	5140	G	2820	104	2924	0.00012
Sordaria	5146	G	2227	324	2551	0.00011
Thermothielavioides	2609811	G	2180	67	2247	0.00009
Thermothelomyces	1920207	G	1619	29	1648	0.00007
Podospora	5144	G	3391	92	3483	0.00015
Remersonia	72143	G	1950	54	2004	0.00008
Pyricularia	48558	G	5818	25	5843	0.00024
Botrytis	33196	G	2890	197	3087	0.00013
Aspergillus	5052	G	11266	280	11546	0.00048
Penicillium	5073	G	3058	274	3332	0.00014
Talaromyces	5094	G	2958	182	3140	0.00013
Coccidioides	5500	G	1364	136	1500	0.00006
Pyrenophora	5027	G	1333	223	1556	0.00006
Alternaria	5598	G	1149	36	1185	0.00005
Ascochyta	5453	G	2187	151	2338	0.00010
Fulvia	2897311	G	2043	92	2135	0.00009
Cercospora	29002	G	1467	220	1687	0.00007
Zymoseptoria	1047167	G	1160	37	1197	0.00005
Kluyveromyces	4910	G	19499	3719	23218	0.00097
Saccharomyces	4930	G	10135	430	10565	0.00044
Huiozyma	3163251	G	4368	236	4604	0.00019
Naumovozyma	278028	G	2978	142	3120	0.00013
Henningerozyma	3163253	G	2297	173	2470	0.00010
Tetrapisispora	113604	G	1536	53	1589	0.00007
Eremothecium	33170	G	1411	871	2282	0.00010
Kazachstania	71245	G	928	32	960	0.00004
Nakaseomyces	374468	G	856	184	1040	0.00004
Torulaspora	4948	G	828	79	907	0.00004
Zygotorulaspora	1196389	G	609	101	710	0.00003
Lachancea	300275	G	488	53	541	0.00002
Zygosaccharomyces	4953	G	434	39	473	0.00002
Saccharomycodes	36034	G	1729	353	2082	0.00009
Candida	5475	G	7115	273	7388	0.00031
Lodderomyces	36913	G	6133	1764	7897	0.00033
Debaryomyces	4958	G	1251	5	1256	0.00005
Scheffersomyces	766733	G	837	24	861	0.00004
Yamadazyma	766765	G	494	77	571	0.00002
Australozyma	3300567	G	785	18	803	0.00003
Candidozyma	3303203	G	717	86	803	0.00003
Brettanomyces	13366	G	1359	170	1529	0.00006
Pichia	4919	G	1155	63	1218	0.00005
Komagataella	460517	G	600	3	603	0.00003
Ogataea	461281	G	473	22	495	0.00002
Sugiyamaella	410829	G	1025	185	1210	0.00005
Yarrowia	4951	G	824	2	826	0.00003
Schizosaccharomyces	4895	G	2230	75	2305	0.00010
Kwoniella	490731	G	26887	854	27741	0.00116
Cryptococcus	5206	G	4831	471	5302	0.00022
Vanrija	1851468	G	2081	146	2227	0.00009
Cutaneotrichosporon	1838142	G	1084	52	1136	0.00005
Psilocybe	71950	G	2040	34	2074	0.00009
Marasmius	34448	G	1502	40	1542	0.00006
Rhizoctonia	1322061	G	1352	19	1371	0.00006
Puccinia	5296	G	13925	471	14396	0.00060
Sporisorium	63265	G	1473	151	1624	0.00007
Mycosarcoma	2689624	G	672	1	673	0.00003
Malassezia	55193	G	1552	85	1637	0.00007
Rhizophagus	1129544	G	16466	562	17028	0.00071
Vairimorpha	6038	G	1751	12	1763	0.00007
Encephalitozoon	6033	G	742	0	742	0.00003
Plasmodium	5820	G	49304	830	50134	0.00209
Theileria	5873	G	4467	60	4527	0.00019
Babesia	5864	G	2083	19	2102	0.00009
Toxoplasma	5810	G	3657	225	3882	0.00016
Neospora	29175	G	2077	2	2079	0.00009
Besnoitia	94642	G	2050	16	2066	0.00009
Cryptosporidium	5806	G	1763	83	1846	0.00008
Paramecium	5884	G	131	0	131	0.00001
Bremia	4778	G	22471	14	22485	0.00094
Phaeodactylum	2849	G	1983	13	1996	0.00008
Thalassiosira	35127	G	1332	33	1365	0.00006
Bigelowiella	227085	G	369	0	369	0.00002
Leishmania	5658	G	23304	201	23505	0.00098
Porcisia	2761499	G	2265	26	2291	0.00010
Trypanosoma	5690	G	2260	59	2319	0.00010
Naegleria	5761	G	13088	0	13088	0.00055
Trichomonas	5721	G	8816	3	8819	0.00037
Spironucleus	39709	G	2085	0	2085	0.00009
Giardia	5740	G	552	0	552	0.00002
Dictyostelium	5782	G	9095	69	9164	0.00038
Hemiselmis	77924	G	225	1	226	0.00001
Cryptomonas	3030	G	113	3	116	0.00000
Guillardia	55528	G	232	90	322	0.00001
Edwardsiella	635	G	965239	147043	1112282	0.04636
Hafnia	568	G	863	37	900	0.00004
Obesumbacterium	82982	G	43	4	47	0.00000
Plesiomonas	702	G	136288	8554	144842	0.00604
Klebsiella	570	G	36377	26485	62862	0.00262
