name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Chordata	7711	P	14508477	585103	15093580	0.62905
Ascomycota	4890	P	177407	7046	184453	0.00769
Basidiomycota	5204	P	57860	1867	59727	0.00249
Mucoromycota	1913637	P	16466	562	17028	0.00071
Microsporidia	6029	P	2502	12	2514	0.00010
Apicomplexa	5794	P	66093	547	66640	0.00278
Ciliophora	5878	P	131	0	131	0.00001
Oomycota	4762	P	22471	14	22485	0.00094
Bacillariophyta	2836	P	3344	17	3361	0.00014
Cercozoa	136419	P	369	0	369	0.00002
Euglenozoa	33682	P	28098	17	28115	0.00117
Heterolobosea	5752	P	13088	0	13088	0.00055
Parabasalia	5719	P	8816	3	8819	0.00037
Fornicata	207245	P	2637	0	2637	0.00011
Evosea	2605435	P	9096	734	9830	0.00041
Pseudomonadota	1224	P	2709094	211342	2920436	0.12171
Bacteroidota	976	P	1099143	5603	1104746	0.04604
Chlorobiota	1090	P	1474	1	1475	0.00006
Rhodothermota	1853220	P	1212	2	1214	0.00005
Ignavibacteriota	1134404	P	919	1	920	0.00004
Balneolota	1936987	P	597	21	618	0.00003
Gemmatimonadota	142182	P	1164	7	1171	0.00005
Candidatus Cloacimonadota	456828	P	176	0	176	0.00001
Fibrobacterota	65842	P	151	14	165	0.00001
Fidelibacterota	62680	P	120	0	120	0.00001
Campylobacterota	29547	P	57482	2866	60348	0.00252
Thermodesulfobacteriota	200940	P	52930	225	53155	0.00222
Planctomycetota	203682	P	18631	14	18645	0.00078
Verrucomicrobiota	74201	P	11493	40	11533	0.00048
Chlamydiota	204428	P	3669	13	3682	0.00015
Kiritimatiellota	134625	P	520	53	573	0.00002
Lentisphaerota	256845	P	272	0	272	0.00001
Candidatus Omnitrophota	67812	P	27	0	27	0.00000
Myxococcota	2818505	P	34578	82	34660	0.00144
Spirochaetota	203691	P	28359	196	28555	0.00119
Bdellovibrionota	3018035	P	6222	3	6225	0.00026
Acidobacteriota	57723	P	5881	2	5883	0.00025
Aquificota	200783	P	1769	2	1771	0.00007
Nitrospirota	40117	P	1756	0	1756	0.00007
Deferribacterota	200930	P	1438	3	1441	0.00006
Elusimicrobiota	74152	P	1079	0	1079	0.00004
Atribacterota	67818	P	548	0	548	0.00002
Dictyoglomota	68297	P	515	0	515	0.00002
Thermodesulfobiota	3002442	P	474	0	474	0.00002
Calditrichota	1930617	P	299	0	299	0.00001
Thermomicrobiota	3027942	P	217	0	217	0.00001
Caldisericota	67814	P	152	0	152	0.00001
Thermosulfidibacterota	3123113	P	112	0	112	0.00000
Chrysiogenota	200938	P	109	6	115	0.00000
Nitrospinota	1293497	P	84	0	84	0.00000
Coprothermobacterota	2138240	P	72	3	75	0.00000
Bacillota	1239	P	2109279	82843	2192122	0.09136
Actinomycetota	201174	P	680339	5525	685864	0.02858
Cyanobacteriota	1117	P	53724	38	53762	0.00224
Mycoplasmatota	544448	P	41593	335	41928	0.00175
Chloroflexota	200795	P	3147	25	3172	0.00013
Armatimonadota	67819	P	294	0	294	0.00001
Vulcanimicrobiota	1154676	P	25	0	25	0.00000
Fusobacteriota	32066	P	1126821	11403	1138224	0.04744
Deinococcota	1297	P	8527	15	8542	0.00036
Thermotogota	200918	P	5625	131	5756	0.00024
Synergistota	508458	P	938	4	942	0.00004
Candidatus Saccharimonadota	95818	P	382	262	644	0.00003
Minisyncoccota	1752724	P	140	74	214	0.00001
Candidatus Absconditibacteriota	221235	P	105	0	105	0.00000
Candidatus Fervidibacterota	1383058	P	76	0	76	0.00000
Candidatus Bipolaricaulota	67810	P	16	608	624	0.00003
Methanobacteriota	28890	P	39105	142	39247	0.00164
Thermoplasmatota	2283796	P	1601	0	1601	0.00007
Thermoproteota	28889	P	8327	14	8341	0.00035
Nitrososphaerota	651137	P	4375	4	4379	0.00018
Promethearchaeota	3366641	P	954	1	955	0.00004
Candidatus Nanohalarchaeota	1462430	P	160	6	166	0.00001
Nanobdellota	192989	P	63	0	63	0.00000
Microcaldota	1801631	P	48	0	48	0.00000
Preplasmiviricota	2732008	P	7967	0	7967	0.00033
Nucleocytoviricota	2732007	P	5859	1	5860	0.00024
Produgelaviricota	3412607	P	12	0	12	0.00000
Uroviricota	2731618	P	8529	2693	11222	0.00047
Peploviricota	2731361	P	956	0	956	0.00004
Negarnaviricota	2497569	P	1191	0	1191	0.00005
Pisuviricota	2732408	P	422	0	422	0.00002
Kitrinoviricota	2732406	P	179	0	179	0.00001
Duplornaviricota	2732405	P	100	0	100	0.00000
Lenarviricota	2732407	P	92	0	92	0.00000
Artverviricota	2732409	P	946	1343	2289	0.00010
Cossaviricota	2732415	P	442	0	442	0.00002
Cressdnaviricota	2732416	P	151	0	151	0.00001
Commensaviricota	3412625	P	22	0	22	0.00000
Taleaviricota	2840024	P	36	16	52	0.00000
