name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Hominidae	9604	F	14098623	1711101	15809724	0.41249
Nectriaceae	110618	F	18869	843	19712	0.00051
Clavicipitaceae	34397	F	7109	86	7195	0.00019
Hypocreaceae	5129	F	5868	544	6412	0.00017
Ophiocordycipitaceae	474942	F	5756	198	5954	0.00016
Cordycipitaceae	474943	F	1599	53	1652	0.00004
Glomerellaceae	681950	F	7495	402	7897	0.00021
Sordariaceae	5148	F	6018	254	6272	0.00016
Chaetomiaceae	35718	F	5483	97	5580	0.00015
Podosporaceae	2609812	F	3452	63	3515	0.00009
Pyriculariaceae	2528436	F	6722	40	6762	0.00018
Sclerotiniaceae	28983	F	3568	417	3985	0.00010
Aspergillaceae	1131492	F	14627	811	15438	0.00040
Trichocomaceae	28568	F	3019	350	3369	0.00009
Onygenaceae	33184	F	1439	234	1673	0.00004
Mycosphaerellaceae	93133	F	4887	140	5027	0.00013
Pleosporaceae	28556	F	2600	325	2925	0.00008
Didymellaceae	683158	F	2265	95	2360	0.00006
Saccharomycetaceae	4893	F	40730	7260	47990	0.00125
Saccharomycodaceae	34365	F	1805	395	2200	0.00006
Debaryomycetaceae	766764	F	14128	1084	15212	0.00040
Metschnikowiaceae	27319	F	1267	41	1308	0.00003
Pichiaceae	1156497	F	4530	196	4726	0.00012
Trichomonascaceae	410830	F	1173	1031	2204	0.00006
Schizosaccharomycetaceae	4894	F	2800	108	2908	0.00008
Cryptococcaceae	1884633	F	18405	640	19045	0.00050
Trichosporonaceae	1759442	F	3377	289	3666	0.00010
Strophariaceae	40562	F	2263	20	2283	0.00006
Marasmiaceae	654128	F	1417	17	1434	0.00004
Ceratobasidiaceae	5250	F	1646	6	1652	0.00004
Pucciniaceae	5262	F	14388	524	14912	0.00039
Ustilaginaceae	5268	F	1612	751	2363	0.00006
Malasseziaceae	742845	F	1011	92	1103	0.00003
Glomeraceae	36751	F	22497	2325	24822	0.00065
Nosematidae	27974	F	2801	47	2848	0.00007
Unikaryonidae	36734	F	790	0	790	0.00002
Fabaceae	3803	F	1305213	140825	1446038	0.03773
Rosaceae	3745	F	251057	37272	288329	0.00752
Cannabaceae	3481	F	201594	64900	266494	0.00695
Rhamnaceae	3608	F	49523	28089	77612	0.00202
Fagaceae	3503	F	202640	46151	248791	0.00649
Juglandaceae	16714	F	158349	32787	191136	0.00499
Betulaceae	3514	F	91771	49015	140786	0.00367
Euphorbiaceae	3977	F	323615	84469	408084	0.01065
Salicaceae	3688	F	126497	106188	232685	0.00607
Cucurbitaceae	3650	F	212499	223709	436208	0.01138
Celastraceae	4305	F	30934	19192	50126	0.00131
Malvaceae	3629	F	339174	24980	364154	0.00950
Brassicaceae	3700	F	226329	204727	431056	0.01125
Myrtaceae	3931	F	76185	20689	96874	0.00253
Lythraceae	3928	F	28975	6127	35102	0.00092
Anacardiaceae	4011	F	51057	11850	62907	0.00164
Rutaceae	23513	F	43992	10026	54018	0.00141
Vitaceae	3602	F	83386	19871	103257	0.00269
Solanaceae	4070	F	1224872	187644	1412516	0.03685
Convolvulaceae	4118	F	50075	12527	62602	0.00163
Gesneriaceae	26122	F	197163	17687	214850	0.00561
Lamiaceae	4136	F	153503	11125	164628	0.00430
Oleaceae	4144	F	104410	3948	108358	0.00283
Pedaliaceae	4180	F	35287	4395	39682	0.00104
Rubiaceae	24966	F	82060	80468	162528	0.00424
Asteraceae	4210	F	889480	200444	1089924	0.02844
Apiaceae	4037	F	190869	11795	202664	0.00529
Balsaminaceae	25692	F	75403	6180	81583	0.00213
Actinidiaceae	3623	F	73065	3912	76977	0.00201
Ebenaceae	19955	F	63187	3043	66230	0.00173
Ericaceae	4345	F	41594	4934	46528	0.00121
Caryophyllaceae	3568	F	106338	1675	108013	0.00282
Chenopodiaceae	1804623	F	103155	132345	235500	0.00614
Amaranthaceae	3563	F	55891	38575	94466	0.00246
Ximeniaceae	1003242	F	134933	3997	138930	0.00362
Poaceae	4479	F	1198218	110439	1308657	0.03414
Cyperaceae	4609	F	46165	32343	78508	0.00205
Typhaceae	4731	F	44192	3185	47377	0.00124
Bromeliaceae	4613	F	35865	6637	42502	0.00111
Zingiberaceae	4642	F	183231	7432	190663	0.00497
Musaceae	4637	F	69701	124255	193956	0.00506
Arecaceae	4710	F	166064	17283	183347	0.00478
Asparagaceae	40552	F	73297	2756	76053	0.00198
Dioscoreaceae	4671	F	61393	3102	64495	0.00168
Araceae	4454	F	33685	2105	35790	0.00093
Proteaceae	4328	F	427805	45154	472959	0.01234
Papaveraceae	3465	F	148078	4672	152750	0.00399
Magnoliaceae	3401	F	111235	2033	113268	0.00296
Nymphaeaceae	4410	F	37928	5551	43479	0.00113
Cupressaceae	3367	F	545436	104263	649699	0.01695
Funariaceae	3216	F	56239	3173	59412	0.00155
Chlamydomonadaceae	3051	F	12877	367	13244	0.00035
Bathycoccaceae	1525212	F	2185	75	2260	0.00006
Mamiellaceae	41873	F	1342	83	1425	0.00004
Plasmodiidae	1639119	F	50878	982	51860	0.00135
Theileriidae	27994	F	5305	54	5359	0.00014
Babesiidae	32594	F	2693	29	2722	0.00007
Sarcocystidae	5809	F	9923	322	10245	0.00027
Cryptosporidiidae	35082	F	2217	27	2244	0.00006
Parameciidae	340080	F	174	0	174	0.00000
Phaeodactylaceae	38749	F	1990	3	1993	0.00005
Thalassiosiraceae	29202	F	1171	4	1175	0.00003
Peronosporaceae	4777	F	2458	130	2588	0.00007
Trypanosomatidae	5654	F	30976	44	31020	0.00081
Vahlkampfiidae	5765	F	1690	0	1690	0.00004
Trichomonadidae	181550	F	13010	20	13030	0.00034
Hexamitidae	5739	F	3242	2	3244	0.00008
Dictyosteliaceae	2058185	F	7480	165	7645	0.00020
Cyanidiaceae	265316	F	743	2	745	0.00002
Hemiselmidaceae	589351	F	125	1	126	0.00000
Cryptomonadaceae	2896	F	98	6	104	0.00000
Geminigeraceae	589343	F	181	40	221	0.00001
Hafniaceae	1903412	F	967001	113598	1080599	0.02819
Enterobacteriaceae	543	F	263675	71309	334984	0.00874
Morganellaceae	1903414	F	32234	10879	43113	0.00112
Erwiniaceae	1903409	F	24901	1324	26225	0.00068
Yersiniaceae	1903411	F	15135	1079	16214	0.00042
Pectobacteriaceae	1903410	F	8334	123	8457	0.00022
Bruguierivoracaceae	2812006	F	1649	18	1667	0.00004
Budviciaceae	1903416	F	799	8	807	0.00002
Gallaecimonadaceae	3120698	F	392	7	399	0.00001
Aeromonadaceae	84642	F	595346	57411	652757	0.01703
Succinivibrionaceae	83763	F	728	0	728	0.00002
Pseudomonadaceae	135621	F	82272	3590	85862	0.00224
Marinobacteraceae	2887365	F	3675	185	3860	0.00010
Candidatus Njordibacteraceae	3457296	F	542	2	544	0.00001
Ketobacteraceae	3085096	F	190	0	190	0.00000
Pseudohongiellaceae	3085095	F	123	0	123	0.00000
Vibrionaceae	641	F	74264	1510	75774	0.00198
Shewanellaceae	267890	F	16437	242	16679	0.00044
Pseudoalteromonadaceae	267888	F	14335	305	14640	0.00038
Alteromonadaceae	72275	F	14027	114	14141	0.00037
Colwelliaceae	267889	F	8383	92	8475	0.00022
Psychromonadaceae	267894	F	2287	12	2299	0.00006
Moritellaceae	267891	F	1280	23	1303	0.00003
Idiomarinaceae	267893	F	1187	15	1202	0.00003
