name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Homo	9605	G	14098623	1711102	15809725	0.41250
Fusarium	5506	G	18869	843	19712	0.00051
Metarhizium	5529	G	2718	25	2743	0.00007
Pochonia	243023	G	2237	24	2261	0.00006
Ustilaginoidea	124426	G	2148	42	2190	0.00006
Trichoderma	5543	G	5868	544	6412	0.00017
Purpureocillium	1052105	G	4096	230	4326	0.00011
Drechmeria	98402	G	1590	38	1628	0.00004
Akanthomyces	150366	G	1599	53	1652	0.00004
Colletotrichum	5455	G	7495	402	7897	0.00021
Neurospora	5140	G	3365	113	3478	0.00009
Sordaria	5146	G	2583	210	2793	0.00007
Thermothielavioides	2609811	G	2098	76	2174	0.00006
Remersonia	72143	G	1794	65	1859	0.00005
Thermothelomyces	1920207	G	1518	29	1547	0.00004
Podospora	5144	G	3452	63	3515	0.00009
Pyricularia	48558	G	6722	40	6762	0.00018
Botrytis	33196	G	3568	417	3985	0.00010
Aspergillus	5052	G	10974	458	11432	0.00030
Penicillium	5073	G	3578	427	4005	0.00010
Talaromyces	5094	G	3019	350	3369	0.00009
Coccidioides	5500	G	1439	234	1673	0.00004
Fulvia	2897311	G	2061	40	2101	0.00005
Cercospora	29002	G	1470	85	1555	0.00004
Zymoseptoria	1047167	G	1356	13	1369	0.00004
Alternaria	5598	G	1393	45	1438	0.00004
Pyrenophora	5027	G	1206	280	1486	0.00004
Ascochyta	5453	G	2265	95	2360	0.00006
Kluyveromyces	4910	G	17481	4412	21893	0.00057
Saccharomyces	4930	G	6099	723	6822	0.00018
Naumovozyma	278028	G	3420	191	3611	0.00009
Henningerozyma	3163253	G	2972	213	3185	0.00008
Tetrapisispora	113604	G	2134	63	2197	0.00006
Eremothecium	33170	G	2038	1241	3279	0.00009
Nakaseomyces	374468	G	1206	217	1423	0.00004
Huiozyma	3163251	G	1123	61	1184	0.00003
Kazachstania	71245	G	1089	44	1133	0.00003
Zygosaccharomyces	4953	G	893	77	970	0.00003
Torulaspora	4948	G	865	105	970	0.00003
Zygotorulaspora	1196389	G	689	95	784	0.00002
Lachancea	300275	G	496	39	535	0.00001
Saccharomycodes	36034	G	1805	395	2200	0.00006
Candida	5475	G	7247	405	7652	0.00020
Lodderomyces	36913	G	3460	610	4070	0.00011
Debaryomyces	4958	G	1788	21	1809	0.00005
Scheffersomyces	766733	G	1086	23	1109	0.00003
Yamadazyma	766765	G	538	31	569	0.00001
Australozyma	3300567	G	654	10	664	0.00002
Candidozyma	3303203	G	612	32	644	0.00002
Brettanomyces	13366	G	1887	122	2009	0.00005
Pichia	4919	G	1339	46	1385	0.00004
Komagataella	460517	G	771	7	778	0.00002
Ogataea	461281	G	533	19	552	0.00001
Sugiyamaella	410829	G	1173	78	1251	0.00003
Yarrowia	4951	G	952	1	953	0.00002
Schizosaccharomyces	4895	G	2800	108	2908	0.00008
Kwoniella	490731	G	12627	406	13033	0.00034
Cryptococcus	5206	G	5747	264	6011	0.00016
Vanrija	1851468	G	2237	227	2464	0.00006
Cutaneotrichosporon	1838142	G	1121	80	1201	0.00003
Psilocybe	71950	G	2263	20	2283	0.00006
Marasmius	34448	G	1417	17	1434	0.00004
Rhizoctonia	1322061	G	1646	6	1652	0.00004
Puccinia	5296	G	14388	524	14912	0.00039
Sporisorium	63265	G	1612	159	1771	0.00005
Mycosarcoma	2689624	G	590	2	592	0.00002
Malassezia	55193	G	1011	92	1103	0.00003
Rhizophagus	1129544	G	22497	2325	24822	0.00065
Vairimorpha	6038	G	2801	47	2848	0.00007
Encephalitozoon	6033	G	790	0	790	0.00002
Lathyrus	3853	G	156796	10768	167564	0.00437
Vicia	3904	G	127218	5729	132947	0.00347
Medicago	3877	G	54506	4646	59152	0.00154
Trifolium	3898	G	45656	50388	96044	0.00251
Cicer	3826	G	65017	5415	70432	0.00184
Lotus	3867	G	46477	6796	53273	0.00139
Vigna	3913	G	186536	33694	220230	0.00575
Glycine	3846	G	123575	12118	135693	0.00354
Cajanus	3820	G	75975	8175	84150	0.00220
Phaseolus	3883	G	64271	5608	69879	0.00182
Arachis	3817	G	231210	27769	258979	0.00676
Lupinus	3869	G	89491	8199	97690	0.00255
Malus	3749	G	54183	13920	68103	0.00178
Pyrus	3766	G	32772	11314	44086	0.00115
Prunus	3754	G	51636	8327	59963	0.00156
Rosa	3764	G	57484	2935	60419	0.00158
Fragaria	3746	G	20352	4095	24447	0.00064
Argentina	3131914	G	19705	11603	31308	0.00082
Humulus	3484	G	140241	57347	197588	0.00516
Cannabis	3482	G	60448	8458	68906	0.00180
Ziziphus	72171	G	49523	28089	77612	0.00202
Quercus	3511	G	116904	44645	161549	0.00422
Castanea	21019	G	69089	18153	87242	0.00228
Juglans	16718	G	94463	23216	117679	0.00307
Carya	13402	G	56004	17453	73457	0.00192
Alnus	3515	G	49436	46197	95633	0.00250
Corylus	13450	G	40753	4399	45152	0.00118
Hevea	3980	G	98815	7033	105848	0.00276
Manihot	3982	G	59368	21349	80717	0.00211
Mercurialis	3984	G	44568	39245	83813	0.00219
Ricinus	3987	G	42970	8587	51557	0.00135
Euphorbia	3990	G	75541	10606	86147	0.00225
Populus	3689	G	126497	106188	232685	0.00607
Benincasa	102210	G	94908	3459	98367	0.00257
Cucumis	3655	G	87477	216200	303677	0.00792
Cucurbita	3660	G	27751	6412	34163	0.00089
Tripterygium	123484	G	30934	19192	50126	0.00131
Gossypium	3633	G	301023	23178	324201	0.00846
Theobroma	3640	G	37733	2219	39952	0.00104
Brassica	3705	G	104747	103749	208496	0.00544
Raphanus	3725	G	43219	99204	142423	0.00372
Camelina	71323	G	58093	3265	61358	0.00160
Arabidopsis	3701	G	16013	2764	18777	0.00049
Eucalyptus	3932	G	51336	17504	68840	0.00180
Rhodamnia	178132	G	24176	3858	28034	0.00073
Punica	22662	G	28975	6127	35102	0.00092
Mangifera	23461	G	51057	11850	62907	0.00164
Citrus	2706	G	43992	10026	54018	0.00141
Vitis	3603	G	83386	19871	103257	0.00269
Solanum	4107	G	340011	165419	505430	0.01319
Capsicum	4071	G	283852	9843	293695	0.00766
Lycium	24646	G	189191	12232	201423	0.00526
Nicotiana	4085	G	383523	28444	411967	0.01075
Ipomoea	4119	G	50075	12527	62602	0.00163
Primulina	48772	G	139997	13680	153677	0.00401
Henckelia	199091	G	55635	5538	61173	0.00160
Salvia	21880	G	153503	11125	164628	0.00430
Olea	4145	G	104410	3948	108358	0.00283
Sesamum	4181	G	35287	4395	39682	0.00104
Coffea	13442	G	82060	80468	162528	0.00424
Lactuca	4235	G	459382	178451	637833	0.01664
Rutidosis	125764	G	160254	18799	179053	0.00467
Helianthus	4231	G	139129	4438	143567	0.00375
Erigeron	41574	G	54174	5863	60037	0.00157
Cynara	4264	G	66401	3030	69431	0.00181
Apium	4044	G	147210	5007	152217	0.00397
Daucus	4038	G	42881	7565	50446	0.00132
Impatiens	35939	G	75403	6180	81583	0.00213
Actinidia	3624	G	73065	3912	76977	0.00201
Diospyros	13492	G	63187	3043	66230	0.00173
Rhododendron	4346	G	41594	4934	46528	0.00121
Silene	3573	G	106338	1675	108013	0.00282
Beta	3554	G	53575	2655	56230	0.00147
Spinacia	3561	G	49340	129929	179269	0.00468
Amaranthus	3564	G	55891	38575	94466	0.00246
Malania	397391	G	134933	3997	138930	0.00362
Triticum	4564	G	328909	67515	396424	0.01034
Aegilops	4480	G	15216	51655	66871	0.00174
Hordeum	4512	G	116659	36255	152914	0.00399
Lolium	4520	G	127748	5595	133343	0.00348
Brachypodium	15367	G	21677	2038	23715	0.00062
Oryza	4527	G	74643	22789	97432	0.00254
Miscanthus	62336	G	106749	4769	111518	0.00291
Zea	4575	G	69164	15036	84200	0.00220
Sorghum	4557	G	34567	8648	43215	0.00113
Panicum	4539	G	86201	7420	93621	0.00244
Setaria	4554	G	31136	3951	35087	0.00092
Phragmites	15745	G	60333	9978	70311	0.00183
Carex	13398	G	46165	32343	78508	0.00205
Typha	4732	G	44192	3185	47377	0.00124
Ananas	4614	G	35865	6637	42502	0.00111
Zingiber	4650	G	143635	5783	149418	0.00390
Curcuma	99568	G	35903	5341	41244	0.00108
Musa	4640	G	69701	124255	193956	0.00506
Elaeis	51952	G	111451	13763	125214	0.00327
Phoenix	4719	G	52759	5374	58133	0.00152
Asparagus	4685	G	73297	2756	76053	0.00198
Dioscorea	4672	G	61393	3102	64495	0.00168
Wolffia	161109	G	33685	2105	35790	0.00093
Telopea	54954	G	350167	36117	386284	0.01008
Macadamia	4329	G	75514	11161	86675	0.00226
Papaver	3468	G	148078	4672	152750	0.00399
Magnolia	3402	G	111235	2033	113268	0.00296
Nymphaea	4418	G	37928	5551	43479	0.00113
Cryptomeria	3368	G	545436	104263	649699	0.01695
Physcomitrium	37414	G	56239	3173	59412	0.00155
Chlamydomonas	3052	G	12877	367	13244	0.00035
Bathycoccus	41874	G	1448	50	1498	0.00004
Ostreococcus	70447	G	736	25	761	0.00002
Micromonas	38832	G	1342	83	1425	0.00004
Plasmodium	5820	G	50878	982	51860	0.00135
Theileria	5873	G	5305	54	5359	0.00014
Babesia	5864	G	2693	29	2722	0.00007
Toxoplasma	5810	G	3932	390	4322	0.00011
Besnoitia	94642	G	3076	28	3104	0.00008
Neospora	29175	G	2814	4	2818	0.00007
Cryptosporidium	5806	G	2217	27	2244	0.00006
Paramecium	5884	G	174	0	174	0.00000
Phaeodactylum	2849	G	1990	3	1993	0.00005
Thalassiosira	35127	G	1171	4	1175	0.00003
Bremia	4778	G	2458	2	2460	0.00006
Bigelowiella	227085	G	128	0	128	0.00000
Leishmania	5658	G	25673	113	25786	0.00067
Porcisia	2761499	G	2722	14	2736	0.00007
Trypanosoma	5690	G	2484	13	2497	0.00007
Naegleria	5761	G	1690	0	1690	0.00004
Trichomonas	5721	G	13010	20	13030	0.00034
Spironucleus	39709	G	2677	2	2679	0.00007
Giardia	5740	G	565	0	565	0.00001
Dictyostelium	5782	G	7480	165	7645	0.00020
Cyanidioschyzon	45156	G	743	2	745	0.00002
Hemiselmis	77924	G	125	1	126	0.00000
Cryptomonas	3030	G	98	6	104	0.00000
Guillardia	55528	G	181	40	221	0.00001
Edwardsiella	635	G	965769	113739	1079508	0.02817
Hafnia	568	G	1036	45	1081	0.00003
Obesumbacterium	82982	G	41	5	46	0.00000
Plesiomonas	702	G	136467	8886	145353	0.00379
Klebsiella	570	G	39626	27359	66985	0.00175
Citrobacter	544	G	30537	9461	39998	0.00104
Escherichia	561	G	9593	23790	33383	0.00087
Enterobacter	547	G	8482	3499	11981	0.00031
Candidatus Blochmanniella	203804	G	1920	12	1932	0.00005
Candidatus Westeberhardia	1699619	G	70	5	75	0.00000
Candidatus Williamhamiltonella	568987	G	344	331	675	0.00002
Candidatus Regiella	568988	G	145	37	182	0.00000
Candidatus Hartigia	1449912	G	646	7	653	0.00002
Symbiopectobacterium	801	G	272	2	274	0.00001
Candidatus Gullanella	1906661	G	184	2	186	0.00000
Candidatus Annandia	1302410	G	143	12	155	0.00000
Candidatus Purcelliella	472825	G	133	7	140	0.00000
Candidatus Tachikawaea	1682492	G	86	91	177	0.00000
Candidatus Mikella	1906660	G	48	1	49	0.00000
Candidatus Doolittlea	1906657	G	25	0	25	0.00000
Candidatus Hoaglandella	1906659	G	12	0	12	0.00000
Salmonella	590	G	2880	15084	17964	0.00047
Kosakonia	1330547	G	1898	43	1941	0.00005
Leclercia	83654	G	1220	243	1463	0.00004
Kluyvera	579	G	1020	75	1095	0.00003
Cronobacter	413496	G	915	37	952	0.00002
