name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Chordata	7711	P	14098623	1711095	15809718	0.41247
Ascomycota	4890	P	171225	11059	182284	0.00476
Basidiomycota	5204	P	44855	1607	46462	0.00121
Mucoromycota	1913637	P	22497	2325	24822	0.00065
Microsporidia	6029	P	3591	48	3639	0.00009
Streptophyta	35493	P	12484832	467743	12952575	0.33793
Chlorophyta	3041	P	16479	450	16929	0.00044
Apicomplexa	5794	P	71343	1089	72432	0.00189
Ciliophora	5878	P	174	0	174	0.00000
Bacillariophyta	2836	P	3167	1	3168	0.00008
Oomycota	4762	P	2458	2	2460	0.00006
Cercozoa	136419	P	128	0	128	0.00000
Euglenozoa	33682	P	30976	44	31020	0.00081
Heterolobosea	5752	P	1690	0	1690	0.00004
Parabasalia	5719	P	13010	20	13030	0.00034
Fornicata	207245	P	3242	2	3244	0.00008
Evosea	2605435	P	7480	165	7645	0.00020
Rhodophyta	2763	P	743	455	1198	0.00003
Pseudomonadota	1224	P	2857720	225648	3083368	0.08044
Bacteroidota	976	P	1240931	5966	1246897	0.03253
Chlorobiota	1090	P	1782	1	1783	0.00005
Ignavibacteriota	1134404	P	1264	1	1265	0.00003
Rhodothermota	1853220	P	1213	1	1214	0.00003
Balneolota	1936987	P	640	8	648	0.00002
Gemmatimonadota	142182	P	1095	4	1099	0.00003
Candidatus Cloacimonadota	456828	P	317	0	317	0.00001
Fibrobacterota	65842	P	161	7	168	0.00000
Fidelibacterota	62680	P	148	0	148	0.00000
Campylobacterota	29547	P	76558	3639	80197	0.00209
Thermodesulfobacteriota	200940	P	57429	217	57646	0.00150
Planctomycetota	203682	P	21072	16	21088	0.00055
Verrucomicrobiota	74201	P	12564	37	12601	0.00033
Chlamydiota	204428	P	4742	14	4756	0.00012
Kiritimatiellota	134625	P	516	53	569	0.00001
Lentisphaerota	256845	P	373	0	373	0.00001
Candidatus Omnitrophota	67812	P	29	0	29	0.00000
Spirochaetota	203691	P	36108	285	36393	0.00095
Myxococcota	2818505	P	34897	81	34978	0.00091
Bdellovibrionota	3018035	P	8594	18	8612	0.00022
Acidobacteriota	57723	P	6878	3	6881	0.00018
Nitrospirota	40117	P	2966	8	2974	0.00008
Aquificota	200783	P	2277	4	2281	0.00006
Deferribacterota	200930	P	2019	6	2025	0.00005
Dictyoglomota	68297	P	1733	0	1733	0.00005
Elusimicrobiota	74152	P	1235	0	1235	0.00003
Atribacterota	67818	P	697	0	697	0.00002
Thermodesulfobiota	3002442	P	585	0	585	0.00002
Calditrichota	1930617	P	398	0	398	0.00001
Caldisericota	67814	P	274	0	274	0.00001
Thermomicrobiota	3027942	P	226	0	226	0.00001
Chrysiogenota	200938	P	132	5	137	0.00000
Thermosulfidibacterota	3123113	P	125	0	125	0.00000
Nitrospinota	1293497	P	99	0	99	0.00000
Zhurongbacterota	3470743	P	77	0	77	0.00000
Coprothermobacterota	2138240	P	66	2	68	0.00000
Bacillota	1239	P	2347238	74903	2422141	0.06319
Actinomycetota	201174	P	674737	3805	678542	0.01770
Cyanobacteriota	1117	P	70630	62	70692	0.00184
Mycoplasmatota	544448	P	58096	939	59035	0.00154
Chloroflexota	200795	P	3691	18	3709	0.00010
Armatimonadota	67819	P	362	0	362	0.00001
Vulcanimicrobiota	1154676	P	27	0	27	0.00000
Fusobacteriota	32066	P	1165988	12721	1178709	0.03075
Deinococcota	1297	P	9477	7	9484	0.00025
Thermotogota	200918	P	7430	130	7560	0.00020
Synergistota	508458	P	1396	3	1399	0.00004
Candidatus Saccharimonadota	95818	P	405	367	772	0.00002
Candidatus Absconditibacteriota	221235	P	281	5	286	0.00001
Minisyncoccota	1752724	P	121	74	195	0.00001
Candidatus Bipolaricaulota	67810	P	46	0	46	0.00000
Candidatus Fervidibacterota	1383058	P	34	659	693	0.00002
Methanobacteriota	28890	P	48576	424	49000	0.00128
Thermoplasmatota	2283796	P	2396	1	2397	0.00006
Thermoproteota	28889	P	11451	15	11466	0.00030
Nitrososphaerota	651137	P	6674	10	6684	0.00017
Promethearchaeota	3366641	P	1788	5	1793	0.00005
Candidatus Nanohalarchaeota	1462430	P	223	1	224	0.00001
Nanobdellota	192989	P	107	3	110	0.00000
Microcaldota	1801631	P	45	0	45	0.00000
Preplasmiviricota	2732008	P	8418	0	8418	0.00022
Nucleocytoviricota	2732007	P	8378	1	8379	0.00022
Produgelaviricota	3412607	P	59	0	59	0.00000
Uroviricota	2731618	P	10454	3264	13718	0.00036
Peploviricota	2731361	P	1099	0	1099	0.00003
Negarnaviricota	2497569	P	1190	0	1190	0.00003
Pisuviricota	2732408	P	527	0	527	0.00001
Kitrinoviricota	2732406	P	246	0	246	0.00001
Duplornaviricota	2732405	P	145	0	145	0.00000
Lenarviricota	2732407	P	133	0	133	0.00000
Artverviricota	2732409	P	972	1891	2863	0.00007
Cossaviricota	2732415	P	417	0	417	0.00001
Cressdnaviricota	2732416	P	150	0	150	0.00000
Commensaviricota	3412625	P	19	0	19	0.00000
Phixviricota	2732412	P	23	0	23	0.00000
Taleaviricota	2840024	P	148	18	166	0.00000
