name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Homo sapiens	9606	S	14098623	1711734	15810357	0.41264
Fusarium poae	36050	S	1909	294	2203	0.00006
Fusarium graminearum	5518	S	1418	339	1757	0.00005
Fusarium pseudograminearum	101028	S	1249	228	1477	0.00004
Fusarium falciforme	195108	S	1943	769	2712	0.00007
Fusarium keratoplasticum	1328300	S	1361	599	1960	0.00005
Fusarium oxysporum	5507	S	3807	203	4010	0.00010
Fusarium fujikuroi	5127	S	2231	60	2291	0.00006
Fusarium verticillioides	117187	S	1025	921	1946	0.00005
Fusarium musae	1042133	S	734	618	1352	0.00004
Metarhizium brunneum	500148	S	2718	25	2743	0.00007
Pochonia chlamydosporia	280754	S	2237	24	2261	0.00006
Ustilaginoidea virens	1159556	S	2148	42	2190	0.00006
Trichoderma asperellum	101201	S	2074	411	2485	0.00006
Trichoderma breve	2034170	S	1974	93	2067	0.00005
Trichoderma atroviride	63577	S	1740	120	1860	0.00005
Purpureocillium takamizusanense	2060973	S	4096	230	4326	0.00011
Drechmeria coniospora	98403	S	1590	38	1628	0.00004
Akanthomyces muscarius	2231603	S	1599	53	1652	0.00004
Colletotrichum higginsianum	80884	S	2136	632	2768	0.00007
Colletotrichum destructivum	34406	S	2117	262	2379	0.00006
Colletotrichum lupini	145971	S	2663	87	2750	0.00007
Neurospora crassa	5141	S	3365	113	3478	0.00009
Sordaria macrospora	5147	S	2583	210	2793	0.00007
Thermothielavioides terrestris	2587410	S	2098	76	2174	0.00006
Remersonia thermophila	72144	S	1794	65	1859	0.00005
Thermothelomyces thermophilus	78579	S	1518	29	1547	0.00004
Podospora bellae-mahoneyi	2093777	S	702	200	902	0.00002
Podospora pseudocomata	2093779	S	482	202	684	0.00002
Podospora pseudopauciseta	2093780	S	362	586	948	0.00002
Podospora pseudoanserina	2609844	S	329	651	980	0.00003
Pyricularia pennisetigena	1578925	S	3000	128	3128	0.00008
Pyricularia grisea	148305	S	2035	92	2127	0.00006
Pyricularia oryzae	318829	S	1405	100	1505	0.00004
Botrytis cinerea	40559	S	3568	417	3985	0.00010
Aspergillus luchuensis	1069201	S	3413	238	3651	0.00010
Aspergillus oryzae	5062	S	192	895	1087	0.00003
Aspergillus flavus	5059	S	160	790	950	0.00002
Aspergillus puulaauensis	1220207	S	1692	44	1736	0.00005
Aspergillus chevalieri	182096	S	1691	101	1792	0.00005
Aspergillus fumigatus	746128	S	1226	37	1263	0.00003
Aspergillus nidulans	162425	S	948	1	949	0.00002
Penicillium oxalicum	69781	S	1388	335	1723	0.00004
Penicillium digitatum	36651	S	1172	41	1213	0.00003
Penicillium psychrofluorescens	3158075	S	1013	56	1069	0.00003
Talaromyces rugulosus	121627	S	1851	289	2140	0.00006
Talaromyces marneffei	37727	S	1168	60	1228	0.00003
Coccidioides posadasii	199306	S	1439	234	1673	0.00004
Fulvia fulva	5499	S	2061	40	2101	0.00005
Cercospora beticola	122368	S	1470	85	1555	0.00004
Zymoseptoria tritici	1047171	S	1356	13	1369	0.00004
Alternaria dauci	48095	S	1393	45	1438	0.00004
Pyrenophora tritici-repentis	45151	S	1206	280	1486	0.00004
Ascochyta rabiei	5454	S	2265	95	2360	0.00006
Kluyveromyces marxianus	4911	S	16217	4342	20559	0.00054
Kluyveromyces lactis	28985	S	1256	81	1337	0.00003
Saccharomyces eubayanus	1080349	S	1474	34	1508	0.00004
Saccharomyces cerevisiae	4932	S	1161	429	1590	0.00004
Saccharomyces mikatae	114525	S	1149	108	1257	0.00003
Saccharomyces paradoxus	27291	S	1133	70	1203	0.00003
Saccharomyces kudriavzevii	114524	S	1029	234	1263	0.00003
Naumovozyma dairenensis	27289	S	1840	75	1915	0.00005
Naumovozyma castellii	27288	S	1580	115	1695	0.00004
Henningerozyma blattae	1071379	S	2972	213	3185	0.00008
Tetrapisispora phaffii	113608	S	2134	63	2197	0.00006
Eremothecium sinecaudum	45286	S	907	773	1680	0.00004
Eremothecium cymbalariae	45285	S	774	86	860	0.00002
Eremothecium gossypii	33169	S	357	382	739	0.00002
Nakaseomyces glabratus	5478	S	1206	217	1423	0.00004
Huiozyma naganishii	588726	S	1123	61	1184	0.00003
Kazachstania africana	432096	S	1089	44	1133	0.00003
Zygosaccharomyces rouxii	4956	S	893	77	970	0.00003
Torulaspora globosa	48254	S	434	36	470	0.00001
Torulaspora delbrueckii	4950	S	431	68	499	0.00001
Zygotorulaspora mrakii	42260	S	689	95	784	0.00002
Lachancea thermotolerans	381046	S	496	39	535	0.00001
Saccharomycodes ludwigii	36035	S	1805	395	2200	0.00006
Candida albicans	5476	S	3679	350	4029	0.00011
Candida dubliniensis	42374	S	2094	241	2335	0.00006
Candida orthopsilosis	273371	S	1239	47	1286	0.00003
Lodderomyces elongisporus	36914	S	2522	450	2972	0.00008
Lodderomyces beijingensis	1775926	S	938	160	1098	0.00003
Debaryomyces hansenii	4959	S	1788	21	1809	0.00005
Scheffersomyces stipitis	4924	S	1086	23	1109	0.00003
Yamadazyma tenuis	2315449	S	538	31	569	0.00001
Australozyma saopauloensis	291208	S	654	10	664	0.00002
Candidozyma auris	498019	S	612	32	644	0.00002
Brettanomyces bruxellensis	5007	S	1029	26	1055	0.00003
Brettanomyces nanus	13502	S	858	96	954	0.00002
Pichia kudriavzevii	4909	S	1339	46	1385	0.00004
Komagataella phaffii	460519	S	771	7	778	0.00002
Ogataea parapolymorpha	1005962	S	533	19	552	0.00001
Sugiyamaella lignohabitans	796027	S	1173	78	1251	0.00003
Yarrowia lipolytica	4952	S	952	1	953	0.00002
Schizosaccharomyces osmophilus	2545709	S	1457	97	1554	0.00004
Schizosaccharomyces pombe	4896	S	1342	11	1353	0.00004
Kwoniella dendrophila	4975	S	2276	154	2430	0.00006
Kwoniella pini	453459	S	1622	75	1697	0.00004
Kwoniella bestiolae	324769	S	1272	46	1318	0.00003
Kwoniella shivajii	564305	S	1196	40	1236	0.00003
Kwoniella mangrovensis	463800	S	1058	119	1177	0.00003
Kwoniella europaea	1247712	S	1056	167	1223	0.00003
Kwoniella shandongensis	1734106	S	1040	68	1108	0.00003
Kwoniella dejecticola	324770	S	968	34	1002	0.00003
Kwoniella botswanensis	1268659	S	942	191	1133	0.00003
Kwoniella newhampshirensis	1651941	S	682	24	706	0.00002
Cryptococcus deuterogattii	1859096	S	594	101	695	0.00002
Cryptococcus gattii	37769	S	419	416	835	0.00002
Cryptococcus decagattii	1859122	S	338	154	492	0.00001
Cryptococcus tetragattii	1859121	S	331	127	458	0.00001
Cryptococcus bacillisporus	552467	S	316	244	560	0.00001
Cryptococcus neoformans	5207	S	867	95	962	0.00003
Cryptococcus deneoformans	40410	S	816	52	868	0.00002
Cryptococcus depauperatus	5208	S	1072	64	1136	0.00003
Vanrija pseudolonga	143232	S	2237	228	2465	0.00006
Cutaneotrichosporon cavernicola	279322	S	1121	80	1201	0.00003
Psilocybe cubensis	181762	S	2263	20	2283	0.00006
Marasmius oreades	181124	S	1417	17	1434	0.00004
Rhizoctonia solani	456999	S	1646	6	1652	0.00004
Puccinia striiformis	27350	S	8428	535	8963	0.00023
Puccinia triticina	208348	S	5934	15	5949	0.00016
Sporisorium graminicola	280036	S	1612	159	1771	0.00005
Mycosarcoma maydis	5270	S	590	2	592	0.00002
Malassezia japonica	223818	S	441	39	480	0.00001
Malassezia restricta	76775	S	293	43	336	0.00001
Malassezia vespertilionis	2020962	S	273	14	287	0.00001
Rhizophagus irregularis	588596	S	22497	2325	24822	0.00065
Vairimorpha necatrix	6039	S	2801	47	2848	0.00007
Encephalitozoon intestinalis	58839	S	358	2	360	0.00001
Encephalitozoon hellem	27973	S	183	1	184	0.00000
Encephalitozoon romaleae	571949	S	164	0	164	0.00000
Encephalitozoon cuniculi	6035	S	81	0	81	0.00000
Lathyrus oleraceus	3888	S	156796	10770	167566	0.00437
Vicia villosa	3911	S	127218	5729	132947	0.00347
Medicago truncatula	3880	S	54506	4646	59152	0.00154
Trifolium pratense	57577	S	45656	50399	96055	0.00251
Cicer arietinum	3827	S	65017	5415	70432	0.00184
Lotus japonicus	34305	S	46477	6797	53274	0.00139
Vigna radiata	157791	S	63798	10600	74398	0.00194
Vigna unguiculata	3917	S	63049	24025	87074	0.00227
Vigna angularis	3914	S	49716	9046	58762	0.00153
Glycine soja	3848	S	12662	53449	66111	0.00173
Glycine max	3847	S	11689	57894	69583	0.00182
Cajanus cajan	3821	S	75975	8176	84151	0.00220
Phaseolus vulgaris	3885	S	64271	5609	69880	0.00182
Arachis stenosperma	217475	S	43007	22567	65574	0.00171
Arachis hypogaea	3818	S	23667	74180	97847	0.00255
Arachis duranensis	130453	S	16278	23038	39316	0.00103
Arachis ipaensis	130454	S	4075	52168	56243	0.00147
Lupinus angustifolius	3871	S	89491	8200	97691	0.00255
Malus domestica	3750	S	13820	18752	32572	0.00085
Malus sylvestris	3752	S	13324	22208	35532	0.00093
Pyrus communis	23211	S	32772	11316	44088	0.00115
Prunus mume	102107	S	15874	5708	21582	0.00056
Prunus dulcis	3755	S	11489	9046	20535	0.00054
Prunus persica	3760	S	9787	8058	17845	0.00047
Rosa chinensis	74649	S	25631	4840	30471	0.00080
Rosa rugosa	74645	S	22397	7551	29948	0.00078
Fragaria vesca	57918	S	20352	4095	24447	0.00064
Argentina anserina	57926	S	19705	11607	31312	0.00082
Humulus lupulus	3486	S	140241	57366	197607	0.00516
Cannabis sativa	3483	S	60448	8461	68909	0.00180
Ziziphus jujuba	326968	S	49523	28096	77619	0.00203
Quercus lobata	97700	S	47813	28371	76184	0.00199
Quercus robur	38942	S	38638	46734	85372	0.00223
Castanea sativa	21020	S	69089	18153	87242	0.00228
Juglans regia	51240	S	44620	20436	65056	0.00170
Juglans microcarpa x Juglans regia	2249226	S	40681	11943	52624	0.00137
Carya illinoinensis	32201	S	56004	17455	73459	0.00192
Alnus glutinosa	3517	S	49436	46207	95643	0.00250
Corylus avellana	13451	S	40753	4399	45152	0.00118
Hevea brasiliensis	3981	S	98815	7033	105848	0.00276
Manihot esculenta	3983	S	59368	21354	80722	0.00211
Mercurialis annua	3986	S	44568	39261	83829	0.00219
Ricinus communis	3988	S	42970	8587	51557	0.00135
Euphorbia lathyris	212925	S	75541	10607	86148	0.00225
Populus alba	43335	S	41583	7042	48625	0.00127
Populus trichocarpa	3694	S	31816	14359	46175	0.00121
Populus nigra	3691	S	31290	106630	137920	0.00360
Benincasa hispida	102211	S	94908	3459	98367	0.00257
Cucumis melo	3656	S	50414	213502	263916	0.00689
Cucumis sativus	3659	S	34326	5463	39789	0.00104
Cucurbita pepo	3663	S	27751	6413	34164	0.00089
Tripterygium wilfordii	458696	S	30934	19197	50131	0.00131
Gossypium hirsutum	3635	S	82721	61024	143745	0.00375
Gossypium raimondii	29730	S	64119	40157	104276	0.00272
Gossypium arboreum	29729	S	44909	31271	76180	0.00199
Theobroma cacao	3641	S	37733	2219	39952	0.00104
Brassica napus	3708	S	29194	116720	145914	0.00381
Brassica oleracea	3712	S	14114	16250	30364	0.00079
Brassica rapa	3711	S	10282	21984	32266	0.00084
Raphanus sativus	3726	S	43219	99211	142430	0.00372
Camelina sativa	90675	S	58093	3266	61359	0.00160
Arabidopsis thaliana	3702	S	16013	2764	18777	0.00049
Eucalyptus grandis	71139	S	51336	17504	68840	0.00180
Rhodamnia argentea	178133	S	24176	3858	28034	0.00073
Punica granatum	22663	S	28975	6127	35102	0.00092
Mangifera indica	29780	S	51057	11853	62910	0.00164
Citrus sinensis	2711	S	43992	10027	54019	0.00141
Vitis vinifera	29760	S	29945	23963	53908	0.00141
Vitis riparia	96939	S	28825	20524	49349	0.00129
Solanum lycopersicum	4081	S	72678	131073	203751	0.00532
Solanum pennellii	28526	S	72284	18702	90986	0.00237
Solanum dulcamara	45834	S	88295	38524	126819	0.00331
Solanum stenotomum	172797	S	74509	9390	83899	0.00219
Capsicum annuum	4072	S	283852	9843	293695	0.00767
Lycium ferocissimum	112874	S	80507	26392	106899	0.00279
Lycium barbarum	112863	S	76745	17778	94523	0.00247
Nicotiana attenuata	49451	S	101491	21568	123059	0.00321
Nicotiana tabacum	4097	S	41319	99146	140465	0.00367
Nicotiana tomentosiformis	4098	S	29452	44296	73748	0.00192
Nicotiana sylvestris	4096	S	16513	58182	74695	0.00195
Ipomoea triloba	35885	S	50075	12527	62602	0.00163
Primulina tabacum	48773	S	43910	16118	60028	0.00157
Primulina eburnea	1245227	S	42742	6749	49491	0.00129
Primulina huaijiensis	1492673	S	35003	9154	44157	0.00115
Henckelia pumila	405737	S	55635	5538	61173	0.00160
Salvia miltiorrhiza	226208	S	45120	2998	48118	0.00126
Salvia hispanica	49212	S	31989	5806	37795	0.00099
Salvia splendens	180675	S	69884	8831	78715	0.00205
Olea europaea	4146	S	104410	3948	108358	0.00283
Sesamum indicum	4182	S	35287	4395	39682	0.00104
Coffea arabica	13443	S	36755	98383	135138	0.00353
Coffea eugenioides	49369	S	11100	16306	27406	0.00072
Lactuca virosa	75947	S	133186	55990	189176	0.00494
Lactuca saligna	75948	S	103648	108970	212618	0.00555
Lactuca sativa	4236	S	49149	90673	139822	0.00365
Lactuca serriola	75943	S	44015	52237	96252	0.00251
Rutidosis leptorrhynchoides	125765	S	160254	18801	179055	0.00467
Helianthus annuus	4232	S	139129	4438	143567	0.00375
Erigeron canadensis	72917	S	54174	5863	60037	0.00157
Cynara cardunculus	4265	S	66401	3030	69431	0.00181
Apium graveolens	4045	S	147210	5008	152218	0.00397
Daucus carota	4039	S	42881	7566	50447	0.00132
Impatiens glandulifera	253017	S	75403	6180	81583	0.00213
Actinidia eriantha	165200	S	73065	3912	76977	0.00201
Diospyros lotus	55363	S	63187	3043	66230	0.00173
Rhododendron vialii	182163	S	41594	4935	46529	0.00121
Silene latifolia	37657	S	106338	1675	108013	0.00282
Beta vulgaris	161934	S	53575	2656	56231	0.00147
Spinacia oleracea	3562	S	49340	129930	179270	0.00468
Amaranthus tricolor	29722	S	55891	38581	94472	0.00247
Malania oleifera	397392	S	134933	3997	138930	0.00363
Triticum aestivum	4565	S	76564	109609	186173	0.00486
Triticum dicoccoides	85692	S	59566	74069	133635	0.00349
Triticum urartu	4572	S	43676	32939	76615	0.00200
Aegilops tauschii	37682	S	15216	51665	66881	0.00175
Hordeum vulgare	4513	S	116659	36268	152927	0.00399
Lolium rigidum	89674	S	61530	11546	73076	0.00191
Lolium perenne	4522	S	42572	17696	60268	0.00157
Brachypodium distachyon	15368	S	21677	2038	23715	0.00062
Oryza brachyantha	4533	S	29908	3978	33886	0.00088
Oryza sativa	4530	S	12030	27591	39621	0.00103
Oryza glaberrima	4538	S	11652	12281	23933	0.00062
Miscanthus floridulus	154761	S	106749	4770	111519	0.00291
Zea mays	4577	S	69164	15040	84204	0.00220
Sorghum bicolor	4558	S	34567	8650	43217	0.00113
Panicum virgatum	38727	S	60668	6800	67468	0.00176
Panicum hallii	206008	S	23696	2458	26154	0.00068
Setaria viridis	4556	S	8093	10710	18803	0.00049
Setaria italica	4555	S	6969	9315	16284	0.00043
Phragmites australis	29695	S	60333	9983	70316	0.00184
Carex rostrata	241230	S	46165	32353	78518	0.00205
Typha latifolia	4733	S	18541	5226	23767	0.00062
Typha angustifolia	59011	S	18132	5479	23611	0.00062
Ananas comosus	4615	S	35865	6637	42502	0.00111
Zingiber officinale	94328	S	143635	5783	149418	0.00390
Curcuma longa	136217	S	35903	5341	41244	0.00108
Musa acuminata	4641	S	69701	124297	193998	0.00506
Elaeis guineensis	51953	S	111451	13763	125214	0.00327
Phoenix dactylifera	42345	S	52759	5374	58133	0.00152
Asparagus officinalis	4686	S	73297	2756	76053	0.00198
Dioscorea cayenensis	29710	S	61393	3102	64495	0.00168
Wolffia australiana	161112	S	33685	2105	35790	0.00093
Telopea speciosissima	54955	S	350167	36118	386285	0.01008
Macadamia integrifolia	60698	S	75514	11161	86675	0.00226
Papaver somniferum	3469	S	148078	4672	152750	0.00399
Magnolia sinica	86752	S	111235	2033	113268	0.00296
Nymphaea colorata	210225	S	37928	5553	43481	0.00113
Cryptomeria japonica	3369	S	545436	104270	649706	0.01696
Physcomitrium patens	3218	S	56239	3173	59412	0.00155
Chlamydomonas reinhardtii	3055	S	12877	367	13244	0.00035
Bathycoccus prasinos	41875	S	1448	50	1498	0.00004
Ostreococcus sp. 'lucimarinus'	242159	S	417	16	433	0.00001
Ostreococcus tauri	70448	S	319	9	328	0.00001
Micromonas commoda	296587	S	1342	83	1425	0.00004
Plasmodium vivax	5855	S	2672	219	2891	0.00008
Plasmodium cynomolgi	5827	S	2404	111	2515	0.00007
Plasmodium knowlesi	5850	S	2264	110	2374	0.00006
Plasmodium malariae	5858	S	854	3729	4583	0.00012
Plasmodium brasilianum	5824	S	659	4010	4669	0.00012
Plasmodium vinckei	5860	S	3669	581	4250	0.00011
Plasmodium berghei	5821	S	3521	619	4140	0.00011
Plasmodium yoelii	5861	S	3425	582	4007	0.00010
