name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Escherichia	561	G	2057787	2834482	4892269	0.15726
Citrobacter	544	G	600944	62777	663721	0.02133
Klebsiella	570	G	399901	68956	468857	0.01507
Enterobacter	547	G	175384	50670	226054	0.00727
Lelliottia	1330545	G	153937	2710	156647	0.00504
Kluyvera	579	G	89582	4696	94278	0.00303
Buttiauxella	82976	G	15759	173	15932	0.00051
Salmonella	590	G	13956	27529	41485	0.00133
Kosakonia	1330547	G	11947	171	12118	0.00039
Leclercia	83654	G	8607	578	9185	0.00030
Cronobacter	413496	G	6006	97	6103	0.00020
Shigella	620	G	4936	17904	22840	0.00073
Cedecea	158483	G	4309	48	4357	0.00014
Candidatus Blochmanniella	203804	G	1095	3	1098	0.00004
Candidatus Westeberhardia	1699619	G	67	2	69	0.00000
Symbiopectobacterium	801	G	664	3	667	0.00002
Candidatus Williamhamiltonella	568987	G	179	178	357	0.00001
Candidatus Regiella	568988	G	161	100	261	0.00001
Candidatus Purcelliella	472825	G	180	4	184	0.00001
Candidatus Tachikawaea	1682492	G	139	5	144	0.00000
Candidatus Hartigia	1449912	G	102	0	102	0.00000
Candidatus Gullanella	1906661	G	102	0	102	0.00000
Candidatus Annandia	1302410	G	56	2	58	0.00000
Candidatus Hoaglandella	1906659	G	30	0	30	0.00000
Candidatus Mikella	1906660	G	24	0	24	0.00000
Candidatus Doolittlea	1906657	G	22	14	36	0.00000
Pseudocitrobacter	1504576	G	2270	98	2368	0.00008
Pluralibacter	1330546	G	2252	44	2296	0.00007
Siccibacter	1649298	G	2198	24	2222	0.00007
Dryocola	3021684	G	2013	24	2037	0.00007
Phytobacter	447792	G	1935	189	2124	0.00007
Scandinavium	2726810	G	1612	19	1631	0.00005
Superficieibacter	2303321	G	1551	16	1567	0.00005
Jejuibacter	2815296	G	1245	5	1250	0.00004
Yokenella	158876	G	1230	42	1272	0.00004
Franconibacter	1649295	G	1216	7	1223	0.00004
Atlantibacter	1903434	G	1189	32	1221	0.00004
Pseudescherichia	2055880	G	896	916	1812	0.00006
Trabulsiella	158851	G	841	37	878	0.00003
Plesiomonas	702	G	712	19	731	0.00002
Shimwellia	1335483	G	636	5	641	0.00002
Mangrovibacter	451512	G	602	50	652	0.00002
Candidatus Profftia	1177214	G	431	3	434	0.00001
Candidatus Schneideria	1081630	G	144	0	144	0.00000
Candidatus Riesia	401618	G	140	0	140	0.00000
Candidatus Ishikawella	409304	G	82	0	82	0.00000
Candidatus Curculioniphilus	690591	G	67	0	67	0.00000
Candidatus Gillettellia	1177217	G	67	0	67	0.00000
Candidatus Moranella	1048757	G	49	0	49	0.00000
Morganella	581	G	254378	12627	267005	0.00858
Providencia	586	G	6233	404	6637	0.00021
Proteus	583	G	3605	204	3809	0.00012
Xenorhabdus	626	G	3262	12	3274	0.00011
Photorhabdus	29487	G	1895	3	1898	0.00006
Arsenophonus	637	G	1332	3	1335	0.00004
Moellerella	158848	G	305	30	335	0.00001
Serratia	613	G	17946	1146	19092	0.00061
Yersinia	629	G	8329	604	8933	0.00029
Rahnella	34037	G	3087	90	3177	0.00010
Rouxiella	1565532	G	1017	25	1042	0.00003
Gibbsiella	929812	G	608	14	622	0.00002
Nissabacter	1964366	G	447	7	454	0.00001
Chimaeribacter	2716544	G	400	12	412	0.00001
Candidatus Fukatsuia	1927833	G	357	2	359	0.00001
Chania	1745211	G	244	6	250	0.00001
Ewingella	41201	G	228	7	235	0.00001
Pantoea	53335	G	16027	403	16430	0.00053
Erwinia	551	G	6229	186	6415	0.00021
Buchnera	32199	G	5530	237	5767	0.00019
Mixta	2100764	G	1241	100	1341	0.00004
Tatumella	82986	G	597	7	604	0.00002
Winslowiella	2997349	G	532	11	543	0.00002
Paramixta	3231896	G	369	8	377	0.00001
Duffyella	3026546	G	268	19	287	0.00001
Wigglesworthia	51228	G	93	0	93	0.00000
Pectobacterium	122277	G	7655	166	7821	0.00025
Dickeya	204037	G	6477	147	6624	0.00021
Brenneria	71655	G	1819	234	2053	0.00007
Lonsdalea	1082702	G	576	11	587	0.00002
Musicola	2884243	G	404	5	409	0.00001
Prodigiosinella	3059405	G	123	227	350	0.00001
Hafnia	568	G	6767	275	7042	0.00023
Edwardsiella	635	G	2908	95	3003	0.00010
Obesumbacterium	82982	G	98	17	115	0.00000
Sodalis	84565	G	3259	5	3264	0.00010
Leminorella	82980	G	824	4	828	0.00003
Limnobaculum	2172100	G	577	6	583	0.00002
Pragia	82984	G	574	7	581	0.00002
Gallaecimonas	745410	G	1010	24	1034	0.00003
Pseudomonas	286	G	149260	5727	154987	0.00498
Stutzerimonas	2901164	G	7320	2228	9548	0.00031
Halopseudomonas	2901189	G	3023	193	3216	0.00010
Metapseudomonas	3236656	G	1877	232	2109	0.00007
Ectopseudomonas	3236654	G	1661	801	2462	0.00008
Azotobacter	352	G	1075	136	1211	0.00004
Azorhizophilus	157913	G	123	47	170	0.00001
Aquipseudomonas	3236652	G	926	163	1089	0.00004
Entomomonas	2758906	G	722	1	723	0.00002
Thiopseudomonas	1654787	G	529	9	538	0.00002
Permianibacter	1649479	G	309	0	309	0.00001
Phytopseudomonas	3236657	G	303	29	332	0.00001
Geopseudomonas	3236655	G	278	34	312	0.00001
Denitrificimonas	2901261	G	139	5	144	0.00000
Marinobacter	2742	G	8921	74	8995	0.00029
Candidatus Njordibacter	3457297	G	508	1	509	0.00002
Pseudohongiella	1524249	G	482	0	482	0.00002
Ketobacter	2025617	G	403	1	404	0.00001
Aeromonas	642	G	74656	3383	78039	0.00251
Zobellella	347533	G	1638	137	1775	0.00006
Oceanimonas	129577	G	1390	117	1507	0.00005
Oceanisphaera	225143	G	619	2	621	0.00002
Pseudaeromonas	1929090	G	452	6	458	0.00001
Tolumonas	43947	G	424	9	433	0.00001
Dongshaea	2802288	G	236	0	236	0.00001
Succinivibrio	83770	G	1101	0	1101	0.00004
Xanthomonas	338	G	15589	1983	17572	0.00056
Stenotrophomonas	40323	G	14285	1766	16051	0.00052
Lysobacter	68	G	8899	706	9605	0.00031
Pseudoxanthomonas	83618	G	5618	582	6200	0.00020
Luteimonas	83614	G	3767	180	3947	0.00013
Thermomonas	141948	G	1917	138	2055	0.00007
Agrilutibacter	3382696	G	763	61	824	0.00003
Xylella	2370	G	689	12	701	0.00002
Marilutibacter	3382698	G	549	29	578	0.00002
Novilysobacter	3382699	G	351	316	667	0.00002
Arenimonas	490567	G	282	11	293	0.00001
Solilutibacter	3382695	G	180	21	201	0.00001
Pseudoluteimonas	3382694	G	164	8	172	0.00001
Dyella	231454	G	5442	319	5761	0.00019
Luteibacter	242605	G	3258	193	3451	0.00011
Rhodanobacter	75309	G	3226	217	3443	0.00011
Frateuria	70411	G	1036	145	1181	0.00004
Tahibacter	1453544	G	1021	15	1036	0.00003
Dokdonella	323413	G	794	29	823	0.00003
Ahniella	2233801	G	438	3	441	0.00001
Pseudolysobacter	2709666	G	341	3	344	0.00001
Aerosticca	2707020	G	319	80	399	0.00001
Metallibacterium	1218803	G	17	0	17	0.00000
Marinicella	863253	G	472	0	472	0.00002
Shewanella	22	G	17136	485	17621	0.00057
Psychrobium	1573826	G	525	15	540	0.00002
Parashewanella	2547964	G	418	5	423	0.00001
Alteromonas	226	G	5657	370	6027	0.00019
Salinimonas	288793	G	964	79	1043	0.00003
Agarivorans	261825	G	1709	34	1743	0.00006
Paraglaciecola	1621534	G	1028	41	1069	0.00003
Catenovulum	1172191	G	930	13	943	0.00003
Alkalimarinus	1858563	G	903	5	908	0.00003
Ningiella	2751156	G	453	7	460	0.00001
Aliiglaciecola	1406885	G	418	47	465	0.00001
Alishewanella	111142	G	415	45	460	0.00001
Saliniradius	2661818	G	361	11	372	0.00001
Paraneptunicella	2905123	G	310	7	317	0.00001
Halioxenophilus	2108524	G	301	5	306	0.00001
Saccharobesus	2894574	G	294	4	298	0.00001
Planctobacterium	2200736	G	292	9	301	0.00001
Neptunicella	2125985	G	270	9	279	0.00001
Lacimicrobium	1751872	G	242	5	247	0.00001
