name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Bacteroidaceae	815	F	7125686	478968	7604654	0.25241
Tannerellaceae	2005525	F	945844	88915	1034759	0.03434
Rikenellaceae	171550	F	526464	27339	553803	0.01838
Prevotellaceae	171552	F	266023	5912	271935	0.00903
Odoribacteraceae	1853231	F	103906	7044	110950	0.00368
Porphyromonadaceae	171551	F	65363	2546	67909	0.00225
Dysgonomonadaceae	2005520	F	65096	4697	69793	0.00232
Barnesiellaceae	2005519	F	63129	3921	67050	0.00223
Muribaculaceae	2005473	F	33563	391	33954	0.00113
Paludibacteraceae	2005523	F	9707	11	9718	0.00032
Salinivirgaceae	1970190	F	3467	2	3469	0.00012
Tenuifilaceae	2760872	F	2719	1132	3851	0.00013
Prolixibacteraceae	1471398	F	59807	962	60769	0.00202
Marinifilaceae	1573805	F	23382	597	23979	0.00080
Marinilabiliaceae	558415	F	6873	2185	9058	0.00030
Flavobacteriaceae	49546	F	481894	13198	495092	0.01643
Weeksellaceae	2762318	F	116294	12615	128909	0.00428
Blattabacteriaceae	39782	F	6927	261	7188	0.00024
Crocinitomicaceae	1853230	F	4162	60	4222	0.00014
Owenweeksiaceae	3024551	F	3277	1286	4563	0.00015
Parvicellaceae	2975259	F	891	9	900	0.00003
Sanyastnellaceae	3228945	F	866	1	867	0.00003
Ichthyobacteriaceae	1755828	F	483	1	484	0.00002
Hymenobacteraceae	1853232	F	69860	692	70552	0.00234
Spirosomataceae	2896860	F	37633	594	38227	0.00127
Cytophagaceae	89373	F	29725	293	30018	0.00100
Cyclobacteriaceae	563798	F	28222	2531	30753	0.00102
Flammeovirgaceae	200667	F	11092	964	12056	0.00040
Leadbetterellaceae	3141702	F	8303	85	8388	0.00028
Reichenbachiellaceae	2762302	F	8224	443	8667	0.00029
Fulvivirgaceae	2762286	F	7770	398	8168	0.00027
Persicobacteraceae	1853234	F	6458	265	6723	0.00022
Roseivirgaceae	2762306	F	4717	290	5007	0.00017
Marivirgaceae	2762301	F	4712	1047	5759	0.00019
Catalimonadaceae	1522127	F	4684	58	4742	0.00016
Bernardetiaceae	1937968	F	4592	18	4610	0.00015
Flectobacillaceae	3141701	F	2732	25	2757	0.00009
Amoebophilaceae	1501348	F	2040	41	2081	0.00007
Rhodocytophagaceae	3078917	F	1921	17	1938	0.00006
Mangrovivirgaceae	2858885	F	1039	13	1052	0.00003
Sphingobacteriaceae	84566	F	216662	3336	219998	0.00730
Aurantibacillaceae	3088888	F	798	18	816	0.00003
Chitinophagaceae	563835	F	94483	302	94785	0.00315
Saprospiraceae	89374	F	4403	28	4431	0.00015
Haliscomenobacteraceae	1937961	F	3825	16	3841	0.00013
Lewinellaceae	1937960	F	3247	3124	6371	0.00021
Chlorobiaceae	191412	F	7162	21	7183	0.00024
Chloroherpetonaceae	2968741	F	538	0	538	0.00002
Rhodothermaceae	563843	F	2124	56	2180	0.00007
Rubricoccaceae	1853227	F	1822	36	1858	0.00006
Salinibacteraceae	1853225	F	596	0	596	0.00002
Balneolaceae	1813606	F	1574	10	1584	0.00005
Cyclonatronaceae	3024158	F	872	160	1032	0.00003
Ignavibacteriaceae	795749	F	1595	8	1603	0.00005
Melioribacteraceae	1334117	F	769	1	770	0.00003
Gemmatimonadaceae	219687	F	3921	52	3973	0.00013
Candidatus Palauibacteraceae	3056649	F	1461	7	1468	0.00005
Gaopeijiaceae	3381668	F	714	0	714	0.00002
Fibrobacteraceae	204431	F	885	90	975	0.00003
Fidelibacteraceae	3377527	F	550	4	554	0.00002
Candidatus Cloacimonadaceae	3039865	F	326	0	326	0.00001
Enterobacteriaceae	543	F	1572406	495531	2067937	0.06864
Erwiniaceae	1903409	F	45721	2871	48592	0.00161
Yersiniaceae	1903411	F	44051	4930	48981	0.00163
Morganellaceae	1903414	F	32956	13426	46382	0.00154
Pectobacteriaceae	1903410	F	24474	610	25084	0.00083
Hafniaceae	1903412	F	20810	1504	22314	0.00074
Bruguierivoracaceae	2812006	F	5101	47	5148	0.00017
Budviciaceae	1903416	F	3333	77	3410	0.00011
Gallaecimonadaceae	3120698	F	1227	37	1264	0.00004
Pseudomonadaceae	135621	F	203056	20234	223290	0.00741
Marinobacteraceae	2887365	F	9909	384	10293	0.00034
Candidatus Njordibacteraceae	3457296	F	796	9	805	0.00003
Pseudohongiellaceae	3085095	F	452	2	454	0.00002
Ketobacteraceae	3085096	F	230	2	232	0.00001
Aeromonadaceae	84642	F	209881	37472	247353	0.00821
Succinivibrionaceae	83763	F	1008	0	1008	0.00003
Lysobacteraceae	32033	F	66562	6518	73080	0.00243
Rhodanobacteraceae	1775411	F	20369	831	21200	0.00070
Marinicellaceae	3120710	F	295	0	295	0.00001
Shewanellaceae	267890	F	25492	1149	26641	0.00088
Alteromonadaceae	72275	F	20458	696	21154	0.00070
Pseudoalteromonadaceae	267888	F	16230	733	16963	0.00056
Colwelliaceae	267889	F	9900	383	10283	0.00034
Idiomarinaceae	267893	F	2937	141	3078	0.00010
Psychromonadaceae	267894	F	2732	43	2775	0.00009
Ferrimonadaceae	267892	F	1879	64	1943	0.00006
Moritellaceae	267891	F	1313	522	1835	0.00006
Aegicerorhabdaceae	3614797	F	384	7	391	0.00001
Vibrionaceae	641	F	72178	2660	74838	0.00248
Halomonadaceae	28256	F	35833	1018	36851	0.00122
Oceanospirillaceae	135620	F	19260	529	19789	0.00066
Endozoicomonadaceae	2066474	F	3966	79	4045	0.00013
Alcanivoracaceae	224372	F	3701	194	3895	0.00013
Hahellaceae	224379	F	2121	42	2163	0.00007
Saccharospirillaceae	255527	F	1901	27	1928	0.00006
Pleioneaceae	2823145	F	926	537	1463	0.00005
Balneatrichaceae	2301193	F	484	9	493	0.00002
Zooshikellaceae	2898533	F	445	9	454	0.00002
Oleiphilaceae	191033	F	353	7	360	0.00001
Litorivicinaceae	449732	F	178	1	179	0.00001
Moraxellaceae	468	F	44649	16933	61582	0.00204
Pasteurellaceae	712	F	26235	1244	27479	0.00091
Microbulbiferaceae	1706373	F	10292	121	10413	0.00035
Cellvibrionaceae	1706371	F	9573	88	9661	0.00032
Halieaceae	1706372	F	3406	87	3493	0.00012
Spongiibacteraceae	1706375	F	1309	56	1365	0.00005
Porticoccaceae	1706374	F	69	0	69	0.00000
Chromatiaceae	1046	F	9349	281	9630	0.00032
Ectothiorhodospiraceae	72276	F	8344	130	8474	0.00028
Sedimenticolaceae	3067276	F	2796	33	2829	0.00009
Halothiobacillaceae	255526	F	1009	21	1030	0.00003
Thioalkalibacteraceae	2035710	F	905	35	940	0.00003
Granulosicoccaceae	449719	F	726	2	728	0.00002
