name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Bacteroidaceae	815	F	9348224	650391	9998615	0.27632
Rikenellaceae	171550	F	2223587	104377	2327964	0.06434
Tannerellaceae	2005525	F	1797808	171438	1969246	0.05442
Prevotellaceae	171552	F	417674	9648	427322	0.01181
Odoribacteraceae	1853231	F	150834	8534	159368	0.00440
Porphyromonadaceae	171551	F	115238	3213	118451	0.00327
Barnesiellaceae	2005519	F	109393	6471	115864	0.00320
Dysgonomonadaceae	2005520	F	105825	5623	111448	0.00308
Muribaculaceae	2005473	F	58193	606	58799	0.00162
Paludibacteraceae	2005523	F	11776	10	11786	0.00033
Salinivirgaceae	1970190	F	3961	1	3962	0.00011
Tenuifilaceae	2760872	F	3004	1927	4931	0.00014
Prolixibacteraceae	1471398	F	77840	771	78611	0.00217
Marinifilaceae	1573805	F	21623	395	22018	0.00061
Marinilabiliaceae	558415	F	8488	1650	10138	0.00028
Flavobacteriaceae	49546	F	483776	17001	500777	0.01384
Weeksellaceae	2762318	F	129525	11820	141345	0.00391
Blattabacteriaceae	39782	F	6467	135	6602	0.00018
Crocinitomicaceae	1853230	F	3888	62	3950	0.00011
Owenweeksiaceae	3024551	F	3724	52	3776	0.00010
Sanyastnellaceae	3228945	F	1377	1	1378	0.00004
Parvicellaceae	2975259	F	755	748	1503	0.00004
Ichthyobacteriaceae	1755828	F	673	0	673	0.00002
Hymenobacteraceae	1853232	F	127619	1852	129471	0.00358
Spirosomataceae	2896860	F	57574	1408	58982	0.00163
Cytophagaceae	89373	F	42059	687	42746	0.00118
Cyclobacteriaceae	563798	F	30331	3789	34120	0.00094
Flammeovirgaceae	200667	F	11471	1535	13006	0.00036
Reichenbachiellaceae	2762302	F	10511	831	11342	0.00031
Fulvivirgaceae	2762286	F	10019	731	10750	0.00030
Leadbetterellaceae	3141702	F	9444	150	9594	0.00027
Persicobacteraceae	1853234	F	8986	565	9551	0.00026
Catalimonadaceae	1522127	F	6440	106	6546	0.00018
Marivirgaceae	2762301	F	4772	1991	6763	0.00019
Roseivirgaceae	2762306	F	4629	408	5037	0.00014
Bernardetiaceae	1937968	F	3573	8	3581	0.00010
Flectobacillaceae	3141701	F	2990	34	3024	0.00008
Amoebophilaceae	1501348	F	2933	31	2964	0.00008
Rhodocytophagaceae	3078917	F	2231	22	2253	0.00006
Mangrovivirgaceae	2858885	F	977	19	996	0.00003
Sphingobacteriaceae	84566	F	258672	2408	261080	0.00722
Aurantibacillaceae	3088888	F	1184	12	1196	0.00003
Chitinophagaceae	563835	F	139068	569	139637	0.00386
Haliscomenobacteraceae	1937961	F	5775	52	5827	0.00016
Lewinellaceae	1937960	F	4039	68	4107	0.00011
Saprospiraceae	89374	F	3339	3343	6682	0.00018
Chlorobiaceae	191412	F	9808	58	9866	0.00027
Chloroherpetonaceae	2968741	F	592	0	592	0.00002
Rhodothermaceae	563843	F	3795	150	3945	0.00011
Rubricoccaceae	1853227	F	2827	82	2909	0.00008
Salinibacteraceae	1853225	F	972	0	972	0.00003
Balneolaceae	1813606	F	1557	28	1585	0.00004
Cyclonatronaceae	3024158	F	868	340	1208	0.00003
Ignavibacteriaceae	795749	F	1428	18	1446	0.00004
Melioribacteraceae	1334117	F	760	1	761	0.00002
Gemmatimonadaceae	219687	F	5117	171	5288	0.00015
Candidatus Palauibacteraceae	3056649	F	2558	29	2587	0.00007
Gaopeijiaceae	3381668	F	816	0	816	0.00002
Fibrobacteraceae	204431	F	1134	247	1381	0.00004
Candidatus Cloacimonadaceae	3039865	F	588	0	588	0.00002
Fidelibacteraceae	3377527	F	464	0	464	0.00001
Enterobacteriaceae	543	F	3950298	997113	4947411	0.13673
Hafniaceae	1903412	F	509244	24898	534142	0.01476
Yersiniaceae	1903411	F	63147	5111	68258	0.00189
Erwiniaceae	1903409	F	43122	1078	44200	0.00122
Morganellaceae	1903414	F	23483	5701	29184	0.00081
Pectobacteriaceae	1903410	F	21459	517	21976	0.00061
Bruguierivoracaceae	2812006	F	4431	117	4548	0.00013
Budviciaceae	1903416	F	2062	45	2107	0.00006
Gallaecimonadaceae	3120698	F	1832	32	1864	0.00005
Coxiellaceae	118968	F	309965	1029	310994	0.00859
Legionellaceae	444	F	8125	242	8367	0.00023
Pseudomonadaceae	135621	F	221526	14208	235734	0.00651
Marinobacteraceae	2887365	F	9767	293	10060	0.00028
Candidatus Njordibacteraceae	3457296	F	884	8	892	0.00002
Ketobacteraceae	3085096	F	373	2	375	0.00001
Pseudohongiellaceae	3085095	F	296	1	297	0.00001
Lysobacteraceae	32033	F	92574	7229	99803	0.00276
Rhodanobacteraceae	1775411	F	27333	973	28306	0.00078
Marinicellaceae	3120710	F	411	1	412	0.00001
Halomonadaceae	28256	F	37097	829	37926	0.00105
Oceanospirillaceae	135620	F	18337	448	18785	0.00052
Alcanivoracaceae	224372	F	4835	250	5085	0.00014
Endozoicomonadaceae	2066474	F	3341	65	3406	0.00009
Hahellaceae	224379	F	2515	64	2579	0.00007
Saccharospirillaceae	255527	F	2122	28	2150	0.00006
