name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Bacteroides	816	G	8709687	581521	9291208	0.25678
Phocaeicola	909656	G	547677	159730	707407	0.01955
Alistipes	239759	G	2213260	104931	2318191	0.06407
Acetobacteroides	1647173	G	9627	146	9773	0.00027
Parabacteroides	375288	G	1745236	172698	1917934	0.05301
Tannerella	195950	G	49161	2151	51312	0.00142
Prevotella	838	G	220791	8805	229596	0.00635
Segatella	2974251	G	101067	4578	105645	0.00292
Paraprevotella	577309	G	40916	2964	43880	0.00121
Hoylesella	2974257	G	18155	6406	24561	0.00068
Xylanibacter	558436	G	16074	212	16286	0.00045
Pseudoprevotella	2884814	G	7270	81	7351	0.00020
Butyricimonas	574697	G	74471	6063	80534	0.00223
Odoribacter	283168	G	74320	4513	78833	0.00218
Porphyromonas	836	G	58797	2409	61206	0.00169
Macellibacteroides	1159323	G	54618	2626	57244	0.00158
Barnesiella	397864	G	74047	4618	78665	0.00217
Coprobacter	1348911	G	34867	2331	37198	0.00103
Petrimonas	307628	G	30232	5836	36068	0.00100
Dysgonomonas	156973	G	29607	805	30412	0.00084
Proteiniphilum	294702	G	24604	1676	26280	0.00073
Limibacterium	3404873	G	18219	467	18686	0.00052
Duncaniella	2518495	G	21403	449	21852	0.00060
Muribaculum	1918540	G	18564	1164	19728	0.00055
Paramuribaculum	2518497	G	8807	294	9101	0.00025
Sodaliphilus	2815786	G	7804	313	8117	0.00022
Paludibacter	346096	G	11776	10	11786	0.00033
Salinivirga	1970191	G	3961	1	3962	0.00011
Tenuifilum	2760873	G	3004	16	3020	0.00008
Candidatus Azobacteroides	511434	G	1911	0	1911	0.00005
Draconibacterium	1471399	G	36245	718	36963	0.00102
Gaoshiqia	3045890	G	11012	150	11162	0.00031
Mangrovibacterium	1573808	G	9630	751	10381	0.00029
Aquipluma	2792393	G	7980	69	8049	0.00022
Maribellus	2678352	G	6326	155	6481	0.00018
Halosquirtibacter	3374594	G	5364	208	5572	0.00015
Marinifilum	866673	G	11915	443	12358	0.00034
