name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Bacteroidota	976	P	16630258	217547	16847805	0.46558
Chlorobiota	1090	P	10410	48	10458	0.00029
Rhodothermota	1853220	P	7768	58	7826	0.00022
Balneolota	1936987	P	2449	369	2818	0.00008
Ignavibacteriota	1134404	P	2188	19	2207	0.00006
Gemmatimonadota	142182	P	8516	190	8706	0.00024
Fibrobacterota	65842	P	1134	247	1381	0.00004
Candidatus Cloacimonadota	456828	P	588	0	588	0.00002
Fidelibacterota	62680	P	464	0	464	0.00001
Pseudomonadota	1224	P	8617760	792535	9410295	0.26005
Verrucomicrobiota	74201	P	124723	1586	126309	0.00349
Planctomycetota	203682	P	121585	465	122050	0.00337
Chlamydiota	204428	P	3597	28	3625	0.00010
Kiritimatiellota	134625	P	2138	851	2989	0.00008
Lentisphaerota	256845	P	417	0	417	0.00001
Candidatus Omnitrophota	67812	P	399	0	399	0.00001
Thermodesulfobacteriota	200940	P	137913	3009	140922	0.00389
Myxococcota	2818505	P	125948	552	126500	0.00350
Campylobacterota	29547	P	47465	885	48350	0.00134
Acidobacteriota	57723	P	38722	29	38751	0.00107
Spirochaetota	203691	P	37306	424	37730	0.00104
Bdellovibrionota	3018035	P	9986	12	9998	0.00028
Nitrospirota	40117	P	5184	0	5184	0.00014
Deferribacterota	200930	P	2920	12	2932	0.00008
Aquificota	200783	P	2698	15	2713	0.00007
Elusimicrobiota	74152	P	1729	0	1729	0.00005
Calditrichota	1930617	P	1354	0	1354	0.00004
Thermomicrobiota	3027942	P	1332	0	1332	0.00004
Atribacterota	67818	P	897	0	897	0.00002
Chrysiogenota	200938	P	766	98	864	0.00002
Nitrospinota	1293497	P	574	0	574	0.00002
Dictyoglomota	68297	P	485	0	485	0.00001
Thermodesulfobiota	3002442	P	312	0	312	0.00001
Thermosulfidibacterota	3123113	P	257	0	257	0.00001
Caldisericota	67814	P	124	0	124	0.00000
Coprothermobacterota	2138240	P	52	3	55	0.00000
Actinomycetota	201174	P	5365557	40796	5406353	0.14940
Bacillota	1239	P	2802173	211034	3013207	0.08327
Cyanobacteriota	1117	P	75217	79	75296	0.00208
Mycoplasmatota	544448	P	29682	322	30004	0.00083
Chloroflexota	200795	P	12694	100	12794	0.00035
Armatimonadota	67819	P	2621	0	2621	0.00007
Vulcanimicrobiota	1154676	P	832	2	834	0.00002
Deinococcota	1297	P	24300	111	24411	0.00067
Synergistota	508458	P	9741	98	9839	0.00027
Thermotogota	200918	P	6947	189	7136	0.00020
Fusobacteriota	32066	P	22524	2624	25148	0.00069
Candidatus Saccharimonadota	95818	P	764	6	770	0.00002
Candidatus Fervidibacterota	1383058	P	643	0	643	0.00002
Candidatus Bipolaricaulota	67810	P	221	135	356	0.00001
Minisyncoccota	1752724	P	69	33	102	0.00000
Candidatus Absconditibacteriota	221235	P	69	439	508	0.00001
Chordata	7711	P	319370	17639	337009	0.00931
Ascomycota	4890	P	85943	2790	88733	0.00245
Basidiomycota	5204	P	18794	1013	19807	0.00055
Mucoromycota	1913637	P	6397	534	6931	0.00019
Microsporidia	6029	P	1136	10	1146	0.00003
Apicomplexa	5794	P	23121	189	23310	0.00064
Ciliophora	5878	P	37	0	37	0.00000
Bacillariophyta	2836	P	1501	41	1542	0.00004
Oomycota	4762	P	1294	298	1592	0.00004
Cercozoa	136419	P	56	0	56	0.00000
Euglenozoa	33682	P	6181	3	6184	0.00017
Heterolobosea	5752	P	42	0	42	0.00000
Parabasalia	5719	P	2922	1	2923	0.00008
Fornicata	207245	P	1661	0	1661	0.00005
Evosea	2605435	P	1410	313	1723	0.00005
Methanobacteriota	28890	P	90579	181	90760	0.00251
Thermoplasmatota	2283796	P	1067	0	1067	0.00003
Thermoproteota	28889	P	4632	9	4641	0.00013
Nitrososphaerota	651137	P	2333	2	2335	0.00006
Promethearchaeota	3366641	P	607	1	608	0.00002
Candidatus Nanohalarchaeota	1462430	P	180	2	182	0.00001
Nanobdellota	192989	P	63	0	63	0.00000
Microcaldota	1801631	P	50	0	50	0.00000
Uroviricota	2731618	P	9887	26	9913	0.00027
Peploviricota	2731361	P	374	0	374	0.00001
Nucleocytoviricota	2732007	P	2261	0	2261	0.00006
Preplasmiviricota	2732008	P	249	0	249	0.00001
Negarnaviricota	2497569	P	271	0	271	0.00001
Pisuviricota	2732408	P	231	0	231	0.00001
Duplornaviricota	2732405	P	123	0	123	0.00000
Kitrinoviricota	2732406	P	79	0	79	0.00000
Artverviricota	2732409	P	58	1322	1380	0.00004
Cressdnaviricota	2732416	P	168	0	168	0.00000
Cossaviricota	2732415	P	53	0	53	0.00000
Commensaviricota	3412625	P	10	0	10	0.00000
Phixviricota	2732412	P	16	0	16	0.00000
Taleaviricota	2840024	P	40	0	40	0.00000
