name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Bacteroides thetaiotaomicron	818	S	692707	119616	812323	0.02245
Bacteroides sp. CG01	3096000	S	138975	23032	162007	0.00448
Bacteroides sp. M10	2763022	S	66705	73735	140440	0.00388
Bacteroides sp. KFT8	2025659	S	41940	67286	109226	0.00302
Bacteroides sp. D2	556259	S	28814	59963	88777	0.00245
Bacteroides sp. DH3716P	2847299	S	6976	59917	66893	0.00185
Bacteroides sp. CACC 737	2755405	S	6667	28771	35438	0.00098
Bacteroides sp. HF-162	2785531	S	5714	43501	49215	0.00136
Bacteroides sp. A1C1	2528203	S	4690	25882	30572	0.00085
Bacteroides sp. ZJ-18	2709390	S	3265	23042	26307	0.00073
Bacteroides sp. BFG-257	2972761	S	115	5125	5240	0.00014
Bacteroides sp. PHL 2737	2162637	S	102	20320	20422	0.00056
Bacteroides sp. KG68	3397824	S	53	36824	36877	0.00102
Bacteroides faecium	2715212	S	413352	9769	423121	0.01170
Bacteroides salyersiae	291644	S	366068	37635	403703	0.01116
Bacteroides graminisolvens	477666	S	350859	536	351395	0.00971
Bacteroides caccae	47678	S	345011	25788	370799	0.01025
Bacteroides fragilis	817	S	339489	388897	728386	0.02013
Bacteroides faecis	674529	S	332327	86000	418327	0.01156
Bacteroides stercoris	46506	S	327711	63685	391396	0.01082
Bacteroides helcogenes	290053	S	281689	2148	283837	0.00785
Bacteroides pyogenes	310300	S	257046	11037	268083	0.00741
Bacteroides eggerthii	28111	S	240351	42946	283297	0.00783
Bacteroides uniformis	820	S	220859	149439	370298	0.01024
Bacteroides cellulosilyticus	246787	S	207721	99065	306786	0.00848
Bacteroides intestinalis	329854	S	191167	11342	202509	0.00560
Bacteroides xylanisolvens	371601	S	174415	179790	354205	0.00979
Bacteroides nordii	291645	S	156876	21017	177893	0.00492
Bacteroides ovatus	28116	S	148865	436214	585079	0.01617
Bacteroides zoogleoformans	28119	S	135404	21922	157326	0.00435
Bacteroides luhongzhouii	2650158	S	121849	16889	138738	0.00384
Bacteroides caecimuris	1796613	S	117882	28737	146619	0.00405
Bacteroides hominis	2763023	S	108933	558634	667567	0.01845
Prevotella heparinolytica	28113	S	98831	13573	112404	0.00311
uncultured Bacteroides sp.	162156	S	92896	938	93834	0.00259
Bacteroides maternus	3117552	S	81653	13359	95012	0.00263
Bacteroides sedimenti	2136147	S	73306	876	74182	0.00205
Bacteroides zhangwenhongii	2650157	S	61529	45313	106842	0.00295
Bacteroides difficilis	2763021	S	40986	35544	76530	0.00212
Bacteroides finegoldii	338188	S	37225	21280	58505	0.00162
Bacteroides humanifaecis	2792859	S	9165	52809	61974	0.00171
Phocaeicola vulgatus	821	S	136695	284724	421419	0.01165
Phocaeicola dorei	357276	S	107820	25475	133295	0.00368
Phocaeicola coprophilus	387090	S	72738	9540	82278	0.00227
Phocaeicola salanitronis	376805	S	67439	3162	70601	0.00195
Alistipes onderdonkii	328813	S	291835	78892	370727	0.01025
uncultured Alistipes sp.	538949	S	267453	16326	283779	0.00784
Alistipes finegoldii	214856	S	264004	126060	390064	0.01078
Alistipes senegalensis	1288121	S	189160	52901	242061	0.00669
Alistipes sp. i18-0019-D1	3132707	S	99801	23932	123733	0.00342
Alistipes sp. dk3624	2662363	S	53940	2013	55953	0.00155
Alistipes dispar	2585119	S	138021	6481	144502	0.00399
Alistipes shahii	328814	S	123104	78442	201546	0.00557
Alistipes communis	2585118	S	115648	17838	133486	0.00369
Alistipes megaguti	2364787	S	114879	7353	122232	0.00338
Alistipes putredinis	28117	S	99866	16696	116562	0.00322
Alistipes indistinctus	626932	S	78345	3816	82161	0.00227
Alistipes ihumii	1470347	S	50859	633	51492	0.00142
uncultured Acetobacteroides sp.	1760811	S	9627	146	9773	0.00027
Parabacteroides goldsteinii	328812	S	322955	27246	350201	0.00968
Parabacteroides faecis	1217282	S	200260	29687	229947	0.00636
Parabacteroides sp. ASD2025	3415987	S	192467	20283	212750	0.00588
Parabacteroides sp. CT06	2025876	S	1327	82825	84152	0.00233
Parabacteroides chongii	2685834	S	163962	15592	179554	0.00496
Parabacteroides distasonis	823	S	151979	275962	427941	0.01183
Parabacteroides merdae	46503	S	141587	73751	215338	0.00595
Parabacteroides johnsonii	387661	S	112884	30682	143566	0.00397
Parabacteroides absconsus	2951805	S	69610	5108	74718	0.00207
Tannerella forsythia	28112	S	29957	1945	31902	0.00088
Tannerella serpentiformis	712710	S	18932	480	19412	0.00054
Prevotella sp. E13-17	2913616	S	12455	599	13054	0.00036
Prevotella sp. E9-3	2913621	S	12306	900	13206	0.00037
Prevotella sp. E15-22	2937774	S	9908	748	10656	0.00029
Prevotella sp. Rep29	2691580	S	9820	239	10059	0.00028
Prevotella sp. oral taxon 475	712471	S	9724	312	10036	0.00028
Prevotella sp. E2-28	2913620	S	8449	458	8907	0.00025
Prevotella sp. oral taxon 299	652716	S	4535	453	4988	0.00014
Prevotella melaninogenica	28132	S	24976	5348	30324	0.00084
Prevotella intermedia	28131	S	15776	4756	20532	0.00057
Prevotella dentalis	52227	S	13797	2672	16469	0.00046
Prevotella communis	2913614	S	12595	498	13093	0.00036
Prevotella denticola	28129	S	9793	2750	12543	0.00035
Prevotella herbatica	2801997	S	6704	56	6760	0.00019
Prevotella bivia	28125	S	5617	547	6164	0.00017
Prevotella nigrescens	28133	S	5525	3017	8542	0.00024
Prevotella jejuni	1177574	S	5508	2106	7614	0.00021
Prevotella corporis	28128	S	5408	854	6262	0.00017
Prevotella fusca	589436	S	5249	1025	6274	0.00017
Prevotella multiformis	282402	S	5221	1967	7188	0.00020
Prevotella veroralis	28137	S	5108	1097	6205	0.00017
Prevotella histicola	470565	S	4902	652	5554	0.00015
Prevotella scopos	589437	S	3702	1475	5177	0.00014
Segatella copri	165179	S	73861	3859	77720	0.00215
Segatella hominis	2518605	S	8787	1569	10356	0.00029
Segatella oris	28135	S	7346	1692	9038	0.00025
Segatella bryantii	77095	S	1758	2530	4288	0.00012
Segatella baroniae	305719	S	1040	3208	4248	0.00012
Paraprevotella clara	454154	S	15860	6136	21996	0.00061
Paraprevotella xylaniphila	454155	S	15702	6184	21886	0.00060
Hoylesella buccalis	28127	S	10443	2753	13196	0.00036
Hoylesella enoeca	76123	S	7699	3667	11366	0.00031
Xylanibacter ruminicola	839	S	16074	212	16286	0.00045
Pseudoprevotella muciniphila	2133944	S	7270	81	7351	0.00020
Butyricimonas faecalis	2093856	S	17186	4394	21580	0.00060
Butyricimonas virosa	544645	S	11636	5923	17559	0.00049
Butyricimonas paravirosa	1472417	S	10005	11998	22003	0.00061
Butyricimonas faecihominis	1472416	S	9749	9661	19410	0.00054
Odoribacter splanchnicus	28118	S	74320	4514	78834	0.00218
Porphyromonas gingivalis	837	S	18547	1573	20120	0.00056
Porphyromonas pogonae	867595	S	8836	1315	10151	0.00028
Porphyromonas sp. oral taxon 275	712435	S	5746	81	5827	0.00016
Porphyromonas cangingivalis	36874	S	5257	514	5771	0.00016
Porphyromonas crevioricanis	393921	S	4286	197	4483	0.00012
Porphyromonas levii	28114	S	4185	114	4299	0.00012
Porphyromonas endodontalis	28124	S	3716	174	3890	0.00011
Porphyromonas asaccharolytica	28123	S	3355	131	3486	0.00010
Porphyromonas somerae	322095	S	2995	192	3187	0.00009
Macellibacteroides fermentans	879969	S	54618	2627	57245	0.00158
