name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Bacteroidaceae	815	F	9311078	624651	9935729	0.25136
Rikenellaceae	171550	F	2165397	103778	2269175	0.05741
Tannerellaceae	2005525	F	1933528	176721	2110249	0.05339
Prevotellaceae	171552	F	422046	9088	431134	0.01091
Odoribacteraceae	1853231	F	150458	8250	158708	0.00402
Porphyromonadaceae	171551	F	111942	2957	114899	0.00291
Barnesiellaceae	2005519	F	109481	6217	115698	0.00293
Dysgonomonadaceae	2005520	F	105179	5620	110799	0.00280
Muribaculaceae	2005473	F	58242	589	58831	0.00149
Paludibacteraceae	2005523	F	11780	10	11790	0.00030
Salinivirgaceae	1970190	F	3735	2	3737	0.00009
Tenuifilaceae	2760872	F	2968	1827	4795	0.00012
Prolixibacteraceae	1471398	F	77356	787	78143	0.00198
Marinifilaceae	1573805	F	24995	435	25430	0.00064
Marinilabiliaceae	558415	F	8404	1652	10056	0.00025
Flavobacteriaceae	49546	F	488614	16587	505201	0.01278
Weeksellaceae	2762318	F	126365	12187	138552	0.00351
Blattabacteriaceae	39782	F	5803	203	6006	0.00015
Crocinitomicaceae	1853230	F	3796	64	3860	0.00010
Owenweeksiaceae	3024551	F	3636	45	3681	0.00009
Sanyastnellaceae	3228945	F	1350	942	2292	0.00006
Parvicellaceae	2975259	F	705	7	712	0.00002
Ichthyobacteriaceae	1755828	F	659	1	660	0.00002
Hymenobacteraceae	1853232	F	126673	1788	128461	0.00325
Spirosomataceae	2896860	F	57326	1362	58688	0.00148
Cytophagaceae	89373	F	41822	549	42371	0.00107
Cyclobacteriaceae	563798	F	30504	3726	34230	0.00087
Flammeovirgaceae	200667	F	11420	1484	12904	0.00033
Reichenbachiellaceae	2762302	F	10338	759	11097	0.00028
Fulvivirgaceae	2762286	F	9794	687	10481	0.00027
Leadbetterellaceae	3141702	F	9251	126	9377	0.00024
Persicobacteraceae	1853234	F	8927	514	9441	0.00024
Catalimonadaceae	1522127	F	6247	79	6326	0.00016
Marivirgaceae	2762301	F	4684	1920	6604	0.00017
Roseivirgaceae	2762306	F	4462	385	4847	0.00012
Bernardetiaceae	1937968	F	3405	13	3418	0.00009
Flectobacillaceae	3141701	F	2999	35	3034	0.00008
Amoebophilaceae	1501348	F	2862	25	2887	0.00007
Rhodocytophagaceae	3078917	F	2206	26	2232	0.00006
Mangrovivirgaceae	2858885	F	985	17	1002	0.00003
Sphingobacteriaceae	84566	F	265027	3829	268856	0.00680
Aurantibacillaceae	3088888	F	1208	11	1219	0.00003
Chitinophagaceae	563835	F	139865	956	140821	0.00356
Haliscomenobacteraceae	1937961	F	5828	46	5874	0.00015
Lewinellaceae	1937960	F	3992	59	4051	0.00010
Saprospiraceae	89374	F	3291	3388	6679	0.00017
Chlorobiaceae	191412	F	9574	52	9626	0.00024
Chloroherpetonaceae	2968741	F	573	0	573	0.00001
Rhodothermaceae	563843	F	3862	148	4010	0.00010
