name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Bacteroides	816	G	8676491	558252	9234743	0.23363
Phocaeicola	909656	G	544930	156056	700986	0.01773
Alistipes	239759	G	2155128	104104	2259232	0.05716
Acetobacteroides	1647173	G	9545	398	9943	0.00025
Parabacteroides	375288	G	1882015	178188	2060203	0.05212
Tannerella	195950	G	48192	1854	50046	0.00127
Prevotella	838	G	223038	8586	231624	0.00586
Segatella	2974251	G	103671	4549	108220	0.00274
Paraprevotella	577309	G	40708	2941	43649	0.00110
Hoylesella	2974257	G	17768	6382	24150	0.00061
Xylanibacter	558436	G	15870	214	16084	0.00041
Pseudoprevotella	2884814	G	7322	83	7405	0.00019
Odoribacter	283168	G	74342	4502	78844	0.00199
Butyricimonas	574697	G	74121	5743	79864	0.00202
Porphyromonas	836	G	57900	2192	60092	0.00152
Macellibacteroides	1159323	G	52257	2550	54807	0.00139
Barnesiella	397864	G	74240	4401	78641	0.00199
Coprobacter	1348911	G	34765	2292	37057	0.00094
Petrimonas	307628	G	30047	6009	36056	0.00091
Proteiniphilum	294702	G	24554	1784	26338	0.00067
Limibacterium	3404873	G	18070	494	18564	0.00047
Dysgonomonas	156973	G	16880	19	16899	0.00043
Indolivaga	3680098	G	12242	697	12939	0.00033
Duncaniella	2518495	G	21506	445	21951	0.00056
Muribaculum	1918540	G	18501	1149	19650	0.00050
Paramuribaculum	2518497	G	8696	287	8983	0.00023
Sodaliphilus	2815786	G	7952	292	8244	0.00021
Paludibacter	346096	G	11780	10	11790	0.00030
Salinivirga	1970191	G	3735	2	3737	0.00009
Tenuifilum	2760873	G	2968	16	2984	0.00008
Candidatus Azobacteroides	511434	G	1810	0	1810	0.00005
Draconibacterium	1471399	G	36185	726	36911	0.00093
Gaoshiqia	3045890	G	11229	154	11383	0.00029
Mangrovibacterium	1573808	G	9420	729	10149	0.00026
Aquipluma	2792393	G	7762	70	7832	0.00020
Maribellus	2678352	G	6151	151	6302	0.00016
Halosquirtibacter	3374594	G	5355	209	5564	0.00014
Labilibaculum	2060722	G	12930	465	13395	0.00034
Marinifilum	866673	G	11579	456	12035	0.00030
Alkalitalea	1193324	G	4294	155	4449	0.00011
Xiashengella	3129724	G	3876	1730	5606	0.00014
Flavobacterium	237	G	167096	10025	177121	0.00448
Capnocytophaga	1016	G	27863	1068	28931	0.00073
Flagellimonas	444459	G	22225	3803	26028	0.00066
Polaribacter	52959	G	17894	3005	20899	0.00053
Tenacibaculum	104267	G	15965	2928	18893	0.00048
Maribacter	252356	G	13631	2476	16107	0.00041
Christiangramia	292691	G	9583	1295	10878	0.00028
Winogradskyella	286104	G	9210	1736	10946	0.00028
Aquimarina	290174	G	9075	687	9762	0.00025
Myroides	76831	G	8905	1549	10454	0.00026
Leeuwenhoekiella	283735	G	6440	1528	7968	0.00020
Zobellia	112040	G	6337	368	6705	0.00017
Nonlabens	363408	G	6238	844	7082	0.00018
Formosa	225842	G	5421	860	6281	0.00016
Mariniflexile	527198	G	5215	620	5835	0.00015
Aequorivita	153265	G	5204	653	5857	0.00015
Cellulophaga	104264	G	4883	572	5455	0.00014
Salegentibacter	143222	G	4675	3248	7923	0.00020
Algibacter	261827	G	3835	724	4559	0.00012
Sinomicrobium	1434045	G	3726	40	3766	0.00010
Robiginitalea	252306	G	3591	184	3775	0.00010
Arenibacter	178469	G	3506	1415	4921	0.00012
Allomuricauda	111500	G	3494	187	3681	0.00009
Salinimicrobium	561367	G	3434	399	3833	0.00010
Kordia	221065	G	3426	201	3627	0.00009
Zunongwangia	417127	G	3289	2145	5434	0.00014
Wenyingzhuangia	1518147	G	3105	364	3469	0.00009
Antarcticibacterium	2058174	G	2919	468	3387	0.00009
Daejeonia	2027867	G	2891	2507	5398	0.00014
Dokdonia	326319	G	2848	199	3047	0.00008
Seonamhaeicola	1649495	G	2591	236	2827	0.00007
Lacinutrix	291183	G	2475	830	3305	0.00008
Flavivirga	1209327	G	2223	108	2331	0.00006
Lutibacter	358023	G	2128	103	2231	0.00006
Galbibacter	379068	G	2101	717	2818	0.00007
Aestuariibaculum	1386924	G	1999	185	2184	0.00006
Olleya	336276	G	1912	780	2692	0.00007
Zhouia	561555	G	1874	514	2388	0.00006
Mangrovimonas	1211036	G	1831	260	2091	0.00005
Ulvibacterium	2665910	G	1479	8	1487	0.00004
Abyssalbus	2967089	G	1452	61	1513	0.00004
Lutimonas	449810	G	1397	70	1467	0.00004
Euzebyella	1287916	G	1388	905	2293	0.00006
Rasiella	2987594	G	1337	149	1486	0.00004
Psychroserpens	49277	G	1321	406	1727	0.00004
Paenimyroides	3085669	G	1271	842	2113	0.00005
Aggregatimonas	2913017	G	1231	25	1256	0.00003
Changchengzhania	2049301	G	1213	79	1292	0.00003
