name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Bacteroidota	976	P	16679183	195885	16875068	0.42688
Chlorobiota	1090	P	10158	41	10199	0.00026
Rhodothermota	1853220	P	7721	54	7775	0.00020
Balneolota	1936987	P	2272	177	2449	0.00006
Ignavibacteriota	1134404	P	2177	17	2194	0.00006
Gemmatimonadota	142182	P	8315	97	8412	0.00021
Fibrobacterota	65842	P	1107	115	1222	0.00003
Candidatus Cloacimonadota	456828	P	564	0	564	0.00001
Fidelibacterota	62680	P	447	3	450	0.00001
Pseudomonadota	1224	P	8643308	977338	9620646	0.24337
Verrucomicrobiota	74201	P	127926	1345	129271	0.00327
Planctomycetota	203682	P	121448	461	121909	0.00308
Chlamydiota	204428	P	3541	22	3563	0.00009
Kiritimatiellota	134625	P	2130	842	2972	0.00008
Lentisphaerota	256845	P	418	0	418	0.00001
Candidatus Omnitrophota	67812	P	405	0	405	0.00001
Thermodesulfobacteriota	200940	P	137340	2412	139752	0.00354
Myxococcota	2818505	P	123122	572	123694	0.00313
Campylobacterota	29547	P	47965	885	48850	0.00124
Acidobacteriota	57723	P	39040	28	39068	0.00099
Spirochaetota	203691	P	37178	376	37554	0.00095
Bdellovibrionota	3018035	P	10105	18	10123	0.00026
Nitrospirota	40117	P	7839	121	7960	0.00020
Deferribacterota	200930	P	2856	14	2870	0.00007
Aquificota	200783	P	2577	15	2592	0.00007
Elusimicrobiota	74152	P	1735	1	1736	0.00004
Thermomicrobiota	3027942	P	1326	0	1326	0.00003
Calditrichota	1930617	P	1324	0	1324	0.00003
Dictyoglomota	68297	P	1026	0	1026	0.00003
Atribacterota	67818	P	881	0	881	0.00002
Chrysiogenota	200938	P	753	80	833	0.00002
Nitrospinota	1293497	P	568	0	568	0.00001
Thermodesulfobiota	3002442	P	344	0	344	0.00001
Thermosulfidibacterota	3123113	P	253	0	253	0.00001
Zhurongbacterota	3470743	P	162	0	162	0.00000
Caldisericota	67814	P	104	0	104	0.00000
Coprothermobacterota	2138240	P	52	3	55	0.00000
Actinomycetota	201174	P	5379714	38300	5418014	0.13706
Bacillota	1239	P	2843926	190270	3034196	0.07676
Cyanobacteriota	1117	P	73997	88	74085	0.00187
Mycoplasmatota	544448	P	28908	548	29456	0.00075
Chloroflexota	200795	P	12653	94	12747	0.00032
Armatimonadota	67819	P	2572	0	2572	0.00007
Vulcanimicrobiota	1154676	P	826	2	828	0.00002
Deinococcota	1297	P	24295	94	24389	0.00062
Synergistota	508458	P	9622	80	9702	0.00025
Thermotogota	200918	P	6660	163	6823	0.00017
Fusobacteriota	32066	P	23081	2765	25846	0.00065
Candidatus Saccharimonadota	95818	P	812	4	816	0.00002
Candidatus Fervidibacterota	1383058	P	554	0	554	0.00001
Candidatus Bipolaricaulota	67810	P	226	135	361	0.00001
Minisyncoccota	1752724	P	75	34	109	0.00000
Candidatus Absconditibacteriota	221235	P	77	401	478	0.00001
Streptophyta	35493	P	2951379	149329	3100708	0.07844
Chlorophyta	3041	P	5729	81	5810	0.00015
Chordata	7711	P	256973	64642	321615	0.00814
Ascomycota	4890	P	78224	3436	81660	0.00207
Basidiomycota	5204	P	15711	736	16447	0.00042
Mucoromycota	1913637	P	5740	682	6422	0.00016
Microsporidia	6029	P	1217	11	1228	0.00003
Apicomplexa	5794	P	19106	544	19650	0.00050
Ciliophora	5878	P	33	0	33	0.00000
Bacillariophyta	2836	P	1228	5	1233	0.00003
Oomycota	4762	P	948	2	950	0.00002
Cercozoa	136419	P	11	0	11	0.00000
Euglenozoa	33682	P	5639	11	5650	0.00014
Parabasalia	5719	P	2800	9	2809	0.00007
Fornicata	207245	P	1530	2	1532	0.00004
Evosea	2605435	P	1107	44	1151	0.00003
Rhodophyta	2763	P	370	164	534	0.00001
Methanobacteriota	28890	P	88978	273	89251	0.00226
Thermoplasmatota	2283796	P	1035	0	1035	0.00003
Thermoproteota	28889	P	4653	9	4662	0.00012
Nitrososphaerota	651137	P	2642	4	2646	0.00007
Promethearchaeota	3366641	P	724	3	727	0.00002
Candidatus Nanohalarchaeota	1462430	P	177	1	178	0.00000
Nanobdellota	192989	P	48	2	50	0.00000
Microcaldota	1801631	P	44	0	44	0.00000
Uroviricota	2731618	P	10048	13	10061	0.00025
Peploviricota	2731361	P	355	0	355	0.00001
Nucleocytoviricota	2732007	P	2066	0	2066	0.00005
Preplasmiviricota	2732008	P	232	0	232	0.00001
Negarnaviricota	2497569	P	267	0	267	0.00001
Pisuviricota	2732408	P	196	0	196	0.00000
Duplornaviricota	2732405	P	89	0	89	0.00000
Kitrinoviricota	2732406	P	72	0	72	0.00000
Lenarviricota	2732407	P	14	232	246	0.00001
Artverviricota	2732409	P	50	1340	1390	0.00004
Cressdnaviricota	2732416	P	163	0	163	0.00000
Cossaviricota	2732415	P	60	0	60	0.00000
Phixviricota	2732412	P	16	0	16	0.00000
Taleaviricota	2840024	P	38	0	38	0.00000
