name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Bacteroides thetaiotaomicron	818	S	691684	116435	808119	0.02045
Bacteroides faecium	2715212	S	412467	9874	422341	0.01069
Bacteroides salyersiae	291644	S	363676	36336	400012	0.01012
Bacteroides graminisolvens	477666	S	349984	518	350502	0.00887
Bacteroides caccae	47678	S	344941	25888	370829	0.00938
Bacteroides fragilis	817	S	335642	394036	729678	0.01846
Bacteroides faecis	674529	S	332017	83032	415049	0.01050
Bacteroides stercoris	46506	S	327666	61928	389594	0.00986
Bacteroides helcogenes	290053	S	281104	2140	283244	0.00717
Bacteroides pyogenes	310300	S	256394	10843	267237	0.00676
Bacteroides sp. M10	2763022	S	65917	69531	135448	0.00343
Bacteroides sp. D2	556259	S	28634	55809	84443	0.00214
Bacteroides sp. DH3716P	2847299	S	6855	58630	65485	0.00166
Bacteroides sp. CACC 737	2755405	S	6491	29420	35911	0.00091
Bacteroides sp. HF-162	2785531	S	5737	45497	51234	0.00130
Bacteroides sp. A1C1	2528203	S	4724	27437	32161	0.00081
Bacteroides sp. ZJ-18	2709390	S	3299	23069	26368	0.00067
Bacteroides sp. BFG-257	2972761	S	115	5117	5232	0.00013
Bacteroides sp. PHL 2737	2162637	S	101	19821	19922	0.00050
Bacteroides sp. KG68	3397824	S	53	46141	46194	0.00117
Bacteroides eggerthii	28111	S	239858	42463	282321	0.00714
Bacteroides uniformis	820	S	220260	146657	366917	0.00928
Bacteroides cellulosilyticus	246787	S	207578	97965	305543	0.00773
Bacteroides intestinalis	329854	S	190928	11313	202241	0.00512
Bacteroides xylanisolvens	371601	S	173822	177997	351819	0.00890
Bacteroides nordii	291645	S	156826	21003	177829	0.00450
Bacteroides ovatus	28116	S	149859	436665	586524	0.01484
Bacteroides mucinivorans	3096000	S	135644	22357	158001	0.00400
Bacteroides zoogleoformans	28119	S	135576	21973	157549	0.00399
Bacteroides luhongzhouii	2650158	S	121615	16704	138319	0.00350
Bacteroides caecimuris	1796613	S	117636	27810	145446	0.00368
Bacteroides hominis	2763023	S	108671	552164	660835	0.01672
Prevotella heparinolytica	28113	S	98798	13571	112369	0.00284
uncultured Bacteroides sp.	162156	S	92112	945	93057	0.00235
Bacteroides maternus	3117552	S	81696	13344	95040	0.00240
Bacteroides sedimenti	2136147	S	72084	875	72959	0.00185
Bacteroides zhangwenhongii	2650157	S	61343	44901	106244	0.00269
Bacteroides difficilis	2763021	S	40864	35068	75932	0.00192
Bacteroides celer	2025659	S	40079	46987	87066	0.00220
Bacteroides finegoldii	338188	S	37424	21320	58744	0.00149
Bacteroides parvus	2763025	S	9193	52803	61996	0.00157
Phocaeicola vulgatus	821	S	135957	282369	418326	0.01059
Phocaeicola dorei	357276	S	106952	24727	131679	0.00333
Phocaeicola coprophilus	387090	S	72440	8616	81056	0.00205
Phocaeicola salanitronis	376805	S	67102	2981	70083	0.00177
uncultured Alistipes sp.	538949	S	303069	13454	316523	0.00801
Alistipes onderdonkii	328813	S	298490	77232	375722	0.00951
Alistipes finegoldii	214856	S	270527	123965	394492	0.00998
Alistipes senegalensis	1288121	S	197253	52041	249294	0.00631
Alistipes sp. i18-0019-D1	3132707	S	102140	23528	125668	0.00318
Alistipes sp. dk3624	2662363	S	53871	1981	55852	0.00141
Alistipes dispar	2585119	S	143682	6633	150315	0.00380
Alistipes shahii	328814	S	127475	77211	204686	0.00518
Alistipes communis	2585118	S	117493	17226	134719	0.00341
Alistipes putredinis	28117	S	101547	16718	118265	0.00299
Alistipes indistinctus	626932	S	78350	3722	82072	0.00208
Alistipes ihumii	1470347	S	51083	634	51717	0.00131
uncultured Acetobacteroides sp.	1760811	S	9545	400	9945	0.00025
Parabacteroides sp. APC149_11_2_Y6	3372857	S	208203	22328	230531	0.00583
Parabacteroides sp. ASD2025	3415987	S	182005	22471	204476	0.00517
Parabacteroides sp. CT06	2025876	S	1215	75234	76449	0.00193
Parabacteroides goldsteinii	328812	S	309101	24997	334098	0.00845
Parabacteroides faecis	1217282	S	194940	27291	222231	0.00562
Parabacteroides chongii	2685834	S	157956	14906	172862	0.00437
Parabacteroides distasonis	823	S	147618	264660	412278	0.01043
Parabacteroides merdae	46503	S	134373	66714	201087	0.00509
Parabacteroides johnsonii	387661	S	106739	29375	136114	0.00344
Parabacteroides absconsus	2951805	S	65773	4565	70338	0.00178
Tannerella forsythia	28112	S	29119	1660	30779	0.00078
Tannerella serpentiformis	712710	S	18810	458	19268	0.00049
Prevotella sp. E13-17	2913616	S	12276	614	12890	0.00033
Prevotella sp. E9-3	2913621	S	12048	898	12946	0.00033
Prevotella sp. Rep29	2691580	S	9892	242	10134	0.00026
