name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Rikenellaceae	171550	F	5422083	198138	5620221	0.24168
Bacteroidaceae	815	F	1180119	99698	1279817	0.05503
Tannerellaceae	2005525	F	741947	66280	808227	0.03475
Odoribacteraceae	1853231	F	108840	9861	118701	0.00510
Prevotellaceae	171552	F	101680	2593	104273	0.00448
Barnesiellaceae	2005519	F	33946	1676	35622	0.00153
Dysgonomonadaceae	2005520	F	32055	1126	33181	0.00143
Porphyromonadaceae	171551	F	30436	1861	32297	0.00139
Muribaculaceae	2005473	F	23167	248	23415	0.00101
Paludibacteraceae	2005523	F	4572	4	4576	0.00020
Salinivirgaceae	1970190	F	1990	1	1991	0.00009
Tenuifilaceae	2760872	F	1221	1039	2260	0.00010
Prolixibacteraceae	1471398	F	28359	182	28541	0.00123
Marinifilaceae	1573805	F	7459	102	7561	0.00033
Marinilabiliaceae	558415	F	3930	336	4266	0.00018
Flavobacteriaceae	49546	F	305013	13355	318368	0.01369
Weeksellaceae	2762318	F	89392	12926	102318	0.00440
Blattabacteriaceae	39782	F	9283	394	9677	0.00042
Crocinitomicaceae	1853230	F	3208	72	3280	0.00014
Owenweeksiaceae	3024551	F	1641	25	1666	0.00007
Sanyastnellaceae	3228945	F	632	627	1259	0.00005
Parvicellaceae	2975259	F	574	6	580	0.00002
Ichthyobacteriaceae	1755828	F	526	0	526	0.00002
Hymenobacteraceae	1853232	F	56918	492	57410	0.00247
Spirosomataceae	2896860	F	30701	627	31328	0.00135
Cytophagaceae	89373	F	19680	252	19932	0.00086
Cyclobacteriaceae	563798	F	17696	1453	19149	0.00082
Reichenbachiellaceae	2762302	F	6320	288	6608	0.00028
Leadbetterellaceae	3141702	F	5904	81	5985	0.00026
Catalimonadaceae	1522127	F	5245	93	5338	0.00023
Fulvivirgaceae	2762286	F	5083	311	5394	0.00023
Marivirgaceae	2762301	F	5020	1104	6124	0.00026
Persicobacteraceae	1853234	F	4900	220	5120	0.00022
Flammeovirgaceae	200667	F	4865	405	5270	0.00023
Bernardetiaceae	1937968	F	2844	7	2851	0.00012
Mangrovivirgaceae	2858885	F	2151	35	2186	0.00009
Roseivirgaceae	2762306	F	2141	121	2262	0.00010
Amoebophilaceae	1501348	F	2115	93	2208	0.00009
Flectobacillaceae	3141701	F	1508	16	1524	0.00007
Rhodocytophagaceae	3078917	F	1070	10	1080	0.00005
Sphingobacteriaceae	84566	F	108181	1722	109903	0.00473
Aurantibacillaceae	3088888	F	639	57	696	0.00003
Chitinophagaceae	563835	F	61527	178	61705	0.00265
Lewinellaceae	1937960	F	3764	49	3813	0.00016
Saprospiraceae	89374	F	3717	15	3732	0.00016
Haliscomenobacteraceae	1937961	F	2901	2030	4931	0.00021
Chlorobiaceae	191412	F	6501	56	6557	0.00028
Chloroherpetonaceae	2968741	F	551	1	552	0.00002
Rhodothermaceae	563843	F	2901	49	2950	0.00013
Rubricoccaceae	1853227	F	2507	24	2531	0.00011
Salinibacteraceae	1853225	F	748	0	748	0.00003
Melioribacteraceae	1334117	F	2895	5	2900	0.00012
Ignavibacteriaceae	795749	F	1040	11	1051	0.00005
Balneolaceae	1813606	F	1380	24	1404	0.00006
Cyclonatronaceae	3024158	F	406	117	523	0.00002
Gemmatimonadaceae	219687	F	5567	192	5759	0.00025
Candidatus Palauibacteraceae	3056649	F	1895	11	1906	0.00008
Gaopeijiaceae	3381668	F	767	0	767	0.00003
Fibrobacteraceae	204431	F	4816	767	5583	0.00024
Fidelibacteraceae	3377527	F	522	2	524	0.00002
Candidatus Cloacimonadaceae	3039865	F	510	0	510	0.00002
Enterobacteriaceae	543	F	307274	262120	569394	0.02448
Erwiniaceae	1903409	F	30418	1623	32041	0.00138
Morganellaceae	1903414	F	25968	9116	35084	0.00151
Yersiniaceae	1903411	F	25534	4567	30101	0.00129
Pectobacteriaceae	1903410	F	14598	687	15285	0.00066
Hafniaceae	1903412	F	14247	2344	16591	0.00071
Budviciaceae	1903416	F	3599	230	3829	0.00016
Bruguierivoracaceae	2812006	F	2443	89	2532	0.00011
Gallaecimonadaceae	3120698	F	1869	117	1986	0.00009
Shewanellaceae	267890	F	148145	59947	208092	0.00895
Alteromonadaceae	72275	F	23297	10467	33764	0.00145
Pseudoalteromonadaceae	267888	F	18244	403	18647	0.00080
Colwelliaceae	267889	F	15952	336	16288	0.00070
Idiomarinaceae	267893	F	7978	423	8401	0.00036
Psychromonadaceae	267894	F	3883	93	3976	0.00017
Ferrimonadaceae	267892	F	1546	56	1602	0.00007
Moritellaceae	267891	F	1367	201	1568	0.00007
Pseudomonadaceae	135621	F	176405	29769	206174	0.00887
Marinobacteraceae	2887365	F	12533	1360	13893	0.00060
Candidatus Njordibacteraceae	3457296	F	1206	30	1236	0.00005
Pseudohongiellaceae	3085095	F	359	4	363	0.00002
Ketobacteraceae	3085096	F	157	3	160	0.00001
Lysobacteraceae	32033	F	100043	20943	120986	0.00520
Rhodanobacteraceae	1775411	F	19163	1107	20270	0.00087
Marinicellaceae	3120710	F	210	1	211	0.00001
Aeromonadaceae	84642	F	117469	44327	161796	0.00696
Succinivibrionaceae	83763	F	1381	2	1383	0.00006
Vibrionaceae	641	F	72858	6800	79658	0.00343
Halomonadaceae	28256	F	32986	1362	34348	0.00148
Oceanospirillaceae	135620	F	24467	1333	25800	0.00111
Hahellaceae	224379	F	3697	106	3803	0.00016
Endozoicomonadaceae	2066474	F	3127	96	3223	0.00014
Alcanivoracaceae	224372	F	2669	194	2863	0.00012
