name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
uncultured Alistipes sp.	538949	S	890026	33966	923992	0.03479
Alistipes finegoldii	214856	S	860029	306674	1166703	0.04393
Alistipes onderdonkii	328813	S	802241	166671	968912	0.03648
Alistipes senegalensis	1288121	S	544066	110863	654929	0.02466
Alistipes dispar	2585119	S	429393	11597	440990	0.01660
Alistipes sp. i18-0019-D1	3132707	S	318608	55006	373614	0.01407
Alistipes sp. dk3624	2662363	S	29625	962	30587	0.00115
Alistipes shahii	328814	S	342946	167860	510806	0.01923
Alistipes communis	2585118	S	193554	28235	221789	0.00835
Alistipes putredinis	28117	S	127781	13602	141383	0.00532
Alistipes indistinctus	626932	S	45036	1569	46605	0.00175
Alistipes ihumii	1470347	S	38591	314	38905	0.00146
uncultured Acetobacteroides sp.	1760811	S	4268	259	4527	0.00017
Bacteroides stercoris	46506	S	73270	14612	87882	0.00331
Bacteroides helcogenes	290053	S	73053	469	73522	0.00277
Bacteroides eggerthii	28111	S	54495	7952	62447	0.00235
Bacteroides fragilis	817	S	54226	92498	146724	0.00552
Bacteroides thetaiotaomicron	818	S	53324	10566	63890	0.00241
Bacteroides uniformis	820	S	52760	33121	85881	0.00323
Bacteroides sp. M10	2763022	S	6077	5242	11319	0.00043
Bacteroides sp. D2	556259	S	3673	6067	9740	0.00037
Bacteroides sp. A1C1	2528203	S	1559	7877	9436	0.00036
Bacteroides sp. HF-162	2785531	S	1426	9836	11262	0.00042
Bacteroides sp. CACC 737	2755405	S	1184	4654	5838	0.00022
Bacteroides sp. ZJ-18	2709390	S	1035	7180	8215	0.00031
Bacteroides sp. DH3716P	2847299	S	323	2620	2943	0.00011
Bacteroides sp. BFG-257	2972761	S	60	2514	2574	0.00010
Bacteroides sp. KG68	3397824	S	47	26274	26321	0.00099
Bacteroides sp. PHL 2737	2162637	S	45	9439	9484	0.00036
Bacteroides intestinalis	329854	S	33075	1804	34879	0.00131
