name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Blautia producta	33035	S	437738	66437	504175	0.01243
Blautia parvula	2877527	S	394666	116602	511268	0.01261
Blautia pseudococcoides	1796616	S	285427	13285	298712	0.00737
Blautia obeum	40520	S	270305	118422	388727	0.00959
Blautia wexlerae	418240	S	150243	117223	267466	0.00660
Blautia luti	89014	S	139606	60846	200452	0.00494
Blautia hydrogenotrophica	53443	S	118468	13515	131983	0.00325
Blautia argi	1912897	S	91822	39229	131051	0.00323
Blautia hansenii	1322	S	62194	24284	86478	0.00213
Blautia sp. SC05B48	2479767	S	42195	52884	95079	0.00234
Blautia liquoris	2779518	S	41847	1242	43089	0.00106
Blautia massiliensis (ex Durand et al. 2017)	1737424	S	41207	237318	278525	0.00687
Enterocloster clostridioformis	1531	S	213798	106336	320134	0.00789
Enterocloster bolteae	208479	S	206157	66890	273047	0.00673
Enterocloster asparagiformis	333367	S	149853	55930	205783	0.00507
Enterocloster lavalensis	460384	S	144000	76990	220990	0.00545
Hungatella hathewayi	154046	S	491798	53312	545110	0.01344
Hungatella sp. SB206	2937758	S	175422	73147	248569	0.00613
Lacrimispora sp. BS-2	3151850	S	71020	15600	86620	0.00214
Lacrimispora sp. HJ-01	3375704	S	52731	19239	71970	0.00177
Lacrimispora saccharolytica	84030	S	81790	16128	97918	0.00241
Lacrimispora sinapis	3111456	S	76864	13722	90586	0.00223
Lacrimispora xylanisolvens	384636	S	65384	5196	70580	0.00174
Lacrimispora xylanolytica	29375	S	55823	7403	63226	0.00156
Lacrimispora sphenoides	29370	S	50610	17429	68039	0.00168
[Clostridium] scindens	29347	S	317503	48802	366305	0.00903
[Clostridium] hylemonae	89153	S	152029	17873	169902	0.00419
Lachnoclostridium phytofermentans	66219	S	11585	109	11694	0.00029
Mediterraneibacter gnavus	33038	S	195169	97791	292960	0.00722
Mediterraneibacter glycyrrhizinilyticus	342942	S	82044	28636	110680	0.00273
[Ruminococcus] torques	33039	S	51141	35435	86576	0.00213
[Ruminococcus] lactaris	46228	S	47638	7590	55228	0.00136
Mediterraneibacter faecis	592978	S	14649	22013	36662	0.00090
Roseburia hominis	301301	S	111194	38508	149702	0.00369
Roseburia sp. 831b	1261635	S	38872	4716	43588	0.00107
Roseburia sp. 499	1261634	S	36519	2522	39041	0.00096
Roseburia intestinalis	166486	S	60583	164630	225213	0.00555
Roseburia faecis	301302	S	47394	14486	61880	0.00153
Roseburia rectibacter	2763062	S	32174	13505	45679	0.00113
Sellimonas catena	2994035	S	86373	35816	122189	0.00301
Sellimonas intestinalis	1653434	S	85552	13032	98584	0.00243
Sellimonas caecigallum	2592333	S	67616	10400	78016	0.00192
[Clostridium] symbiosum	1512	S	190880	26200	217080	0.00535
Eisenbergiella porci	2652274	S	189362	28589	217951	0.00537
Dorea formicigenerans	39486	S	64128	33952	98080	0.00242
Dorea longicatena	88431	S	55958	51790	107748	0.00266
Dorea amylophila	2981789	S	12289	21875	34164	0.00084
Anaerostipes caccae	105841	S	43374	10176	53550	0.00132
Anaerostipes rhamnosivorans	1229621	S	42951	6872	49823	0.00123
Anaerostipes sp. PC18	3036926	S	33413	12209	45622	0.00112
Anaerostipes hadrus	649756	S	27931	4940	32871	0.00081
Anaerocolumna sp. AGMB13025	3039116	S	28579	1679	30258	0.00075
Anaerocolumna sp. AGMB13020	3081750	S	18391	1554	19945	0.00049
Anaerocolumna sp. MB42-C2	3070997	S	16995	3036	20031	0.00049
Anaerocolumna cellulosilytica	433286	S	23683	1959	25642	0.00063
Anaerocolumna chitinilytica	1727145	S	20969	1607	22576	0.00056
Anaerocolumna sedimenticola	2696063	S	16069	3225	19294	0.00048
Marvinbryantia formatexigens	168384	S	128389	6647	135036	0.00333
Coprococcus comes	410072	S	58931	29525	88456	0.00218
Coprococcus catus	116085	S	35704	13328	49032	0.00121
Coprococcus sp. ART55/1	751585	S	9689	3254	12943	0.00032
Coprococcus eutactus	33043	S	9644	3500	13144	0.00032
Wansuia hejianensis	2763667	S	115040	7568	122608	0.00302
Claveliimonas bilis	3028070	S	103906	14599	118505	0.00292
Qiania dongpingensis	2763669	S	91201	7999	99200	0.00245
Kineothrix sedimenti	3123317	S	46995	1692	48687	0.00120
Kineothrix sp. MB12-C1	3070215	S	39999	1206	41205	0.00102
Novisyntrophococcus fermenticellae	2068655	S	65369	2682	68051	0.00168
Faecalimonas umbilicata	1912855	S	61697	28041	89738	0.00221
Butyrivibrio fibrisolvens	831	S	19470	1926	21396	0.00053
Butyrivibrio proteoclasticus	43305	S	10545	2033	12578	0.00031
