name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Bacillota	1239	P	17897059	943707	18840766	0.43137
Actinomycetota	201174	P	4957422	41399	4998821	0.11445
Cyanobacteriota	1117	P	86587	98	86685	0.00198
Mycoplasmatota	544448	P	43111	1029	44140	0.00101
Chloroflexota	200795	P	22617	55	22672	0.00052
Armatimonadota	67819	P	1598	0	1598	0.00004
Vulcanimicrobiota	1154676	P	369	1	370	0.00001
Verrucomicrobiota	74201	P	7232040	157895	7389935	0.16920
Planctomycetota	203682	P	52944	26	52970	0.00121
Chlamydiota	204428	P	3205	21	3226	0.00007
Kiritimatiellota	134625	P	1572	33	1605	0.00004
Lentisphaerota	256845	P	874	0	874	0.00002
Candidatus Omnitrophota	67812	P	441	0	441	0.00001
Bacteroidota	976	P	5550922	69935	5620857	0.12869
Chlorobiota	1090	P	8303	12	8315	0.00019
Rhodothermota	1853220	P	6420	27	6447	0.00015
Balneolota	1936987	P	1427	123	1550	0.00004
Ignavibacteriota	1134404	P	1163	3	1166	0.00003
Gemmatimonadota	142182	P	5261	71	5332	0.00012
Fidelibacterota	62680	P	596	6	602	0.00001
Fibrobacterota	65842	P	482	68	550	0.00001
Candidatus Cloacimonadota	456828	P	304	0	304	0.00001
Pseudomonadota	1224	P	2521068	101082	2622150	0.06004
Thermodesulfobacteriota	200940	P	152484	2548	155032	0.00355
Spirochaetota	203691	P	76560	655	77215	0.00177
Myxococcota	2818505	P	72326	331	72657	0.00166
Campylobacterota	29547	P	69480	1706	71186	0.00163
Acidobacteriota	57723	P	32077	24	32101	0.00073
Nitrospirota	40117	P	10708	145	10853	0.00025
Bdellovibrionota	3018035	P	10290	24	10314	0.00024
Atribacterota	67818	P	2928	1	2929	0.00007
Aquificota	200783	P	2802	8	2810	0.00006
Deferribacterota	200930	P	2597	12	2609	0.00006
Elusimicrobiota	74152	P	2183	2	2185	0.00005
Calditrichota	1930617	P	1596	1	1597	0.00004
Thermomicrobiota	3027942	P	1197	0	1197	0.00003
Dictyoglomota	68297	P	1172	1	1173	0.00003
Chrysiogenota	200938	P	971	91	1062	0.00002
Thermodesulfobiota	3002442	P	685	2	687	0.00002
Zhurongbacterota	3470743	P	453	0	453	0.00001
Nitrospinota	1293497	P	443	0	443	0.00001
Thermosulfidibacterota	3123113	P	301	0	301	0.00001
Caldisericota	67814	P	148	0	148	0.00000
Coprothermobacterota	2138240	P	101	4	105	0.00000
Deinococcota	1297	P	27197	150	27347	0.00063
Synergistota	508458	P	20216	175	20391	0.00047
Thermotogota	200918	P	11444	580	12024	0.00028
Fusobacteriota	32066	P	43545	1249	44794	0.00103
Candidatus Saccharimonadota	95818	P	810	4	814	0.00002
Candidatus Fervidibacterota	1383058	P	285	0	285	0.00001
Candidatus Bipolaricaulota	67810	P	253	0	253	0.00001
Minisyncoccota	1752724	P	71	106	177	0.00000
Candidatus Absconditibacteriota	221235	P	73	1902	1975	0.00005
Streptophyta	35493	P	2617387	255447	2872834	0.06578
Chlorophyta	3041	P	8597	148	8745	0.00020
Chordata	7711	P	203749	58486	262235	0.00600
Ascomycota	4890	P	66597	5725	72322	0.00166
Basidiomycota	5204	P	21758	1320	23078	0.00053
Mucoromycota	1913637	P	10576	1105	11681	0.00027
Microsporidia	6029	P	5306	28	5334	0.00012
Apicomplexa	5794	P	21651	801	22452	0.00051
Ciliophora	5878	P	20	0	20	0.00000
Bacillariophyta	2836	P	1540	1	1541	0.00004
Oomycota	4762	P	1323	2	1325	0.00003
Euglenozoa	33682	P	8082	23	8105	0.00019
Parabasalia	5719	P	3579	13	3592	0.00008
Fornicata	207245	P	564	1	565	0.00001
Evosea	2605435	P	1256	66	1322	0.00003
Rhodophyta	2763	P	354	201	555	0.00001
Methanobacteriota	28890	P	84589	907	85496	0.00196
Thermoplasmatota	2283796	P	4211	1	4212	0.00010
Thermoproteota	28889	P	5696	73	5769	0.00013
Nitrososphaerota	651137	P	4096	16	4112	0.00009
Promethearchaeota	3366641	P	1041	7	1048	0.00002
Nanobdellota	192989	P	92	8	100	0.00000
Microcaldota	1801631	P	78	0	78	0.00000
Candidatus Nanohalarchaeota	1462430	P	43	10	53	0.00000
Uroviricota	2731618	P	8305	96	8401	0.00019
Peploviricota	2731361	P	374	0	374	0.00001
Nucleocytoviricota	2732007	P	2615	0	2615	0.00006
Preplasmiviricota	2732008	P	31	0	31	0.00000
Kitrinoviricota	2732406	P	262	0	262	0.00001
Pisuviricota	2732408	P	170	0	170	0.00000
Negarnaviricota	2497569	P	131	0	131	0.00000
Lenarviricota	2732407	P	74	0	74	0.00000
Artverviricota	2732409	P	23	1200	1223	0.00003
Cressdnaviricota	2732416	P	71	0	71	0.00000
Commensaviricota	3412625	P	60	0	60	0.00000
Cossaviricota	2732415	P	31	0	31	0.00000
Taleaviricota	2840024	P	20	0	20	0.00000
