name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Homo	9605	G	5647071	166840	5813911	0.83238
Fusarium	5506	G	7977	271	8248	0.00118
Trichoderma	5543	G	2688	156	2844	0.00041
Metarhizium	5529	G	923	8	931	0.00013
Pochonia	243023	G	761	7	768	0.00011
Ustilaginoidea	124426	G	712	11	723	0.00010
Purpureocillium	1052105	G	1095	53	1148	0.00016
Drechmeria	98402	G	465	6	471	0.00007
Akanthomyces	150366	G	705	19	724	0.00010
Colletotrichum	5455	G	3608	120	3728	0.00053
Neurospora	5140	G	1411	36	1447	0.00021
Sordaria	5146	G	1069	87	1156	0.00017
Thermothielavioides	2609811	G	1183	23	1206	0.00017
Thermothelomyces	1920207	G	937	10	947	0.00014
Podospora	5144	G	1856	34	1890	0.00027
Remersonia	72143	G	853	10	863	0.00012
Pyricularia	48558	G	3130	5	3135	0.00045
Botrytis	33196	G	1855	83	1938	0.00028
Talaromyces	5094	G	11283	338	11621	0.00166
Aspergillus	5052	G	4308	77	4385	0.00063
Penicillium	5073	G	1916	99	2015	0.00029
Coccidioides	5500	G	727	41	768	0.00011
Pyrenophora	5027	G	665	41	706	0.00010
Alternaria	5598	G	638	7	645	0.00009
Ascochyta	5453	G	856	36	892	0.00013
Zymoseptoria	1047167	G	816	22	838	0.00012
Fulvia	2897311	G	678	25	703	0.00010
Cercospora	29002	G	546	60	606	0.00009
Saccharomyces	4930	G	2853	101	2954	0.00042
Naumovozyma	278028	G	1655	41	1696	0.00024
Kluyveromyces	4910	G	1044	82	1126	0.00016
Henningerozyma	3163253	G	947	41	988	0.00014
Tetrapisispora	113604	G	903	17	920	0.00013
Eremothecium	33170	G	810	262	1072	0.00015
Kazachstania	71245	G	722	13	735	0.00011
Nakaseomyces	374468	G	453	46	499	0.00007
Torulaspora	4948	G	422	22	444	0.00006
Zygosaccharomyces	4953	G	382	18	400	0.00006
Huiozyma	3163251	G	365	10	375	0.00005
Zygotorulaspora	1196389	G	315	25	340	0.00005
Lachancea	300275	G	157	8	165	0.00002
Saccharomycodes	36034	G	1122	125	1247	0.00018
Candida	5475	G	3621	110	3731	0.00053
Lodderomyces	36913	G	2051	375	2426	0.00035
Debaryomyces	4958	G	404	1	405	0.00006
Scheffersomyces	766733	G	397	7	404	0.00006
Yamadazyma	766765	G	235	26	261	0.00004
Candidozyma	3303203	G	414	19	433	0.00006
Australozyma	3300567	G	290	2	292	0.00004
Brettanomyces	13366	G	3548	320	3868	0.00055
Pichia	4919	G	400	11	411	0.00006
Ogataea	461281	G	256	6	262	0.00004
Komagataella	460517	G	234	0	234	0.00003
Sugiyamaella	410829	G	560	52	612	0.00009
Yarrowia	4951	G	521	2	523	0.00007
Schizosaccharomyces	4895	G	881	18	899	0.00013
Kwoniella	490731	G	9439	266	9705	0.00139
Cryptococcus	5206	G	3143	143	3286	0.00047
Vanrija	1851468	G	935	45	980	0.00014
Cutaneotrichosporon	1838142	G	367	12	379	0.00005
Psilocybe	71950	G	1168	7	1175	0.00017
Marasmius	34448	G	1003	10	1013	0.00015
Rhizoctonia	1322061	G	795	5	800	0.00011
Puccinia	5296	G	4807	88	4895	0.00070
Sporisorium	63265	G	568	44	612	0.00009
Mycosarcoma	2689624	G	434	1	435	0.00006
Malassezia	55193	G	335	8	343	0.00005
Rhizophagus	1129544	G	10706	419	11125	0.00159
Vairimorpha	6038	G	917	7	924	0.00013
Encephalitozoon	6033	G	342	0	342	0.00005
Plasmodium	5820	G	22801	3316	26117	0.00374
Theileria	5873	G	1593	194	1787	0.00026
Babesia	5864	G	1028	8	1036	0.00015
Besnoitia	94642	G	1283	2	1285	0.00018
Toxoplasma	5810	G	1239	27	1266	0.00018
Neospora	29175	G	1073	0	1073	0.00015
Cryptosporidium	5806	G	652	8	660	0.00009
Paramecium	5884	G	130	0	130	0.00002
Thalassiosira	35127	G	1121	17	1138	0.00016
Phaeodactylum	2849	G	465	3	468	0.00007
Bremia	4778	G	1445	1	1446	0.00021
Bigelowiella	227085	G	91	0	91	0.00001
Leishmania	5658	G	14496	38	14534	0.00208
Porcisia	2761499	G	1190	4	1194	0.00017
Trypanosoma	5690	G	1827	12	1839	0.00026
Naegleria	5761	G	2001	0	2001	0.00029
Trichomonas	5721	G	4770	1	4771	0.00068
Spironucleus	39709	G	851	0	851	0.00012
Giardia	5740	G	154	0	154	0.00002
Dictyostelium	5782	G	3130	14	3144	0.00045
Cryptomonas	3030	G	46	0	46	0.00001
Hemiselmis	77924	G	39	0	39	0.00001
Guillardia	55528	G	58	9	67	0.00001
Escherichia	561	G	5118	13305	18423	0.00264
Klebsiella	570	G	2518	1456	3974	0.00057
Raoultella	160674	G	500	139	639	0.00009
Enterobacter	547	G	2563	770	3333	0.00048
Citrobacter	544	G	1658	452	2110	0.00030
Candidatus Blochmanniella	203804	G	688	0	688	0.00010
Candidatus Westeberhardia	1699619	G	33	0	33	0.00000
Candidatus Williamhamiltonella	568987	G	125	4	129	0.00002
Candidatus Regiella	568988	G	90	81	171	0.00002
Candidatus Gullanella	1906661	G	71	0	71	0.00001
Symbiopectobacterium	801	G	60	0	60	0.00001
Candidatus Tachikawaea	1682492	G	59	0	59	0.00001
Candidatus Purcelliella	472825	G	50	0	50	0.00001
Candidatus Annandia	1302410	G	39	0	39	0.00001
Candidatus Hoaglandella	1906659	G	19	0	19	0.00000
Candidatus Mikella	1906660	G	17	0	17	0.00000
Candidatus Doolittlea	1906657	G	10	4	14	0.00000
Salmonella	590	G	952	2622	3574	0.00051
Kosakonia	1330547	G	544	9	553	0.00008
Candidatus Profftia	1177214	G	369	0	369	0.00005
Leclercia	83654	G	330	55	385	0.00006
Cronobacter	413496	G	317	7	324	0.00005
Kluyvera	579	G	266	16	282	0.00004
Superficieibacter	2303321	G	195	3	198	0.00003
Cedecea	158483	G	186	3	189	0.00003
Buttiauxella	82976	G	162	2	164	0.00002
Plesiomonas	702	G	140	5	145	0.00002
Candidatus Curculioniphilus	690591	G	127	0	127	0.00002
Pluralibacter	1330546	G	120	2	122	0.00002
Lelliottia	1330545	G	92	3	95	0.00001
Jejubacter	2815296	G	87	0	87	0.00001
Siccibacter	1649298	G	76	1	77	0.00001
Phytobacter	447792	G	75	29	104	0.00001
Pseudocitrobacter	1504576	G	75	1	76	0.00001
Mangrovibacter	451512	G	73	15	88	0.00001
Shimwellia	1335483	G	71	0	71	0.00001
Franconibacter	1649295	G	71	0	71	0.00001
Candidatus Riesia	401618	G	68	0	68	0.00001
Atlantibacter	1903434	G	60	1	61	0.00001
Candidatus Ishikawella	409304	G	58	0	58	0.00001
Shigella	620	G	55	83	138	0.00002
Dryocola	3021684	G	41	0	41	0.00001
Yokenella	158876	G	37	1	38	0.00001
Candidatus Schneideria	1081630	G	35	0	35	0.00001
Pseudescherichia	2055880	G	28	2	30	0.00000
Trabulsiella	158851	G	23	1	24	0.00000
Scandinavium	2726810	G	16	0	16	0.00000
Candidatus Moranella	1048757	G	14	0	14	0.00000
Providencia	586	G	2440	478	2918	0.00042
Proteus	583	G	1785	215	2000	0.00029
Xenorhabdus	626	G	1165	7	1172	0.00017
Arsenophonus	637	G	660	2	662	0.00009
Photorhabdus	29487	G	616	2	618	0.00009
Morganella	581	G	516	39	555	0.00008
Moellerella	158848	G	134	23	157	0.00002
Buchnera	32199	G	3276	30	3306	0.00047
Pantoea	53335	G	2049	40	2089	0.00030
Erwinia	551	G	1290	16	1306	0.00019
Tatumella	82986	G	181	3	184	0.00003
Mixta	2100764	G	117	5	122	0.00002
Paramixta	3231896	G	56	1	57	0.00001
Duffyella	3026546	G	47	1	48	0.00001
Winslowiella	2997349	G	43	0	43	0.00001
Wigglesworthia	51228	G	36	0	36	0.00001
Serratia	613	G	1951	123	2074	0.00030
Yersinia	629	G	1684	104	1788	0.00026
Rahnella	34037	G	353	5	358	0.00005
Rouxiella	1565532	G	163	2	165	0.00002
Chimaeribacter	2716544	G	158	3	161	0.00002
Candidatus Fukatsuia	1927833	G	150	0	150	0.00002
Nissabacter	1964366	G	67	0	67	0.00001
Chania	1745211	G	55	0	55	0.00001
Gibbsiella	929812	G	51	0	51	0.00001
Ewingella	41201	G	33	0	33	0.00000
Pectobacterium	122277	G	1360	44	1404	0.00020
Dickeya	204037	G	665	23	688	0.00010
Brenneria	71655	G	123	35	158	0.00002
Musicola	2884243	G	39	0	39	0.00001
Lonsdalea	1082702	G	36	1	37	0.00001
Hafnia	568	G	489	19	508	0.00007
Edwardsiella	635	G	295	22	317	0.00005
Obesumbacterium	82982	G	13	2	15	0.00000
Sodalis	84565	G	360	1	361	0.00005
Limnobaculum	2172100	G	111	2	113	0.00002
Pragia	82984	G	78	2	80	0.00001
Leminorella	82980	G	54	0	54	0.00001
Gallaecimonas	745410	G	134	5	139	0.00002
Shewanella	22	G	4944	71	5015	0.00072
Parashewanella	2547964	G	151	0	151	0.00002
Psychrobium	1573826	G	89	0	89	0.00001
Pseudoalteromonas	53246	G	4610	48	4658	0.00067
Psychrosphaera	907197	G	137	2	139	0.00002
Flocculibacter	2834759	G	76	0	76	0.00001
Alteromonas	226	G	1465	33	1498	0.00021
Salinimonas	288793	G	166	4	170	0.00002
Paraglaciecola	1621534	G	471	7	478	0.00007
Agarivorans	261825	G	378	1	379	0.00005
Catenovulum	1172191	G	280	1	281	0.00004
Alkalimarinus	1858563	G	238	1	239	0.00003
Saccharobesus	2894574	G	164	0	164	0.00002
Alishewanella	111142	G	146	3	149	0.00002
Paraneptunicella	2905123	G	113	0	113	0.00002
Ningiella	2751156	G	89	0	89	0.00001
Neptunicella	2125985	G	88	1	89	0.00001
Planctobacterium	2200736	G	84	1	85	0.00001
Brumicola	3160924	G	81	1	82	0.00001
Halioxenophilus	2108524	G	66	1	67	0.00001
Saliniradius	2661818	G	41	0	41	0.00001
Aliiglaciecola	1406885	G	40	1	41	0.00001
Lacimicrobium	1751872	G	38	0	38	0.00001
Gayadomonas	1234605	G	19	0	19	0.00000
Hydrocarboniclastica	2650549	G	13	0	13	0.00000
Thalassotalea	1518149	G	1139	10	1149	0.00016
Colwellia	28228	G	992	13	1005	0.00014
Thalassomonas	137583	G	276	1	277	0.00004
Pseudocolwellia	2848177	G	178	1	179	0.00003
Litorilituus	1407056	G	102	0	102	0.00001
Cognaticolwellia	2848171	G	98	2	100	0.00001
Ferrimonas	44011	G	1573	12	1585	0.00023
Psychromonas	67572	G	1271	4	1275	0.00018
Moritella	58050	G	419	4	423	0.00006
Idiomarina	135575	G	203	7	210	0.00003
Pseudidiomarina	2800384	G	79	3	82	0.00001
Motilimonas	1914248	G	53	0	53	0.00001
Pseudomonas	286	G	15745	751	16496	0.00236
Stutzerimonas	2901164	G	514	69	583	0.00008
Entomomonas	2758906	G	362	1	363	0.00005
Halopseudomonas	2901189	G	243	9	252	0.00004
Metapseudomonas	3236656	G	178	15	193	0.00003
Ectopseudomonas	3236654	G	149	72	221	0.00003
Azotobacter	352	G	100	22	122	0.00002
Aquipseudomonas	3236652	G	73	11	84	0.00001
Thiopseudomonas	1654787	G	44	0	44	0.00001
Permianibacter	1649479	G	35	0	35	0.00001
Denitrificimonas	2901261	G	18	1	19	0.00000
Phytopseudomonas	3236657	G	14	1	15	0.00000
Marinobacter	2742	G	820	10	830	0.00012
Candidatus Njordibacter	3457297	G	177	0	177	0.00003
Ketobacter	2025617	G	61	0	61	0.00001
Pseudohongiella	1524249	G	20	0	20	0.00000
Vibrio	662	G	12576	261	12837	0.00184
Photobacterium	657	G	2132	38	2170	0.00031
Aliivibrio	511678	G	1072	12	1084	0.00016
Enterovibrio	188143	G	199	0	199	0.00003
Paraphotobacterium	2042066	G	172	1	173	0.00002
Grimontia	246861	G	161	0	161	0.00002
Salinivibrio	51366	G	118	0	118	0.00002
Thaumasiovibrio	2014233	G	77	0	77	0.00001
Parasalinivibrio	3378804	G	66	0	66	0.00001
Candidatus Photodesmus	1076727	G	12	0	12	0.00000
Acinetobacter	469	G	10800	863	11663	0.00167
Psychrobacter	497	G	1435	16	1451	0.00021
Moraxella	475	G	842	12	854	0.00012
Faucicola	1604696	G	149	3	152	0.00002
Lwoffella	3444169	G	76	1	77	0.00001
Aquirhabdus	2824158	G	62	0	62	0.00001
Alkanindiges	222991	G	28	1	29	0.00000
Marinomonas	28253	G	1369	12	1381	0.00020
Neptuniibacter	459520	G	404	3	407	0.00006
Neptunomonas	75687	G	164	0	164	0.00002
Marinobacterium	48075	G	147	1	148	0.00002
Bacterioplanoides	2066071	G	142	1	143	0.00002
Nitrincola	267849	G	137	1	138	0.00002
Thalassolituus	187492	G	136	3	139	0.00002
Bermanella	599651	G	133	0	133	0.00002
Amphritea	515417	G	104	1	105	0.00002
Aliamphritea	3018276	G	100	1	101	0.00001
Venatoribacter	2893036	G	80	4	84	0.00001
Marinospirillum	64968	G	31	0	31	0.00000
Motiliproteus	1775292	G	30	0	30	0.00000
Bacterioplanes	1537406	G	20	0	20	0.00000
Halomonas	2745	G	1127	157	1284	0.00018
Vreelandella	3137766	G	395	162	557	0.00008
Candidatus Carsonella	114185	G	109	2	111	0.00002
Zymobacter	33073	G	79	0	79	0.00001
Kushneria	504090	G	129	0	129	0.00002
Cobetia	204286	G	125	1	126	0.00002
Salinicola	404432	G	88	1	89	0.00001
Billgrantia	3137761	G	79	3	82	0.00001
Chromohalobacter	42054	G	32	0	32	0.00000
Pistricoccus	1897649	G	24	0	24	0.00000
Halotalea	376488	G	17	0	17	0.00000
Endozoicomonas	305899	G	812	2	814	0.00012
Alcanivorax	59753	G	145	2	147	0.00002
Alloalcanivorax	3020832	G	136	2	138	0.00002
Isoalcanivorax	3020833	G	11	0	11	0.00000
Hahella	158481	G	205	0	205	0.00003
Allohahella	1855402	G	45	0	45	0.00001
Thermohahella	3449104	G	39	0	39	0.00001
Aliikangiella	1920241	G	169	0	169	0.00002
Pleionea	1502941	G	60	0	60	0.00001
Marinicellulosiphila	3414216	G	175	0	175	0.00003
Gynuella	1445504	G	92	0	92	0.00001
Salinispirillum	1649491	G	23	0	23	0.00000
Reinekea	230494	G	22	0	22	0.00000
Saccharospirillum	231683	G	13	0	13	0.00000
Spartinivicinus	2768738	G	127	0	127	0.00002
Pokkaliibacter	2301194	G	110	0	110	0.00002
Oleiphilus	141450	G	48	0	48	0.00001
Litorivicinus	418700	G	15	0	15	0.00000
Xanthomonas	338	G	1626	124	1750	0.00025
Stenotrophomonas	40323	G	1396	121	1517	0.00022
Lysobacter	68	G	469	6	475	0.00007
Luteimonas	83614	G	250	3	253	0.00004
Pseudoxanthomonas	83618	G	226	11	237	0.00003
Xylella	2370	G	115	3	118	0.00002
Novilysobacter	3382699	G	42	4	46	0.00001
Marilutibacter	3382698	G	38	0	38	0.00001
Thermomonas	141948	G	33	0	33	0.00000
Agrilutibacter	3382696	G	26	0	26	0.00000
Dyella	231454	G	868	3	871	0.00012
Rhodanobacter	75309	G	139	0	139	0.00002
Luteibacter	242605	G	130	1	131	0.00002
Dokdonella	323413	G	75	0	75	0.00001
Tahibacter	1453544	G	61	0	61	0.00001
Ahniella	2233801	G	31	0	31	0.00000
Pseudolysobacter	2709666	G	16	0	16	0.00000
Frateuria	70411	G	11	0	11	0.00000
Marinicella	863253	G	133	0	133	0.00002
Haemophilus	724	G	987	63	1050	0.00015
Pasteurella	745	G	547	41	588	0.00008
Mannheimia	75984	G	472	29	501	0.00007
Actinobacillus	713	G	416	24	440	0.00006
Gallibacterium	155493	G	388	33	421	0.00006
Aggregatibacter	416916	G	295	10	305	0.00004
Avibacterium	292486	G	282	15	297	0.00004
Lonepinella	53416	G	195	1	196	0.00003
Glaesserella	2094023	G	177	16	193	0.00003
Rodentibacter	1960084	G	155	2	157	0.00002
Phocoenobacter	146805	G	113	28	141	0.00002
Bisgaardia	109471	G	108	1	109	0.00002
Histophilus	214906	G	97	8	105	0.00002
Bibersteinia	476528	G	80	5	85	0.00001
Mergibacter	2899790	G	74	0	74	0.00001
Otariodibacter	1249016	G	60	0	60	0.00001
Basfia	697331	G	53	0	53	0.00001
Vespertiliibacter	1520333	G	50	0	50	0.00001
Testudinibacter	1755672	G	20	0	20	0.00000
Frederiksenia	1649317	G	16	0	16	0.00000
Legionella	445	G	3024	28	3052	0.00044
Fluoribacter	461	G	88	3	91	0.00001
Rickettsiella	59195	G	342	0	342	0.00005
Coxiella	776	G	207	156	363	0.00005
Aquicella	254245	G	96	0	96	0.00001
Candidiatus Paracoxiella	3405119	G	34	0	34	0.00000
Francisella	262	G	1522	7	1529	0.00022
Allofrancisella	1869285	G	249	1	250	0.00004
Thiomicrorhabdus	2039723	G	397	1	398	0.00006
Piscirickettsia	1237	G	308	0	308	0.00004
Methylophaga	40222	G	206	5	211	0.00003
Thiomicrospira	933	G	90	3	93	0.00001
Hydrogenovibrio	28884	G	81	5	86	0.00001
Thiosulfativibrio	2781120	G	59	0	59	0.00001
Cycloclasticus	34067	G	57	0	57	0.00001
Thiosulfatimonas	2781121	G	55	0	55	0.00001
Thiothrix	1030	G	270	0	270	0.00004
Beggiatoa	1021	G	118	0	118	0.00002
Cysteiniphilum	2056696	G	63	0	63	0.00001
Microbulbifer	48073	G	1532	10	1542	0.00022
Cellvibrio	10	G	300	1	301	0.00004
Teredinibacter	2425	G	276	0	276	0.00004
Agarilytica	2036021	G	143	0	143	0.00002
Simiduia	447467	G	124	0	124	0.00002
Saccharophagus	316625	G	111	0	111	0.00002
Maricurvus	1122283	G	95	0	95	0.00001
Agaribacterium	2038244	G	72	0	72	0.00001
Gilvimarinus	940550	G	65	0	65	0.00001
