name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Chordata	7711	P	5647071	166824	5813895	0.83199
Ascomycota	4890	P	81484	1612	83096	0.01189
Basidiomycota	5204	P	23132	496	23628	0.00338
Mucoromycota	1913637	P	10706	419	11125	0.00159
Microsporidia	6029	P	1259	7	1266	0.00018
Apicomplexa	5794	P	33119	108	33227	0.00475
Ciliophora	5878	P	130	0	130	0.00002
Bacillariophyta	2836	P	1603	4	1607	0.00023
Oomycota	4762	P	1445	1	1446	0.00021
Cercozoa	136419	P	91	0	91	0.00001
Euglenozoa	33682	P	17563	5	17568	0.00251
Heterolobosea	5752	P	2001	0	2001	0.00029
Parabasalia	5719	P	4770	1	4771	0.00068
Fornicata	207245	P	1005	0	1005	0.00014
Evosea	2605435	P	3130	167	3297	0.00047
Pseudomonadota	1224	P	242875	16697	259572	0.03715
Bacteroidota	976	P	152742	484	153226	0.02193
Chlorobiota	1090	P	468	0	468	0.00007
Ignavibacteriota	1134404	P	287	0	287	0.00004
Balneolota	1936987	P	287	0	287	0.00004
Rhodothermota	1853220	P	158	0	158	0.00002
Gemmatimonadota	142182	P	253	0	253	0.00004
Candidatus Cloacimonadota	456828	P	89	0	89	0.00001
Fidelibacterota	62680	P	42	0	42	0.00001
Fibrobacterota	65842	P	41	0	41	0.00001
Campylobacterota	29547	P	54444	421	54865	0.00785
Spirochaetota	203691	P	10118	39	10157	0.00145
Planctomycetota	203682	P	5267	8	5275	0.00075
Verrucomicrobiota	74201	P	1903	8	1911	0.00027
Chlamydiota	204428	P	1433	5	1438	0.00021
Lentisphaerota	256845	P	95	0	95	0.00001
Kiritimatiellota	134625	P	37	3	40	0.00001
Candidatus Omnitrophota	67812	P	10	0	10	0.00000
Thermodesulfobacteriota	200940	P	7293	64	7357	0.00105
Myxococcota	2818505	P	4358	9	4367	0.00062
Bdellovibrionota	3018035	P	2728	1	2729	0.00039
Acidobacteriota	57723	P	1985	0	1985	0.00028
Aquificota	200783	P	813	1	814	0.00012
Deferribacterota	200930	P	705	1	706	0.00010
Nitrospirota	40117	P	679	0	679	0.00010
Atribacterota	67818	P	405	0	405	0.00006
Elusimicrobiota	74152	P	290	0	290	0.00004
Thermodesulfobiota	3002442	P	222	0	222	0.00003
Dictyoglomota	68297	P	195	0	195	0.00003
Thermosulfidibacterota	3123113	P	90	0	90	0.00001
Calditrichota	1930617	P	60	0	60	0.00001
Caldisericota	67814	P	56	0	56	0.00001
Chrysiogenota	200938	P	43	2	45	0.00001
Nitrospinota	1293497	P	31	0	31	0.00000
Coprothermobacterota	2138240	P	19	0	19	0.00000
Thermomicrobiota	3027942	P	17	0	17	0.00000
Bacillota	1239	P	235067	12502	247569	0.03543
Actinomycetota	201174	P	130009	1766	131775	0.01886
Cyanobacteriota	1117	P	31184	6	31190	0.00446
Mycoplasmatota	544448	P	17862	80	17942	0.00257
Chloroflexota	200795	P	1119	0	1119	0.00016
Armatimonadota	67819	P	84	0	84	0.00001
Fusobacteriota	32066	P	10140	92	10232	0.00146
Thermotogota	200918	P	2418	34	2452	0.00035
Deinococcota	1297	P	1345	0	1345	0.00019
Synergistota	508458	P	429	0	429	0.00006
Candidatus Saccharimonadota	95818	P	118	116	234	0.00003
Minisyncoccota	1752724	P	67	9	76	0.00001
Candidatus Absconditibacteriota	221235	P	74	0	74	0.00001
Candidatus Fervidibacterota	1383058	P	49	0	49	0.00001
Candidatus Bipolaricaulota	67810	P	10	145	155	0.00002
Methanobacteriota	28890	P	16872	46	16918	0.00242
Thermoplasmatota	2283796	P	816	0	816	0.00012
Thermoproteota	28889	P	3686	4	3690	0.00053
Nitrososphaerota	651137	P	2012	1	2013	0.00029
Promethearchaeota	3366641	P	520	0	520	0.00007
Nanobdellota	192989	P	57	0	57	0.00001
Candidatus Nanohalarchaeota	1462430	P	45	0	45	0.00001
Microcaldota	1801631	P	36	0	36	0.00001
Uroviricota	2731618	P	3369	729	4098	0.00059
Peploviricota	2731361	P	1295	0	1295	0.00019
Nucleocytoviricota	2732007	P	4378	3	4381	0.00063
Preplasmiviricota	2732008	P	162	0	162	0.00002
Negarnaviricota	2497569	P	472	0	472	0.00007
Pisuviricota	2732408	P	291	0	291	0.00004
Kitrinoviricota	2732406	P	96	0	96	0.00001
Duplornaviricota	2732405	P	78	0	78	0.00001
Lenarviricota	2732407	P	20	156	176	0.00003
Artverviricota	2732409	P	150	1266	1416	0.00020
Cressdnaviricota	2732416	P	80	0	80	0.00001
Cossaviricota	2732415	P	74	0	74	0.00001
Commensaviricota	3412625	P	11	0	11	0.00000
Taleaviricota	2840024	P	22	0	22	0.00000
