name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Pseudomonadota	1224	P	43610931	694956	44305887	0.74845
Bacteroidota	976	P	4155750	4019	4159769	0.07027
Chlorobiota	1090	P	1601	1	1602	0.00003
Ignavibacteriota	1134404	P	849	0	849	0.00001
Balneolota	1936987	P	815	27	842	0.00001
Rhodothermota	1853220	P	602	0	602	0.00001
Gemmatimonadota	142182	P	1506	6	1512	0.00003
Candidatus Cloacimonadota	456828	P	492	0	492	0.00001
Fibrobacterota	65842	P	358	24	382	0.00001
Fidelibacterota	62680	P	169	0	169	0.00000
Campylobacterota	29547	P	67680	72	67752	0.00114
Spirochaetota	203691	P	31067	42	31109	0.00053
Planctomycetota	203682	P	13504	14	13518	0.00023
Verrucomicrobiota	74201	P	7754	1	7755	0.00013
Chlamydiota	204428	P	3260	0	3260	0.00006
Kiritimatiellota	134625	P	495	0	495	0.00001
Lentisphaerota	256845	P	325	0	325	0.00001
Candidatus Omnitrophota	67812	P	89	0	89	0.00000
Thermodesulfobacteriota	200940	P	17212	11	17223	0.00029
Myxococcota	2818505	P	9944	3	9947	0.00017
Bdellovibrionota	3018035	P	6008	0	6008	0.00010
Acidobacteriota	57723	P	4139	0	4139	0.00007
Nitrospirota	40117	P	2543	0	2543	0.00004
Aquificota	200783	P	1940	0	1940	0.00003
Deferribacterota	200930	P	1476	0	1476	0.00002
Dictyoglomota	68297	P	1270	0	1270	0.00002
Thermodesulfobiota	3002442	P	751	0	751	0.00001
Atribacterota	67818	P	603	0	603	0.00001
Elusimicrobiota	74152	P	596	0	596	0.00001
Calditrichota	1930617	P	288	0	288	0.00000
Chrysiogenota	200938	P	139	0	139	0.00000
Thermosulfidibacterota	3123113	P	102	0	102	0.00000
Thermomicrobiota	3027942	P	100	0	100	0.00000
Coprothermobacterota	2138240	P	92	0	92	0.00000
Caldisericota	67814	P	52	0	52	0.00000
Zhurongbacterota	3470743	P	24	0	24	0.00000
Nitrospinota	1293497	P	18	0	18	0.00000
Bacillota	1239	P	4523825	62176	4586001	0.07747
Actinomycetota	201174	P	1717285	2434	1719719	0.02905
Mycoplasmatota	544448	P	94843	261	95104	0.00161
Cyanobacteriota	1117	P	47394	5	47399	0.00080
Chloroflexota	200795	P	3050	40	3090	0.00005
Armatimonadota	67819	P	302	0	302	0.00001
Vulcanimicrobiota	1154676	P	39	0	39	0.00000
Fusobacteriota	32066	P	49418	143	49561	0.00084
Thermotogota	200918	P	6257	23	6280	0.00011
Deinococcota	1297	P	2589	0	2589	0.00004
Synergistota	508458	P	895	3564	4459	0.00008
Candidatus Saccharimonadota	95818	P	197	0	197	0.00000
Candidatus Bipolaricaulota	67810	P	55	0	55	0.00000
Minisyncoccota	1752724	P	48	1	49	0.00000
Candidatus Fervidibacterota	1383058	P	36	0	36	0.00000
Candidatus Absconditibacteriota	221235	P	14	131	145	0.00000
Streptophyta	35493	P	2935018	11455	2946473	0.04977
Chlorophyta	3041	P	3537	18	3555	0.00006
Chordata	7711	P	830027	89944	919971	0.01554
Ascomycota	4890	P	51156	1158	52314	0.00088
Basidiomycota	5204	P	12751	227	12978	0.00022
Mucoromycota	1913637	P	6833	825	7658	0.00013
Microsporidia	6029	P	521	10	531	0.00001
Apicomplexa	5794	P	19060	217	19277	0.00033
Ciliophora	5878	P	46	0	46	0.00000
Bacillariophyta	2836	P	663	0	663	0.00001
Oomycota	4762	P	547	0	547	0.00001
Parabasalia	5719	P	3957	5	3962	0.00007
Fornicata	207245	P	1786	1	1787	0.00003
Euglenozoa	33682	P	3270	1	3271	0.00006
Evosea	2605435	P	1637	402	2039	0.00003
Rhodophyta	2763	P	90	0	90	0.00000
Methanobacteriota	28890	P	26256	31	26287	0.00044
Thermoplasmatota	2283796	P	865	0	865	0.00001
Thermoproteota	28889	P	6400	0	6400	0.00011
Nitrososphaerota	651137	P	3090	0	3090	0.00005
Promethearchaeota	3366641	P	1154	0	1154	0.00002
Nanobdellota	192989	P	273	0	273	0.00000
Candidatus Nanohalarchaeota	1462430	P	17	0	17	0.00000
Microcaldota	1801631	P	12	0	12	0.00000
Uroviricota	2731618	P	19061	41	19102	0.00032
Peploviricota	2731361	P	320	0	320	0.00001
Nucleocytoviricota	2732007	P	3409	0	3409	0.00006
Preplasmiviricota	2732008	P	100	0	100	0.00000
Kitrinoviricota	2732406	P	347	0	347	0.00001
Negarnaviricota	2497569	P	331	0	331	0.00001
Pisuviricota	2732408	P	318	0	318	0.00001
Duplornaviricota	2732405	P	47	0	47	0.00000
Lenarviricota	2732407	P	26	114	140	0.00000
Artverviricota	2732409	P	17	516	533	0.00001
Cossaviricota	2732415	P	141	0	141	0.00000
Phixviricota	2732412	P	112	96	208	0.00000
Taleaviricota	2840024	P	20	0	20	0.00000
