name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Hafnia	568	G	4477149	73176	4550325	0.08420
Edwardsiella	635	G	4378	60	4438	0.00008
Obesumbacterium	82982	G	1931	172	2103	0.00004
Morganella	581	G	1982460	61809	2044269	0.03783
Providencia	586	G	419176	216314	635490	0.01176
Proteus	583	G	10735	382	11117	0.00021
Moellerella	158848	G	5010	290	5300	0.00010
Photorhabdus	29487	G	2881	4	2885	0.00005
Xenorhabdus	626	G	2216	4	2220	0.00004
Arsenophonus	637	G	1481	1	1482	0.00003
Citrobacter	544	G	1548104	86801	1634905	0.03025
Klebsiella	570	G	171900	13616	185516	0.00343
Raoultella	160674	G	106134	8231	114365	0.00212
Buttiauxella	82976	G	85499	424	85923	0.00159
Enterobacter	547	G	65249	5816	71065	0.00131
Escherichia	561	G	24677	33893	58570	0.00108
Salmonella	590	G	13918	15404	29322	0.00054
Cedecea	158483	G	7207	41	7248	0.00013
Kosakonia	1330547	G	6978	77	7055	0.00013
Cronobacter	413496	G	5191	68	5259	0.00010
Lelliottia	1330545	G	4663	92	4755	0.00009
Leclercia	83654	G	4502	131	4633	0.00009
Kluyvera	579	G	4067	98	4165	0.00008
Dryocola	3021684	G	3766	31	3797	0.00007
Symbiopectobacterium	801	G	1159	525	1684	0.00003
Candidatus Blochmanniella	203804	G	433	0	433	0.00001
Candidatus Westeberhardia	1699619	G	71	0	71	0.00000
Candidatus Williamhamiltonella	568987	G	91	50	141	0.00000
Candidatus Regiella	568988	G	49	48	97	0.00000
Candidatus Tachikawaea	1682492	G	168	2	170	0.00000
Candidatus Doolittlea	1906657	G	24	0	24	0.00000
Candidatus Hoaglandella	1906659	G	23	0	23	0.00000
Candidatus Gullanella	1906661	G	21	0	21	0.00000
Candidatus Mikella	1906660	G	18	0	18	0.00000
Candidatus Purcelliella	472825	G	17	0	17	0.00000
Superficieibacter	2303321	G	1421	11	1432	0.00003
Pluralibacter	1330546	G	1376	21	1397	0.00003
Atlantibacter	1903434	G	1258	23	1281	0.00002
Siccibacter	1649298	G	1243	9	1252	0.00002
Pseudocitrobacter	1504576	G	1207	15	1222	0.00002
Yokenella	158876	G	1156	23	1179	0.00002
Trabulsiella	158851	G	1106	30	1136	0.00002
Pseudescherichia	2055880	G	925	33	958	0.00002
Franconibacter	1649295	G	924	3	927	0.00002
Plesiomonas	702	G	847	12	859	0.00002
Phytobacter	447792	G	784	86	870	0.00002
Scandinavium	2726810	G	717	4	721	0.00001
Jejubacter	2815296	G	621	1	622	0.00001
Mangrovibacter	451512	G	581	17	598	0.00001
Shimwellia	1335483	G	580	3	583	0.00001
Shigella	620	G	416	1089	1505	0.00003
Candidatus Profftia	1177214	G	139	0	139	0.00000
Candidatus Curculioniphilus	690591	G	90	0	90	0.00000
Candidatus Schneideria	1081630	G	35	0	35	0.00000
Candidatus Riesia	401618	G	27	0	27	0.00000
Candidatus Moranella	1048757	G	15	0	15	0.00000
Serratia	613	G	1744588	17129	1761717	0.03260
Yersinia	629	G	75871	1158	77029	0.00143
Chania	1745211	G	11071	94	11165	0.00021
Rahnella	34037	G	5343	51	5394	0.00010
Gibbsiella	929812	G	1659	15	1674	0.00003
Rouxiella	1565532	G	965	8	973	0.00002
Ewingella	41201	G	567	6	573	0.00001
Nissabacter	1964366	G	411	2	413	0.00001
Candidatus Fukatsuia	1927833	G	267	0	267	0.00000
Chimaeribacter	2716544	G	237	3	240	0.00000
Pantoea	53335	G	15797	273	16070	0.00030
Buchnera	32199	G	10569	12	10581	0.00020
Erwinia	551	G	9136	794	9930	0.00018
Mixta	2100764	G	876	37	913	0.00002
Tatumella	82986	G	628	3	631	0.00001
Winslowiella	2997349	G	558	8	566	0.00001
Duffyella	3026546	G	527	21	548	0.00001
Paramixta	3231896	G	409	5	414	0.00001
Pectobacterium	122277	G	21483	497	21980	0.00041
Dickeya	204037	G	5303	78	5381	0.00010
Brenneria	71655	G	1636	87	1723	0.00003
Musicola	2884243	G	353	0	353	0.00001
Lonsdalea	1082702	G	328	5	333	0.00001
Prodigiosinella	3059405	G	27	37	64	0.00000
Limnobaculum	2172100	G	1301	8	1309	0.00002
Leminorella	82980	G	842	2	844	0.00002
Pragia	82984	G	249	2	251	0.00000
Sodalis	84565	G	2022	2	2024	0.00004
Gallaecimonas	745410	G	295	1	296	0.00001
Acinetobacter	469	G	2196295	14201	2210496	0.04090
Psychrobacter	497	G	4116	13	4129	0.00008
Moraxella	475	G	964	3	967	0.00002
Faucicola	1604696	G	907	6	913	0.00002
Aquirhabdus	2824158	G	437	0	437	0.00001
Alkanindiges	222991	G	84	1	85	0.00000
Lwoffella	3444169	G	30	0	30	0.00000
Pseudomonas	286	G	1113499	23661	1137160	0.02104
Halopseudomonas	2901189	G	3243	297	3540	0.00007
Stutzerimonas	2901164	G	2243	147	2390	0.00004
Ectopseudomonas	3236654	G	1365	372	1737	0.00003
Metapseudomonas	3236656	G	1288	61	1349	0.00002
Entomomonas	2758906	G	813	0	813	0.00002
Azotobacter	352	G	682	4	686	0.00001
Azorhizophilus	157913	G	14	0	14	0.00000
Thiopseudomonas	1654787	G	486	3	489	0.00001
Aquipseudomonas	3236652	G	374	28	402	0.00001
Phytopseudomonas	3236657	G	112	7	119	0.00000
Permianibacter	1649479	G	87	0	87	0.00000
Denitrificimonas	2901261	G	77	1	78	0.00000
Geopseudomonas	3236655	G	16	0	16	0.00000
Marinobacter	2742	G	3091	29	3120	0.00006
Ketobacter	2025617	G	121	0	121	0.00000
Pseudohongiella	1524249	G	92	0	92	0.00000
Candidatus Njordibacter	3457297	G	66	0	66	0.00000
Stenotrophomonas	40323	G	947709	9415	957124	0.01771
Xanthomonas	338	G	8066	135	8201	0.00015
Lysobacter	68	G	1693	26	1719	0.00003
Pseudoxanthomonas	83618	G	1546	30	1576	0.00003
Luteimonas	83614	G	788	3	791	0.00001
Thermomonas	141948	G	397	3	400	0.00001
Arenimonas	490567	G	145	0	145	0.00000
Agrilutibacter	3382696	G	115	0	115	0.00000
Pseudoluteimonas	3382694	G	70	0	70	0.00000
Xylella	2370	G	43	0	43	0.00000
Marilutibacter	3382698	G	31	0	31	0.00000
Novilysobacter	3382699	G	28	6	34	0.00000
Solilutibacter	3382695	G	11	0	11	0.00000
Dyella	231454	G	760	14	774	0.00001
Luteibacter	242605	G	717	8	725	0.00001
Tahibacter	1453544	G	529	2	531	0.00001
Rhodanobacter	75309	G	500	14	514	0.00001
Pseudolysobacter	2709666	G	393	0	393	0.00001
Dokdonella	323413	G	338	2	340	0.00001
Frateuria	70411	G	94	5	99	0.00000
Ahniella	2233801	G	72	0	72	0.00000
Aerosticca	2707020	G	22	2	24	0.00000
Marinicella	863253	G	154	0	154	0.00000
Pseudoalteromonas	53246	G	11788	391	12179	0.00023
Psychrosphaera	907197	G	24	2	26	0.00000
Shewanella	22	G	7408	202	7610	0.00014
Parashewanella	2547964	G	567	2	569	0.00001
Psychrobium	1573826	G	156	2	158	0.00000
Alteromonas	226	G	2565	98	2663	0.00005
Salinimonas	288793	G	333	23	356	0.00001
Paraglaciecola	1621534	G	1017	14	1031	0.00002
Agarivorans	261825	G	820	7	827	0.00002
Alishewanella	111142	G	625	1	626	0.00001
Lacimicrobium	1751872	G	475	4	479	0.00001
Catenovulum	1172191	G	440	1	441	0.00001
Saccharobesus	2894574	G	325	2	327	0.00001
Ningiella	2751156	G	203	1	204	0.00000
Neptunicella	2125985	G	172	2	174	0.00000
Aliiglaciecola	1406885	G	76	4	80	0.00000
Alkalimarinus	1858563	G	64	0	64	0.00000
Planctobacterium	2200736	G	33	0	33	0.00000
Halioxenophilus	2108524	G	27	0	27	0.00000
Hydrocarboniclastica	2650549	G	15	0	15	0.00000
Saliniradius	2661818	G	11	0	11	0.00000
Paraneptunicella	2905123	G	11	0	11	0.00000
Brumicola	3160924	G	10	0	10	0.00000
Colwellia	28228	G	2732	33	2765	0.00005
Thalassotalea	1518149	G	1401	47	1448	0.00003
Litorilituus	1407056	G	910	9	919	0.00002
Cognaticolwellia	2848171	G	423	7	430	0.00001
Thalassomonas	137583	G	193	1	194	0.00000
Pseudocolwellia	2848177	G	115	2	117	0.00000
Psychromonas	67572	G	1682	13	1695	0.00003
Moritella	58050	G	1387	116	1503	0.00003
Idiomarina	135575	G	703	28	731	0.00001
Pseudidiomarina	2800384	G	181	5	186	0.00000
Ferrimonas	44011	G	714	13	727	0.00001
Motilimonas	1914248	G	124	2	126	0.00000
Vibrio	662	G	25435	238	25673	0.00048
Photobacterium	657	G	3947	119	4066	0.00008
Paraphotobacterium	2042066	G	1110	7	1117	0.00002
Aliivibrio	511678	G	769	19	788	0.00001
Salinivibrio	51366	G	357	2	359	0.00001
Grimontia	246861	G	231	1	232	0.00000
Enterovibrio	188143	G	182	0	182	0.00000
Parasalinivibrio	3378804	G	69	0	69	0.00000
Thaumasiovibrio	2014233	G	28	0	28	0.00000
Halomonas	2745	G	4311	167	4478	0.00008
Vreelandella	3137766	G	2660	786	3446	0.00006
Halotalea	376488	G	2239	15	2254	0.00004
Salinicola	404432	G	431	9	440	0.00001
Cobetia	204286	G	328	7	335	0.00001
Billgrantia	3137761	G	222	34	256	0.00000
Kushneria	504090	G	217	0	217	0.00000
Candidatus Carsonella	114185	G	76	0	76	0.00000
Zymobacter	33073	G	36	2	38	0.00000
Pistricoccus	1897649	G	90	0	90	0.00000
Chromohalobacter	42054	G	22	1	23	0.00000
Marinomonas	28253	G	2111	45	2156	0.00004
Marinobacterium	48075	G	564	17	581	0.00001
Aliamphritea	3018276	G	556	4	560	0.00001
Neptuniibacter	459520	G	446	3	449	0.00001
Amphritea	515417	G	411	4	415	0.00001
Neptunomonas	75687	G	392	6	398	0.00001
Thalassolituus	187492	G	340	13	353	0.00001
Bacterioplanoides	2066071	G	176	3	179	0.00000
Bermanella	599651	G	58	0	58	0.00000
Venatoribacter	2893036	G	47	3	50	0.00000
Nitrincola	267849	G	43	0	43	0.00000
Marinospirillum	64968	G	38	2	40	0.00000
Bacterioplanes	1537406	G	36	1	37	0.00000
Motiliproteus	1775292	G	31	0	31	0.00000
Reinekea	230494	G	838	8	846	0.00002
Salinispirillum	1649491	G	363	4	367	0.00001
Gynuella	1445504	G	258	3	261	0.00000
Saccharospirillum	231683	G	73	1	74	0.00000
Alloalcanivorax	3020832	G	434	24	458	0.00001
Alcanivorax	59753	G	367	3	370	0.00001
Isoalcanivorax	3020833	G	357	14	371	0.00001
Endozoicomonas	305899	G	952	17	969	0.00002
Marinicellulosiphila	3414216	G	619	6	625	0.00001
Aliikangiella	1920241	G	338	0	338	0.00001
Pleionea	1502941	G	36	0	36	0.00000
Hahella	158481	G	295	7	302	0.00001
Thermohahella	3449104	G	42	2	44	0.00000
Spartinivicinus	2768738	G	331	11	342	0.00001
Litorivicinus	418700	G	152	0	152	0.00000
Pokkaliibacter	2301194	G	42	0	42	0.00000
Oleiphilus	141450	G	24	0	24	0.00000
Haemophilus	724	G	2103	30	2133	0.00004
Actinobacillus	713	G	1369	26	1395	0.00003
Pasteurella	745	G	1250	239	1489	0.00003
Phocoenobacter	146805	G	950	57	1007	0.00002
Gallibacterium	155493	G	580	18	598	0.00001
Histophilus	214906	G	578	13	591	0.00001
Mannheimia	75984	G	574	5	579	0.00001
Glaesserella	2094023	G	453	15	468	0.00001
Otariodibacter	1249016	G	424	2	426	0.00001
Lonepinella	53416	G	333	1	334	0.00001
Aggregatibacter	416916	G	309	3	312	0.00001
Avibacterium	292486	G	237	5	242	0.00000
Rodentibacter	1960084	G	232	1	233	0.00000
Bibersteinia	476528	G	191	5	196	0.00000
Testudinibacter	1755672	G	143	0	143	0.00000
Mergibacter	2899790	G	95	0	95	0.00000
Basfia	697331	G	58	0	58	0.00000
Frederiksenia	1649317	G	42	0	42	0.00000
Bisgaardia	109471	G	37	0	37	0.00000
Vespertiliibacter	1520333	G	24	0	24	0.00000
Aeromonas	642	G	6601	102	6703	0.00012
Tolumonas	43947	G	705	8	713	0.00001
Zobellella	347533	G	445	16	461	0.00001
Oceanisphaera	225143	G	242	0	242	0.00000
Oceanimonas	129577	G	190	6	196	0.00000
Dongshaea	2802288	G	34	0	34	0.00000
Pseudaeromonas	1929090	G	32	0	32	0.00000
Succinivibrio	83770	G	963	0	963	0.00002
Legionella	445	G	4402	1	4403	0.00008
Fluoribacter	461	G	1525	3	1528	0.00003
Rickettsiella	59195	G	1421	283	1704	0.00003
Coxiella	776	G	151	1	152	0.00000
Aquicella	254245	G	69	0	69	0.00000
Candidiatus Paracoxiella	3405119	G	20	0	20	0.00000
Thiomicrorhabdus	2039723	G	1246	45	1291	0.00002
Methylophaga	40222	G	752	2	754	0.00001
Cycloclasticus	34067	G	537	0	537	0.00001
Thiomicrospira	933	G	410	40	450	0.00001
Thiosulfatimonas	2781121	G	191	9	200	0.00000
Hydrogenovibrio	28884	G	170	27	197	0.00000
Thiosulfativibrio	2781120	G	123	4	127	0.00000
Piscirickettsia	1237	G	100	0	100	0.00000
Francisella	262	G	1982	74	2056	0.00004
Allofrancisella	1869285	G	628	46	674	0.00001
Thiothrix	1030	G	1036	0	1036	0.00002
Beggiatoa	1021	G	29	0	29	0.00000
Cysteiniphilum	2056696	G	80	2	82	0.00000
Microbulbifer	48073	G	3936	2	3938	0.00007
Cellvibrio	10	G	821	2	823	0.00002
Simiduia	447467	G	464	0	464	0.00001
Gilvimarinus	940550	G	280	0	280	0.00001
Teredinibacter	2425	G	275	2	277	0.00001
Agaribacterium	2038244	G	272	0	272	0.00001
Agarilytica	2036021	G	237	0	237	0.00000
Saccharophagus	316625	G	164	1	165	0.00000
Maricurvus	1122283	G	155	0	155	0.00000
Marinagarivorans	1792291	G	118	2	120	0.00000
Marinimicrobium	359337	G	96	0	96	0.00000
Congregibacter	393661	G	116	7	123	0.00000
Halioglobus	1217416	G	76	1	77	0.00000
Luminiphilus	1341118	G	51	1	52	0.00000
Candidatus Paraluminiphilus	3040948	G	37	0	37	0.00000
Aequoribacter	2847769	G	26	2	28	0.00000
Kineobactrum	2678529	G	11	0	11	0.00000
Zhongshania	1434050	G	170	0	170	0.00000
Spongiibacter	630749	G	147	0	147	0.00000
Rheinheimera	67575	G	971	5	976	0.00002
