name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Hafniaceae	1903412	F	19318522	236621	19555143	0.27399
Enterobacteriaceae	543	F	6926722	253498	7180220	0.10060
Morganellaceae	1903414	F	4223781	310499	4534280	0.06353
Yersiniaceae	1903411	F	254642	3766	258408	0.00362
Budviciaceae	1903416	F	179313	337	179650	0.00252
Erwiniaceae	1903409	F	118613	370	118983	0.00167
Pectobacteriaceae	1903410	F	91939	359	92298	0.00129
Bruguierivoracaceae	2812006	F	5121	3	5124	0.00007
Gallaecimonadaceae	3120698	F	1116	3	1119	0.00002
Pseudomonadaceae	135621	F	6502027	101069	6603096	0.09252
Marinobacteraceae	2887365	F	10412	38	10450	0.00015
Pseudohongiellaceae	3085095	F	337	0	337	0.00000
Candidatus Njordibacteraceae	3457296	F	211	0	211	0.00000
Ketobacteraceae	3085096	F	106	0	106	0.00000
Moraxellaceae	468	F	1415030	11568	1426598	0.01999
Lysobacteraceae	32033	F	977816	22917	1000733	0.01402
Rhodanobacteraceae	1775411	F	12525	18	12543	0.00018
Marinicellaceae	3120710	F	847	0	847	0.00001
Vibrionaceae	641	F	70111	218	70329	0.00099
Shewanellaceae	267890	F	23236	373	23609	0.00033
Pseudoalteromonadaceae	267888	F	15614	539	16153	0.00023
Alteromonadaceae	72275	F	13303	352	13655	0.00019
Colwelliaceae	267889	F	4853	193	5046	0.00007
Idiomarinaceae	267893	F	2630	63	2693	0.00004
Ferrimonadaceae	267892	F	2583	75	2658	0.00004
Psychromonadaceae	267894	F	1433	27	1460	0.00002
Moritellaceae	267891	F	1081	640	1721	0.00002
Halomonadaceae	28256	F	26923	434	27357	0.00038
Oceanospirillaceae	135620	F	14334	389	14723	0.00021
Alcanivoracaceae	224372	F	4323	216	4539	0.00006
Saccharospirillaceae	255527	F	2994	56	3050	0.00004
Endozoicomonadaceae	2066474	F	2730	1671	4401	0.00006
Hahellaceae	224379	F	1409	54	1463	0.00002
Pleioneaceae	2823145	F	1147	0	1147	0.00002
Litorivicinaceae	449732	F	786	1	787	0.00001
Zooshikellaceae	2898533	F	353	16	369	0.00001
Balneatrichaceae	2301193	F	232	1	233	0.00000
Oleiphilaceae	191033	F	110	3	113	0.00000
Aeromonadaceae	84642	F	27538	444	27982	0.00039
Succinivibrionaceae	83763	F	204	0	204	0.00000
Cellvibrionaceae	1706371	F	11126	7	11133	0.00016
Microbulbiferaceae	1706373	F	10756	8	10764	0.00015
Spongiibacteraceae	1706375	F	1420	6	1426	0.00002
Halieaceae	1706372	F	1290	1	1291	0.00002
Porticoccaceae	1706374	F	13	0	13	0.00000
Pasteurellaceae	712	F	20291	187	20478	0.00029
Chromatiaceae	1046	F	7827	31	7858	0.00011
Ectothiorhodospiraceae	72276	F	4602	17	4619	0.00006
Granulosicoccaceae	449719	F	1375	4	1379	0.00002
Sedimenticolaceae	3067276	F	1309	8	1317	0.00002
Halothiobacillaceae	255526	F	990	15	1005	0.00001
Thioalkalibacteraceae	2035710	F	260	4	264	0.00000
Wenzhouxiangellaceae	1676141	F	215	1	216	0.00000
Piscirickettsiaceae	135616	F	7898	15	7913	0.00011
Francisellaceae	34064	F	3537	6	3543	0.00005
Thiotrichaceae	135617	F	3366	1	3367	0.00005
Fastidiosibacteraceae	2056687	F	592	0	592	0.00001
