name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Enterobacteriaceae	543	F	36715179	1066022	37781201	0.39130
Yersiniaceae	1903411	F	2821688	24240	2845928	0.02948
Morganellaceae	1903414	F	684675	71456	756131	0.00783
Erwiniaceae	1903409	F	177787	702	178489	0.00185
Pectobacteriaceae	1903410	F	92529	320	92849	0.00096
Hafniaceae	1903412	F	44810	446	45256	0.00047
Bruguierivoracaceae	2812006	F	9691	12	9703	0.00010
Budviciaceae	1903416	F	8058	21	8079	0.00008
Gallaecimonadaceae	3120698	F	986	15	1001	0.00001
Lysobacteraceae	32033	F	23593784	323843	23917627	0.24772
Rhodanobacteraceae	1775411	F	173864	982	174846	0.00181
Marinicellaceae	3120710	F	37	0	37	0.00000
Pseudomonadaceae	135621	F	7623549	43352	7666901	0.07941
Marinobacteraceae	2887365	F	4499	10	4509	0.00005
Candidatus Njordibacteraceae	3457296	F	360	0	360	0.00000
Pseudohongiellaceae	3085095	F	105	0	105	0.00000
Ketobacteraceae	3085096	F	25	0	25	0.00000
Moraxellaceae	468	F	2108199	40772	2148971	0.02226
Halomonadaceae	28256	F	35611	200	35811	0.00037
Oceanospirillaceae	135620	F	7126	40	7166	0.00007
Alcanivoracaceae	224372	F	4050	63	4113	0.00004
Balneatrichaceae	2301193	F	1731	3	1734	0.00002
Hahellaceae	224379	F	910	5	915	0.00001
Saccharospirillaceae	255527	F	883	2	885	0.00001
Litorivicinaceae	449732	F	589	0	589	0.00001
Endozoicomonadaceae	2066474	F	584	3	587	0.00001
Pleioneaceae	2823145	F	385	89	474	0.00000
Zooshikellaceae	2898533	F	72	0	72	0.00000
Oleiphilaceae	191033	F	71	0	71	0.00000
Vibrionaceae	641	F	48449	228	48677	0.00050
Aeromonadaceae	84642	F	35642	5358	41000	0.00042
Succinivibrionaceae	83763	F	68	0	68	0.00000
Shewanellaceae	267890	F	10477	224	10701	0.00011
Pseudoalteromonadaceae	267888	F	7457	351	7808	0.00008
Alteromonadaceae	72275	F	7069	175	7244	0.00008
Colwelliaceae	267889	F	2471	54	2525	0.00003
Idiomarinaceae	267893	F	994	12	1006	0.00001
Psychromonadaceae	267894	F	891	6	897	0.00001
Ferrimonadaceae	267892	F	745	11	756	0.00001
Moritellaceae	267891	F	496	39	535	0.00001
Aegicerorhabdaceae	3614797	F	298	48	346	0.00000
Chromatiaceae	1046	F	7422	5	7427	0.00008
Ectothiorhodospiraceae	72276	F	6573	5	6578	0.00007
Thioalkalibacteraceae	2035710	F	1639	1	1640	0.00002
Sedimenticolaceae	3067276	F	1557	0	1557	0.00002
Wenzhouxiangellaceae	1676141	F	285	0	285	0.00000
Granulosicoccaceae	449719	F	153	0	153	0.00000
Halothiobacillaceae	255526	F	92	0	92	0.00000
Microbulbiferaceae	1706373	F	6892	8	6900	0.00007
Cellvibrionaceae	1706371	F	3586	7	3593	0.00004
Halieaceae	1706372	F	2824	15	2839	0.00003
Spongiibacteraceae	1706375	F	427	2	429	0.00000
Porticoccaceae	1706374	F	12	0	12	0.00000
Methylococcaceae	403	F	11295	9	11304	0.00012
Methylothermaceae	1486721	F	731	0	731	0.00001
Pasteurellaceae	712	F	10691	47	10738	0.00011
Nevskiaceae	568386	F	6456	9	6465	0.00007
Algiphilaceae	1266054	F	160	1	161	0.00000
Legionellaceae	444	F	2880	23	2903	0.00003
Coxiellaceae	118968	F	2345	3	2348	0.00002
Piscirickettsiaceae	135616	F	2311	4	2315	0.00002
Thiotrichaceae	135617	F	1507	0	1507	0.00002
Francisellaceae	34064	F	504	12	516	0.00001
Fastidiosibacteraceae	2056687	F	37	1	38	0.00000
Orbaceae	1240483	F	2169	4	2173	0.00002
Steroidobacteraceae	2689614	F	1972	14	1986	0.00002
Thiohalobacteraceae	3085110	F	805	0	805	0.00001
Candidatus Pseudothioglobaceae	3399801	F	365	199	564	0.00001
Celerinatantimonadaceae	412032	F	67	68	135	0.00000
Candidatus Azoamicaceae	3119552	F	15	17	32	0.00000
Acidiferrobacteraceae	1692041	F	652	0	652	0.00001
Ignatzschineriaceae	3018589	F	335	1	336	0.00000
Cardiobacteriaceae	868	F	247	0	247	0.00000
Immundisolibacteraceae	1934946	F	566	3	569	0.00001
Salinisphaeraceae	742031	F	525	0	525	0.00001
Kangiellaceae	1920240	F	298	0	298	0.00000
Woeseiaceae	1738654	F	164	0	164	0.00000
Candidatus Rariloculaceae	2978122	F	119	0	119	0.00000
Thiohalomonadaceae	3084969	F	55	52	107	0.00000
Candidatus Poriferihabitaceae	3033994	F	42	0	42	0.00000
Candidatus Johnevansiaceae	3399796	F	33	0	33	0.00000
Candidatus Comchoanobacteraceae	2975285	F	25	0	25	0.00000
Candidatus Foliamicaceae	3023562	F	14	0	14	0.00000
Comamonadaceae	80864	F	7455780	63193	7518973	0.07787
Alcaligenaceae	506	F	4927367	126560	5053927	0.05234
Burkholderiaceae	119060	F	200755	2056	202811	0.00210
Oxalobacteraceae	75682	F	98175	556	98731	0.00102
Sphaerotilaceae	2975441	F	48974	15266	64240	0.00067
Sutterellaceae	995019	F	621	1	622	0.00001
Chromobacteriaceae	1499392	F	19476	129	19605	0.00020
Neisseriaceae	481	F	11849	77	11926	0.00012
Chitinibacteraceae	2897177	F	10860	105	10965	0.00011
Aquaspirillaceae	2897176	F	3796	111	3907	0.00004
Zoogloeaceae	2008794	F	23848	1527	25375	0.00026
Rhodocyclaceae	75787	F	6106	224	6330	0.00007
Azonexaceae	2008795	F	4541	90	4631	0.00005
Fluviibacteraceae	2808923	F	61	0	61	0.00000
Sterolibacteriaceae	2008793	F	4978	72	5050	0.00005
Gallionellaceae	90627	F	2016	9	2025	0.00002
Methylophilaceae	32011	F	1255	4	1259	0.00001
Nitrosomonadaceae	206379	F	1102	27	1129	0.00001
Usitatibacteraceae	2803844	F	662	1	663	0.00001
Thiobacillaceae	2008790	F	607	16	623	0.00001
Sulfuricellaceae	2772226	F	538	1050	1588	0.00002
Casimicrobiaceae	2705999	F	403	235	638	0.00001
Ferrovaceae	1442156	F	24	0	24	0.00000
Brucellaceae	118882	F	270755	14072	284827	0.00295
Rhizobiaceae	82115	F	149743	12763	162506	0.00168
Phyllobacteriaceae	69277	F	103780	3295	107075	0.00111
Nitrobacteraceae	41294	F	68965	426	69391	0.00072
Boseaceae	2831100	F	25223	557	25780	0.00027
Methylobacteriaceae	119045	F	24784	263	25047	0.00026
Devosiaceae	2831106	F	16764	151	16915	0.00018
Aurantimonadaceae	255475	F	11365	174	11539	0.00012
Reyranellaceae	2844375	F	7844	30	7874	0.00008
Stappiaceae	2821832	F	7032	189	7221	0.00007
Xanthobacteraceae	335928	F	5157	60	5217	0.00005
Chelatococcaceae	2036754	F	3297	72	3369	0.00003
Phreatobacteraceae	2843305	F	2656	19	2675	0.00003
Ahrensiaceae	2829814	F	2343	83	2426	0.00003
Beijerinckiaceae	45404	F	1814	9	1823	0.00002
Afifellaceae	2829802	F	1783	74	1857	0.00002
Methylocystaceae	31993	F	1561	1183	2744	0.00003
Bartonellaceae	772	F	999	2	1001	0.00001
Amorphaceae	2685818	F	891	4	895	0.00001
Pleomorphomonadaceae	2843308	F	834	25	859	0.00001
Hyphomicrobiaceae	45401	F	800	1	801	0.00001
Parvibaculaceae	2813035	F	607	22	629	0.00001
Alsobacteraceae	2792775	F	449	4	453	0.00000
Kaistiaceae	2831111	F	360	2	362	0.00000
Ancalomicrobiaceae	2172021	F	300	3	303	0.00000
Blastochloridaceae	2831090	F	233	2	235	0.00000
Salinarimonadaceae	2137278	F	229	2	231	0.00000
Lichenihabitantaceae	2723775	F	215	0	215	0.00000
Cohaesibacteraceae	655351	F	121	0	121	0.00000
Coralliovaceae	3228937	F	107	0	107	0.00000
Methylopilaceae	3149309	F	75	0	75	0.00000
Rhodoligotrophaceae	3149308	F	70	0	70	0.00000
Aestuariivirgaceae	2650922	F	48	0	48	0.00000
Terrirubraceae	3142785	F	45	0	45	0.00000
Salaquimonadaceae	3149307	F	25	0	25	0.00000
Sphingomonadaceae	41297	F	66580	3600	70180	0.00073
Sphingobiaceae	3423717	F	16478	4461	20939	0.00022
Erythrobacteraceae	335929	F	13782	289	14071	0.00015
Sphingopyxidaceae	3423718	F	11642	478	12120	0.00013
Rhizorhabdaceae	3423714	F	4443	884	5327	0.00006
Sphingorhabdaceae	3423719	F	1800	82	1882	0.00002
Sphingosinicellaceae	2820280	F	1292	13	1305	0.00001
Parasphingopyxidaceae	3423716	F	1115	4	1119	0.00001
Sphingomicrobiaceae	3423713	F	869	8	877	0.00001
Blastomonadaceae	3423720	F	781	12	793	0.00001
Aquisediminimonadaceae	3423715	F	115	0	115	0.00000
Zymomonadaceae	2844881	F	72	3	75	0.00000
Paracoccaceae	31989	F	33507	1203	34710	0.00036
Roseobacteraceae	2854170	F	27373	2866	30239	0.00031
Caulobacteraceae	76892	F	59071	1549	60620	0.00063
Azospirillaceae	2829815	F	26905	382	27287	0.00028
Rhodospirillaceae	41295	F	4719	94	4813	0.00005
Thalassospiraceae	2844866	F	2111	27	2138	0.00002
Thalassobaculaceae	2844864	F	2028	42	2070	0.00002
Dongiaceae	3031144	F	1784	26	1810	0.00002
Allostellaceae	2844601	F	1454	9	1463	0.00002
Zavarziniaceae	2844877	F	1109	5	1114	0.00001
Novispirillaceae	3031145	F	881	12	893	0.00001
Rhodovibrionaceae	2844403	F	813	2	815	0.00001
Aestuariispiraceae	3466454	F	141	0	141	0.00000
Terasakiellaceae	2813951	F	83	0	83	0.00000
Magnetospirillaceae	3036766	F	35	5	40	0.00000
Magnetovibrionaceae	3031143	F	23	0	23	0.00000
Roseomonadaceae	3385906	F	15465	215	15680	0.00016
Acetobacteraceae	433	F	11161	87	11248	0.00012
Acidocellaceae	3385905	F	2200	16	2216	0.00002
Elioraeaceae	2690195	F	41	0	41	0.00000
Geminicoccaceae	2066434	F	4754	277	5031	0.00005
Maricaulaceae	2800061	F	2413	43	2456	0.00003
Robiginitomaculaceae	2800062	F	673	0	673	0.00001
Hyphomonadaceae	69657	F	2441	13	2454	0.00003
Emcibacteraceae	2066491	F	1374	5	1379	0.00001
Rickettsiaceae	775	F	608	6	614	0.00001
Anaplasmataceae	942	F	558	3	561	0.00001
Candidatus Midichloriaceae	1328881	F	66	15	81	0.00000
Candidatus Deianiraeaceae	2603433	F	15	0	15	0.00000
Radicibacteraceae	3462473	F	730	4	734	0.00001
Minwuiaceae	2493628	F	704	3	707	0.00001
