name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Bacteroides	816	G	7720093	607377	8327470	0.25912
Phocaeicola	909656	G	433514	78948	512462	0.01595
Parabacteroides	375288	G	3199998	253151	3453149	0.10745
Tannerella	195950	G	32413	1152	33565	0.00104
Alistipes	239759	G	951907	52438	1004345	0.03125
Acetobacteroides	1647173	G	7495	448	7943	0.00025
Prevotella	838	G	183922	7097	191019	0.00594
Segatella	2974251	G	82934	4229	87163	0.00271
Paraprevotella	577309	G	36043	2602	38645	0.00120
Hoylesella	2974257	G	13984	5305	19289	0.00060
Xylanibacter	558436	G	11036	153	11189	0.00035
Pseudoprevotella	2884814	G	4525	55	4580	0.00014
Butyricimonas	574697	G	93865	8727	102592	0.00319
Odoribacter	283168	G	60401	4353	64754	0.00201
Barnesiella	397864	G	57992	3205	61197	0.00190
Coprobacter	1348911	G	41167	2430	43597	0.00136
Macellibacteroides	1159323	G	48012	1189	49201	0.00153
Porphyromonas	836	G	47071	1724	48795	0.00152
Proteiniphilum	294702	G	21924	1695	23619	0.00073
Petrimonas	307628	G	20521	3644	24165	0.00075
Dysgonomonas	156973	G	19483	28	19511	0.00061
Indolivaga	3680098	G	13899	1070	14969	0.00047
Limibacterium	3404873	G	12959	376	13335	0.00041
Muribaculum	1918540	G	15759	834	16593	0.00052
Duncaniella	2518495	G	13925	226	14151	0.00044
Paramuribaculum	2518497	G	5544	158	5702	0.00018
Sodaliphilus	2815786	G	4157	151	4308	0.00013
Paludibacter	346096	G	10441	10	10451	0.00033
Salinivirga	1970191	G	2508	1	2509	0.00008
Tenuifilum	2760873	G	2488	10	2498	0.00008
Candidatus Azobacteroides	511434	G	1700	1	1701	0.00005
Draconibacterium	1471399	G	32627	700	33327	0.00104
Mangrovibacterium	1573808	G	8799	557	9356	0.00029
Aquipluma	2792393	G	7262	85	7347	0.00023
Halosquirtibacter	3374594	G	7024	248	7272	0.00023
Maribellus	2678352	G	6634	134	6768	0.00021
Gaoshiqia	3045890	G	6253	81	6334	0.00020
Labilibaculum	2060722	G	12516	696	13212	0.00041
Marinifilum	866673	G	12121	699	12820	0.00040
Alkalitalea	1193324	G	3618	149	3767	0.00012
Xiashengella	3129724	G	3059	1052	4111	0.00013
Flavobacterium	237	G	184667	9135	193802	0.00603
Capnocytophaga	1016	G	32643	1253	33896	0.00105
Polaribacter	52959	G	27379	3397	30776	0.00096
Tenacibaculum	104267	G	23438	2928	26366	0.00082
Flagellimonas	444459	G	21040	3432	24472	0.00076
Maribacter	252356	G	15178	2031	17209	0.00054
Aquimarina	290174	G	12903	677	13580	0.00042
Winogradskyella	286104	G	12883	2123	15006	0.00047
Christiangramia	292691	G	9374	982	10356	0.00032
Myroides	76831	G	8658	1319	9977	0.00031
Nonlabens	363408	G	7634	923	8557	0.00027
Cellulophaga	104264	G	7487	885	8372	0.00026
Zobellia	112040	G	7371	442	7813	0.00024
Leeuwenhoekiella	283735	G	7090	1937	9027	0.00028
Formosa	225842	G	6397	957	7354	0.00023
Mariniflexile	527198	G	6216	686	6902	0.00021
Algibacter	261827	G	4942	1009	5951	0.00019
Wenyingzhuangia	1518147	G	4603	369	4972	0.00015
Aequorivita	153265	G	4598	498	5096	0.00016
Salegentibacter	143222	G	4447	2469	6916	0.00022
Kordia	221065	G	4419	187	4606	0.00014
Lacinutrix	291183	G	4033	1071	5104	0.00016
Zunongwangia	417127	G	3930	1982	5912	0.00018
Antarcticibacterium	2058174	G	3766	530	4296	0.00013
Arenibacter	178469	G	3719	1892	5611	0.00017
Lutibacter	358023	G	3682	163	3845	0.00012
Sinomicrobium	1434045	G	3550	37	3587	0.00011
Seonamhaeicola	1649495	G	3482	294	3776	0.00012
Salinimicrobium	561367	G	3190	301	3491	0.00011
Robiginitalea	252306	G	3143	100	3243	0.00010
Allomuricauda	111500	G	3140	229	3369	0.00010
Dokdonia	326319	G	2954	138	3092	0.00010
Galbibacter	379068	G	2898	894	3792	0.00012
Flavivirga	1209327	G	2409	111	2520	0.00008
Olleya	336276	G	2375	759	3134	0.00010
Aureibaculum	2706948	G	2341	203	2544	0.00008
