METAGENOMEID,ILLUMINA
STP248.12601,STP_248_10039_S28_L004_R?_001.fastq.gz
STP294.12602,STP_294_10044_S34_L004_R?_001.fastq.gz
STP51B.12603,STP_51B_10019_S31_L004_R?_001.fastq.gz
STP572.12604,STP_572_10073_S29_L004_R?_001.fastq.gz
STP672.12605,STP_672_10098_S32_L004_R?_001.fastq.gz
STP701.12606,STP_701_10110_S33_L004_R?_001.fastq.gz
STP748.12607,STP_748_10122_S30_L004_R?_001.fastq.gz
Alig_mis,SRR18112698_?.fastq.gz
UHM17.10826,UHM17_S33_L004_R?_001.fastq.gz
UHM18.10827,UHM18_S34_L004_R?_001.fastq.gz
UHM20.10828,UHM20_S35_L004_R?_001.fastq.gz
UHM27.10829,UHM27_S36_L004_R?_001.fastq.gz
UHM31.10830,UHM31_S37_L004_R?_001.fastq.gz
UHM36.10832,UHM36_S38_L004_R?_001.fastq.gz
UHM38.10833,UHM38_S39_L004_R?_001.fastq.gz
UHM44.10837,UHM44_S40_L004_R?_001.fastq.gz
UHM56.10839,UHM56_S41_L004_R?_001.fastq.gz
UHM102.10840,UHM102_S42_L004_R?_001.fastq.gz
UHM1073.23039,UHM1073_R?.fastq.gz
UHM298.23040,UHM298_R?.fastq.gz
UHM440.23041,UHM40_R?.fastq.gz
UHM41.23042,UHM41_R?.fastq.gz
UHM899.23043,UHM899_R?.fastq.gz
UHM973.23044,UHM973_R?.fastq.gz
UHM979.23045,UHM979_R?.fastq.gz
UHM982.23046,UHM982_R?.fastq.gz
UHM984.23047,UHM984_R?.fastq.gz
UHM997.23048,UHM997_R?.fastq.gz
