Genome	Cluster	Representative
STP51B.12603_R.bin.140	10	True
STP51B.12603_R.bin.65	21	True
STP51B.12603_R.bin.19	32	True
STP51B.12603_R.bin.91	43	True
STP51B.12603_R.bin.16	54	True
STP51B.12603_R.bin.3	62	True
STP51B.12603_R.bin.56	63	True
STP51B.12603_R.bin.92	64	True
STP51B.12603_R.bin.144	65	True
STP51B.12603_R.bin.74	0	True
STP51B.12603_R.bin.139	1	True
STP51B.12603_R.bin.154	2	True
STP51B.12603_R.bin.41	3	True
STP51B.12603_R.bin.109	4	True
STP51B.12603_R.bin.34	5	True
STP51B.12603_R.bin.68	6	True
STP51B.12603_R.bin.141	7	True
STP51B.12603_R.bin.63	8	True
STP51B.12603_R.bin.134	9	True
STP51B.12603_R.bin.152	11	True
STP51B.12603_R.bin.70	12	True
STP51B.12603_R.bin.81	13	True
STP51B.12603_R.bin.112	14	True
STP51B.12603_R.bin.166	15	True
STP51B.12603_R.bin.59	16	True
STP51B.12603_R.bin.83	17	True
STP51B.12603_R.bin.66	18	True
STP51B.12603_R.bin.60	19	True
STP51B.12603_R.bin.107	20	True
STP51B.12603_R.bin.2	22	True
STP51B.12603_R.bin.104	23	True
STP51B.12603_R.bin.106	24	True
STP51B.12603_R.bin.115	25	True
STP51B.12603_R.bin.117	26	True
STP51B.12603_R.bin.40	27	True
STP51B.12603_R.bin.153	28	True
STP51B.12603_R.bin.97	29	True
STP51B.12603_R.bin.157	30	True
STP51B.12603_R.bin.151	31	True
STP51B.12603_R.bin.162	33	True
STP51B.12603_R.bin.158	34	True
STP51B.12603_R.bin.71	35	True
STP51B.12603_R.bin.120	36	True
STP51B.12603_R.bin.11	37	True
STP51B.12603_R.bin.99	38	True
STP51B.12603_R.bin.48	39	True
STP51B.12603_R.bin.72	40	True
STP51B.12603_R.bin.4	41	True
STP51B.12603_R.bin.89	42	True
STP51B.12603_R.bin.168	44	True
STP51B.12603_R.bin.43	45	True
STP51B.12603_R.bin.146	46	True
STP51B.12603_R.bin.44	47	True
STP51B.12603_R.bin.9	48	True
STP51B.12603_R.bin.102	49	True
STP51B.12603_R.bin.111	50	True
STP51B.12603_R.bin.150	51	True
STP51B.12603_R.bin.159	52	True
STP51B.12603_R.bin.23	53	True
STP51B.12603_R.bin.25	55	True
STP51B.12603_R.bin.30	56	True
STP51B.12603_R.bin.42	57	True
STP51B.12603_R.bin.47	58	True
STP51B.12603_R.bin.57	59	True
STP51B.12603_R.bin.80	60	True
STP51B.12603_R.bin.82	61	True
