k141_396391	1236	class	Gammaproteobacteria	3	3	2	0.670	unknown;Proteobacteria;uc_Gammaproteobacteria	-_cellular organisms;d_Bacteria;p_Proteobacteria;c_Gammaproteobacteria
k141_79284	186801	class	Clostridia	5	5	3	0.740	unknown;Firmicutes;uc_Clostridia	-_cellular organisms;d_Bacteria;-_Terrabacteria group;p_Firmicutes;c_Clostridia
k141_13903	2720830	species	Candidatus Cryptoclostridium obscurum	3	3	2	0.950	unknown;Firmicutes;unknown	-_cellular organisms;d_Bacteria;-_Terrabacteria group;p_Firmicutes;c_Clostridia;-_Clostridia incertae sedis;g_Candidatus Cryptoclostridium;s_Candidatus Cryptoclostridium obscurum
k141_14063	1	no rank	root	2	2	2	1.000	unknown;unknown;unknown	-_root
k141_79530	1	no rank	root	2	2	2	1.000	unknown;unknown;unknown	-_root
k141_272355	1239	phylum	Firmicutes	1	1	1	1.000	unknown;Firmicutes;uc_Firmicutes	-_cellular organisms;d_Bacteria;-_Terrabacteria group;p_Firmicutes
k141_336715	2	superkingdom	Bacteria	2	2	1	0.500	uc_Bacteria;uc_Bacteria;uc_Bacteria	-_cellular organisms;d_Bacteria
k141_80095	1	no rank	root	4	4	4	1.000	unknown;unknown;unknown	-_root
k141_80238	2720830	species	Candidatus Cryptoclostridium obscurum	2	1	1	1.000	unknown;Firmicutes;unknown	-_cellular organisms;d_Bacteria;-_Terrabacteria group;p_Firmicutes;c_Clostridia;-_Clostridia incertae sedis;g_Candidatus Cryptoclostridium;s_Candidatus Cryptoclostridium obscurum
k141_15030	214853	species	Anaerofustis stercorihominis	2	2	1	0.500	unknown;Firmicutes;Eubacteriaceae	-_cellular organisms;d_Bacteria;-_Terrabacteria group;p_Firmicutes;c_Clostridia;o_Eubacteriales;f_Eubacteriaceae;g_Anaerofustis;s_Anaerofustis stercorihominis
k141_391309	189325	no rank	Clostridia incertae sedis	1	1	1	1.000	unknown;Firmicutes;unknown	-_cellular organisms;d_Bacteria;-_Terrabacteria group;p_Firmicutes;c_Clostridia;-_Clostridia incertae sedis
k141_330473	186802	order	Eubacteriales	1	1	1	1.000	unknown;Firmicutes;uc_Eubacteriales	-_cellular organisms;d_Bacteria;-_Terrabacteria group;p_Firmicutes;c_Clostridia;o_Eubacteriales
k141_138234	186802	order	Eubacteriales	3	3	2	0.670	unknown;Firmicutes;uc_Eubacteriales	-_cellular organisms;d_Bacteria;-_Terrabacteria group;p_Firmicutes;c_Clostridia;o_Eubacteriales
k141_266572	2720830	species	Candidatus Cryptoclostridium obscurum	3	3	2	0.990	unknown;Firmicutes;unknown	-_cellular organisms;d_Bacteria;-_Terrabacteria group;p_Firmicutes;c_Clostridia;-_Clostridia incertae sedis;g_Candidatus Cryptoclostridium;s_Candidatus Cryptoclostridium obscurum
k141_266861	186801	class	Clostridia	1	1	1	1.000	unknown;Firmicutes;uc_Clostridia	-_cellular organisms;d_Bacteria;-_Terrabacteria group;p_Firmicutes;c_Clostridia
k141_203316	2720830	species	Candidatus Cryptoclostridium obscurum	3	3	3	1.000	unknown;Firmicutes;unknown	-_cellular organisms;d_Bacteria;-_Terrabacteria group;p_Firmicutes;c_Clostridia;-_Clostridia incertae sedis;g_Candidatus Cryptoclostridium;s_Candidatus Cryptoclostridium obscurum
k141_139331	1	no rank	root	5	5	5	1.000	unknown;unknown;unknown	-_root
k141_456628	2	superkingdom	Bacteria	5	5	3	0.600	uc_Bacteria;uc_Bacteria;uc_Bacteria	-_cellular organisms;d_Bacteria
k141_203435	2	superkingdom	Bacteria	1	1	1	1.000	uc_Bacteria;uc_Bacteria;uc_Bacteria	-_cellular organisms;d_Bacteria
k141_203477	2720830	species	Candidatus Cryptoclostridium obscurum	2	2	1	0.500	unknown;Firmicutes;unknown	-_cellular organisms;d_Bacteria;-_Terrabacteria group;p_Firmicutes;c_Clostridia;-_Clostridia incertae sedis;g_Candidatus Cryptoclostridium;s_Candidatus Cryptoclostridium obscurum
k141_200599	1	no rank	root	8	8	8	1.000	unknown;unknown;unknown	-_root
k141_7406	2044939	species	Clostridia bacterium	2	2	1	0.500	unknown;Firmicutes;unknown	-_cellular organisms;d_Bacteria;-_Terrabacteria group;p_Firmicutes;c_Clostridia;-_unclassified Clostridia;s_Clostridia bacterium
k141_7553	2720830	species	Candidatus Cryptoclostridium obscurum	1	1	1	1.000	unknown;Firmicutes;unknown	-_cellular organisms;d_Bacteria;-_Terrabacteria group;p_Firmicutes;c_Clostridia;-_Clostridia incertae sedis;g_Candidatus Cryptoclostridium;s_Candidatus Cryptoclostridium obscurum
k141_72896	186802	order	Eubacteriales	2	2	2	1.000	unknown;Firmicutes;uc_Eubacteriales	-_cellular organisms;d_Bacteria;-_Terrabacteria group;p_Firmicutes;c_Clostridia;o_Eubacteriales
k141_454006	2720830	species	Candidatus Cryptoclostridium obscurum	2	2	1	0.500	unknown;Firmicutes;unknown	-_cellular organisms;d_Bacteria;-_Terrabacteria group;p_Firmicutes;c_Clostridia;-_Clostridia incertae sedis;g_Candidatus Cryptoclostridium;s_Candidatus Cryptoclostridium obscurum
k141_329134	1	no rank	root	3	3	3	1.000	unknown;unknown;unknown	-_root
k141_454389	2720830	species	Candidatus Cryptoclostridium obscurum	7	7	3	0.600	unknown;Firmicutes;unknown	-_cellular organisms;d_Bacteria;-_Terrabacteria group;p_Firmicutes;c_Clostridia;-_Clostridia incertae sedis;g_Candidatus Cryptoclostridium;s_Candidatus Cryptoclostridium obscurum
k141_329448	1	no rank	root	3	2	2	1.000	unknown;unknown;unknown	-_root
k141_329706	1	no rank	root	2	2	2	1.000	unknown;unknown;unknown	-_root
k141_8488	2720830	species	Candidatus Cryptoclostridium obscurum	2	2	1	0.500	unknown;Firmicutes;unknown	-_cellular organisms;d_Bacteria;-_Terrabacteria group;p_Firmicutes;c_Clostridia;-_Clostridia incertae sedis;g_Candidatus Cryptoclostridium;s_Candidatus Cryptoclostridium obscurum
k141_267711	186801	class	Clostridia	1	1	1	1.000	unknown;Firmicutes;uc_Clostridia	-_cellular organisms;d_Bacteria;-_Terrabacteria group;p_Firmicutes;c_Clostridia
k141_139685	2720830	species	Candidatus Cryptoclostridium obscurum	3	3	2	0.670	unknown;Firmicutes;unknown	-_cellular organisms;d_Bacteria;-_Terrabacteria group;p_Firmicutes;c_Clostridia;-_Clostridia incertae sedis;g_Candidatus Cryptoclostridium;s_Candidatus Cryptoclostridium obscurum
k141_10697	2720830	species	Candidatus Cryptoclostridium obscurum	3	3	3	1.000	unknown;Firmicutes;unknown	-_cellular organisms;d_Bacteria;-_Terrabacteria group;p_Firmicutes;c_Clostridia;-_Clostridia incertae sedis;g_Candidatus Cryptoclostridium;s_Candidatus Cryptoclostridium obscurum
k141_268410	2720830	species	Candidatus Cryptoclostridium obscurum	2	2	1	0.500	unknown;Firmicutes;unknown	-_cellular organisms;d_Bacteria;-_Terrabacteria group;p_Firmicutes;c_Clostridia;-_Clostridia incertae sedis;g_Candidatus Cryptoclostridium;s_Candidatus Cryptoclostridium obscurum
k141_140334	1239	phylum	Firmicutes	2	2	2	1.000	unknown;Firmicutes;uc_Firmicutes	-_cellular organisms;d_Bacteria;-_Terrabacteria group;p_Firmicutes
k141_269012	2	superkingdom	Bacteria	1	1	1	1.000	uc_Bacteria;uc_Bacteria;uc_Bacteria	-_cellular organisms;d_Bacteria
k141_333349	2720830	species	Candidatus Cryptoclostridium obscurum	2	2	2	1.000	unknown;Firmicutes;unknown	-_cellular organisms;d_Bacteria;-_Terrabacteria group;p_Firmicutes;c_Clostridia;-_Clostridia incertae sedis;g_Candidatus Cryptoclostridium;s_Candidatus Cryptoclostridium obscurum
k141_334880	2720830	species	Candidatus Cryptoclostridium obscurum	1	1	1	1.000	unknown;Firmicutes;unknown	-_cellular organisms;d_Bacteria;-_Terrabacteria group;p_Firmicutes;c_Clostridia;-_Clostridia incertae sedis;g_Candidatus Cryptoclostridium;s_Candidatus Cryptoclostridium obscurum
k141_335173	1	no rank	root	2	2	2	1.000	unknown;unknown;unknown	-_root
k141_13583	1	no rank	root	2	2	2	1.000	unknown;unknown;unknown	-_root
k141_471445	2	superkingdom	Bacteria	4	3	2	0.670	uc_Bacteria;uc_Bacteria;uc_Bacteria	-_cellular organisms;d_Bacteria
k141_23287	2720830	species	Candidatus Cryptoclostridium obscurum	2	2	2	1.000	unknown;Firmicutes;unknown	-_cellular organisms;d_Bacteria;-_Terrabacteria group;p_Firmicutes;c_Clostridia;-_Clostridia incertae sedis;g_Candidatus Cryptoclostridium;s_Candidatus Cryptoclostridium obscurum
k141_90476	1	no rank	root	3	3	3	1.000	unknown;unknown;unknown	-_root
k141_283731	2720830	species	Candidatus Cryptoclostridium obscurum	3	3	2	0.670	unknown;Firmicutes;unknown	-_cellular organisms;d_Bacteria;-_Terrabacteria group;p_Firmicutes;c_Clostridia;-_Clostridia incertae sedis;g_Candidatus Cryptoclostridium;s_Candidatus Cryptoclostridium obscurum
k141_218673	1239	phylum	Firmicutes	3	3	2	0.520	unknown;Firmicutes;uc_Firmicutes	-_cellular organisms;d_Bacteria;-_Terrabacteria group;p_Firmicutes
k141_23620	186801	class	Clostridia	3	3	2	0.990	unknown;Firmicutes;uc_Clostridia	-_cellular organisms;d_Bacteria;-_Terrabacteria group;p_Firmicutes;c_Clostridia
k141_471955	1	no rank	root	3	3	3	1.000	unknown;unknown;unknown	-_root
k141_283963	1	no rank	root	6	6	6	1.000	unknown;unknown;unknown	-_root
k141_284657	1470354	species	Candidatus Soleaferrea massiliensis	1	1	1	1.000	unknown;Firmicutes;unknown	-_cellular organisms;d_Bacteria;-_Terrabacteria group;p_Firmicutes;c_Clostridia;o_Eubacteriales;-_Eubacteriales incertae sedis;g_Candidatus Soleaferrea;s_Candidatus Soleaferrea massiliensis
k141_284770	1	no rank	root	2	2	2	1.000	unknown;unknown;unknown	-_root
k141_403519	1	no rank	root	5	5	5	1.000	unknown;unknown;unknown	-_root
k141_19916	2720830	species	Candidatus Cryptoclostridium obscurum	3	3	3	1.000	unknown;Firmicutes;unknown	-_cellular organisms;d_Bacteria;-_Terrabacteria group;p_Firmicutes;c_Clostridia;-_Clostridia incertae sedis;g_Candidatus Cryptoclostridium;s_Candidatus Cryptoclostridium obscurum
k141_344173	1239	phylum	Firmicutes	5	5	3	0.510	unknown;Firmicutes;uc_Firmicutes	-_cellular organisms;d_Bacteria;-_Terrabacteria group;p_Firmicutes
k141_279240	1	no rank	root	2	2	2	1.000	unknown;unknown;unknown	-_root
k141_344466	2720830	species	Candidatus Cryptoclostridium obscurum	4	4	2	0.660	unknown;Firmicutes;unknown	-_cellular organisms;d_Bacteria;-_Terrabacteria group;p_Firmicutes;c_Clostridia;-_Clostridia incertae sedis;g_Candidatus Cryptoclostridium;s_Candidatus Cryptoclostridium obscurum
k141_344802	2720830	species	Candidatus Cryptoclostridium obscurum	2	1	1	1.000	unknown;Firmicutes;unknown	-_cellular organisms;d_Bacteria;-_Terrabacteria group;p_Firmicutes;c_Clostridia;-_Clostridia incertae sedis;g_Candidatus Cryptoclostridium;s_Candidatus Cryptoclostridium obscurum
k141_150543	1	no rank	root	3	3	3	1.000	unknown;unknown;unknown	-_root
k141_87431	2720830	species	Candidatus Cryptoclostridium obscurum	2	2	1	0.950	unknown;Firmicutes;unknown	-_cellular organisms;d_Bacteria;-_Terrabacteria group;p_Firmicutes;c_Clostridia;-_Clostridia incertae sedis;g_Candidatus Cryptoclostridium;s_Candidatus Cryptoclostridium obscurum
k141_345119	2720830	species	Candidatus Cryptoclostridium obscurum	4	4	3	0.750	unknown;Firmicutes;unknown	-_cellular organisms;d_Bacteria;-_Terrabacteria group;p_Firmicutes;c_Clostridia;-_Clostridia incertae sedis;g_Candidatus Cryptoclostridium;s_Candidatus Cryptoclostridium obscurum
k141_214851	2	superkingdom	Bacteria	2	2	1	0.500	uc_Bacteria;uc_Bacteria;uc_Bacteria	-_cellular organisms;d_Bacteria
k141_276916	2	superkingdom	Bacteria	2	2	1	0.500	uc_Bacteria;uc_Bacteria;uc_Bacteria	-_cellular organisms;d_Bacteria
k141_276933	1239	phylum	Firmicutes	5	5	3	0.970	unknown;Firmicutes;uc_Firmicutes	-_cellular organisms;d_Bacteria;-_Terrabacteria group;p_Firmicutes
k141_402094	2720830	species	Candidatus Cryptoclostridium obscurum	1	1	1	1.000	unknown;Firmicutes;unknown	-_cellular organisms;d_Bacteria;-_Terrabacteria group;p_Firmicutes;c_Clostridia;-_Clostridia incertae sedis;g_Candidatus Cryptoclostridium;s_Candidatus Cryptoclostridium obscurum
k141_148709	2720830	species	Candidatus Cryptoclostridium obscurum	3	3	2	0.670	unknown;Firmicutes;unknown	-_cellular organisms;d_Bacteria;-_Terrabacteria group;p_Firmicutes;c_Clostridia;-_Clostridia incertae sedis;g_Candidatus Cryptoclostridium;s_Candidatus Cryptoclostridium obscurum
k141_466079	2720830	species	Candidatus Cryptoclostridium obscurum	4	4	4	1.000	unknown;Firmicutes;unknown	-_cellular organisms;d_Bacteria;-_Terrabacteria group;p_Firmicutes;c_Clostridia;-_Clostridia incertae sedis;g_Candidatus Cryptoclostridium;s_Candidatus Cryptoclostridium obscurum
k141_466254	1	no rank	root	2	2	2	1.000	unknown;unknown;unknown	-_root
k141_18907	131567	no rank	cellular organisms	3	3	3	1.000	unknown;unknown;unknown	-_cellular organisms
k141_213145	1783272	clade	Terrabacteria group	3	3	2	0.520	unknown;unknown;unknown	-_cellular organisms;d_Bacteria;-_Terrabacteria group
