user_genome	classification	fastani_reference	fastani_reference_radius	fastani_taxonomy	fastani_ani	fastani_af	closest_placement_reference	closest_placement_radius	closest_placement_taxonomy	closest_placement_ani	closest_placement_af	pplacer_taxonomy	classification_method	note	other_related_references(genome_id,species_name,radius,ANI,AF)	msa_percent	translation_table	red_value	warnings
STP672.12605_R.bin.1.fa	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__;s__	taxonomic novelty determined using RED	classification based on placement in class-level tree	N/A	82.31	11	0.8760265104038581	Genome has more than 10.0% of markers with multiple hits
STP672.12605_R.bin.10.fa	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides_G;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides_G;s__	taxonomic novelty determined using RED	classification based on placement in class-level tree	N/A	27.28	11	0.9208743639458272	N/A
STP672.12605_R.bin.100.fa	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__;s__	taxonomic novelty determined using RED	classification based on placement in class-level tree	N/A	92.85	11	0.8527651394385677	N/A
STP672.12605_R.bin.101.fa	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Clostridium_Q;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Clostridium_Q;s__	ANI	classification based on placement in class-level tree	GCA_900547735.1, s__Clostridium_Q sp900547735, 95.0, 78.22, 0.3; GCF_900626075.1, s__Clostridium_Q transplantifaecale, 95.0, 78.22, 0.3; GCF_000466485.1, s__Clostridium_Q symbiosum, 95.0, 78.16, 0.25; GCA_018377235.1, s__Clostridium_Q sp018377235, 95.0, 77.92, 0.14; GCA_018223375.1, s__Clostridium_Q sp000435655, 95.0, 77.89, 0.19; GCA_009911305.1, s__Clostridium_Q sp009911305, 95.0, 77.71, 0.19; GCA_002160535.1, s__Clostridium_Q saccharolyticum_A, 95.0, 77.67, 0.18; GCF_003024715.1, s__Clostridium_Q fessum, 95.0, 77.63, 0.15; GCA_910575795.1, s__Clostridium_Q sp910575795, 95.0, 77.59, 0.2; GCA_016302185.1, s__Clostridium_Q sp016302185, 95.0, 77.25, 0.22	74.9	11	0.9354144065217391	N/A
STP672.12605_R.bin.102.fa	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__;s__	taxonomic novelty determined using RED	classification based on placement in class-level tree	N/A	90.45	11	0.9194063941393115	N/A
STP672.12605_R.bin.103.fa	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia;s__	N/A	N/A	N/A	N/A	N/A	GCF_014287615.1	95.0	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia;s__Blautia sp001304935	88.17	0.54	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCF_001689125.2, s__Blautia pseudococcoides, 95.0, 84.46, 0.47; GCF_900461125.1, s__Blautia coccoides, 95.0, 84.34, 0.5; GCA_002270465.1, s__Blautia hominis, 95.0, 84.18, 0.48; GCA_003481745.1, s__Blautia stercoris, 95.0, 77.64, 0.12; GCF_003287895.1, s__Blautia argi, 95.0, 77.52, 0.16; GCA_902363515.1, s__Blautia sp000432195, 95.0, 77.49, 0.14; GCA_019119975.1, s__Blautia merdavium, 95.0, 77.48, 0.17; GCF_013304445.1, s__Blautia sp900541955, 95.0, 77.44, 0.17; GCA_900765525.1, s__Blautia pullicola, 95.0, 77.24, 0.17; GCA_900556555.1, s__Blautia sp900556555, 95.0, 77.2, 0.14; GCF_900120295.1, s__Blautia sp900120295, 95.0, 77.18, 0.12; GCA_019114545.1, s__Blautia pullistercoris, 95.0, 77.15, 0.16; GCF_002161285.1, s__Blautia ornithocaccae, 95.0, 77.13, 0.13; GCA_900539145.1, s__Blautia sp900539145, 95.0, 77.11, 0.14; GCA_019114495.1, s__Blautia stercoravium, 95.0, 77.1, 0.18; GCA_900547685.1, s__Blautia sp900547685, 95.0, 77.01, 0.13; GCA_019112785.1, s__Blautia stercorigallinarum, 95.0, 76.93, 0.14; GCA_905200905.1, s__Blautia sp900753905, 95.0, 76.91, 0.12; GCF_002222595.2, s__Blautia hansenii, 95.0, 76.91, 0.12; GCA_900543715.1, s__Blautia merdigallinarum, 95.0, 76.83, 0.14; GCA_019120515.1, s__Blautia avicola, 95.0, 76.81, 0.16; GCA_019118685.1, s__Blautia merdipullorum, 95.0, 76.68, 0.13; GCA_905201915.1, s__Blautia sp900555025, 95.0, 76.59, 0.11; GCA_019120545.1, s__Blautia stercoripullorum, 95.0, 76.29, 0.12	61.04	11	0.9853798591689751	Genome not assigned to closest species as it falls outside its pre-defined ANI radius;Genome has more than 15.8% of markers with multiple hits
STP672.12605_R.bin.104.fa	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Intestinimonas;s__	N/A	N/A	N/A	N/A	N/A	GCF_004154955.1	95.0	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Intestinimonas;s__Intestinimonas butyriciproducens	80.92	0.48	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Intestinimonas;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCA_019115345.1, s__Intestinimonas stercorigallinarum, 95.0, 82.94, 0.61; GCA_900540545.1, s__Intestinimonas sp900540545, 95.0, 82.92, 0.56; GCA_019119795.1, s__Intestinimonas pullistercoris, 95.0, 82.83, 0.58; GCF_900626145.1, s__Intestinimonas timonensis, 95.0, 82.75, 0.53; GCA_019117605.1, s__Intestinimonas stercoravium, 95.0, 81.89, 0.55; GCA_019115785.1, s__Intestinimonas merdavium, 95.0, 81.5, 0.5; GCF_001244995.1, s__Intestinimonas massiliensis, 95.0, 81.26, 0.48	78.59	11	0.9570678830264004	Genome has more than 10.0% of markers with multiple hits;Genome not assigned to closest species as it falls outside its pre-defined ANI radius
STP672.12605_R.bin.105.fa	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Peptostreptococcales;f__Peptostreptococcaceae;g__CCUG-7971;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Peptostreptococcales;f__Peptostreptococcaceae;g__CCUG-7971;s__	taxonomic novelty determined using RED	classification based on placement in class-level tree	N/A	26.63	11	0.9595393287517525	N/A
STP672.12605_R.bin.11.fa	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__;s__	taxonomic novelty determined using RED	classification based on placement in class-level tree	N/A	87.95	11	0.8741073753713321	N/A
STP672.12605_R.bin.12.fa	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__UBA1381;f__UBA1381;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__UBA1381;f__UBA1381;g__;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	95.55	11	0.8642524730521782	N/A
