Genome	Completeness	Contamination	Strain heterogeneity	GUNC pass	Genome size (bp)	# ambiguous bases	# scaffolds	# contigs	N50 (scaffolds)	N50 (contigs)	Mean scaffold length (bp)	Mean contig length (bp)	Longest scaffold (bp)	Longest contig (bp)	GC	GC std (scaffolds > 1kbp)	Coding density	# predicted genes	5S rRNA	23S rRNA	16S rRNA	# tRNA	# tRNA types
STP748.12607_R.bin.11	95.78	0.68	0.0	True	2338030	0	63	63	59218	59218	37111	37111	168947	168947	46.3	1.92	92.39	1999	Yes	No	No	41	21
STP748.12607_R.bin.13	50.88	1.75	0.0	True	936469	0	420	420	2164	2164	2229	2229	7705	7705	59.6	3.02	93.56	1070	No	No	No	3	2
STP748.12607_R.bin.15	96.17	0.16	0.0	True	1902348	0	91	91	29226	29226	20904	20904	65799	65799	50.4	2.01	92.81	1707	Yes	Yes	Yes	39	22
STP748.12607_R.bin.16	93.91	0.0	0.0	True	2866896	0	62	62	71113	71113	46240	46240	178026	178026	57.5	1.81	89.97	2499	No	No	No	40	21
STP748.12607_R.bin.20	80.43	1.82	28.57	True	2090013	0	582	582	3965	3965	3591	3591	22722	22722	54.5	2.58	90.48	2404	Yes	No	No	21	15
STP748.12607_R.bin.21	96.8	2.38	0.0	True	2939375	0	59	59	84318	84318	49819	49819	195175	195175	50.2	2.35	91.99	2409	Yes	No	No	44	20
STP748.12607_R.bin.29	87.92	2.54	0.0	True	2685832	0	441	441	7727	7727	6090	6090	38123	38123	40.6	2.14	92.88	2520	Yes	No	No	33	15
STP748.12607_R.bin.3	58.07	2.89	41.18	True	2957777	0	595	595	6190	6190	4971	4971	24191	24191	50.7	3.41	90.79	2630	Yes	Yes	No	23	14
STP748.12607_R.bin.30	97.96	0.68	0.0	True	2547406	0	68	68	56940	56940	37461	37461	175611	175611	49.7	1.72	91.28	2185	Yes	No	No	47	21
STP748.12607_R.bin.33	52.35	0.7	0.0	True	2242904	0	731	731	3229	3229	3068	3068	14370	14370	43.4	3.29	89.51	2564	Yes	No	No	17	11
STP748.12607_R.bin.4	77.59	0.0	0.0	True	1762849	0	300	300	7630	7630	5876	5876	25065	25065	44.0	2.2	91.39	1741	Yes	No	Yes	26	15
STP748.12607_R.bin.8	53.11	0.0	0.0	True	818332	0	307	307	2646	2646	2665	2665	9796	9796	48.0	1.95	91.4	969	No	No	No	17	13
STP748.12607_R.bin.9	61.51	7.69	50.0	True	2214810	0	844	844	2635	2635	2624	2624	14210	14210	66.5	2.87	91.36	2743	No	No	No	21	14
