user_genome	classification	fastani_reference	fastani_reference_radius	fastani_taxonomy	fastani_ani	fastani_af	closest_placement_reference	closest_placement_radius	closest_placement_taxonomy	closest_placement_ani	closest_placement_af	pplacer_taxonomy	classification_method	note	other_related_references(genome_id,species_name,radius,ANI,AF)	msa_percent	translation_table	red_value	warnings
STP51B.12603_R.bin.1.fa	Unclassified	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	No bacterial or archaeal marker
STP51B.12603_R.bin.10.fa	Unclassified	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	No bacterial or archaeal marker
STP51B.12603_R.bin.100.fa	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Fimivivens;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Fimivivens;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCA_014385025.1, s__Fimivivens sp014385025, 95.0, 78.91, 0.46; GCA_900113995.1, s__Fimivivens sp900113995, 95.0, 78.42, 0.62; GCA_018716105.1, s__Fimivivens faecavium, 95.0, 75.68, 0.15; GCA_017399785.1, s__Fimivivens sp017399785, 95.0, 74.46, 0.0	12.85	11	0.9500357053495115	Genome not assigned to closest species as it falls outside its pre-defined ANI radius
STP51B.12603_R.bin.101.fa	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Christensenellales;f__UBA3700;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Christensenellales;f__UBA3700;g__;s__	taxonomic novelty determined using RED	classification based on placement in class-level tree	N/A	85.82	11	0.8588204918433127	N/A
STP51B.12603_R.bin.102.fa	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Marinifilaceae;g__Butyricimonas;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Marinifilaceae;g__Butyricimonas;s__	taxonomic novelty determined using RED	classification based on placement in class-level tree	N/A	47.4	11	0.9519131668163752	N/A
STP51B.12603_R.bin.103.fa	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__;s__	taxonomic novelty determined using RED	classification based on placement in class-level tree	N/A	37.17	11	0.919573130157866	Genome has more than 46.7% of markers with multiple hits
STP51B.12603_R.bin.104.fa	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Mucinivorans;s__	N/A	N/A	N/A	N/A	N/A	GCA_002315675.1	95.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Mucinivorans;s__Mucinivorans sp002315675	74.46	0.01	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Mucinivorans;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCA_000723505.1, s__Mucinivorans hirudinis, 95.0, 74.88, 0.02	82.57	11	0.8978683789684904	N/A
STP51B.12603_R.bin.105.fa	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Citrobacter;s__Citrobacter braakii	GCF_002075345.1	95.0	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Citrobacter;s__Citrobacter braakii	97.28	0.64	GCF_018035235.1	95.0	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Citrobacter;s__Citrobacter freundii_A	92.03	0.6	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Citrobacter;s__	ANI	topological placement and ANI have incongruent species assignments	GCF_900079995.3, s__Citrobacter europaeus, 95.0, 92.82, 0.59; GCF_004353845.1, s__Citrobacter freundii_E, 95.0, 91.98, 0.63; GCF_002042885.1, s__Citrobacter portucalensis, 95.0, 91.44, 0.64; GCF_011064845.1, s__Citrobacter freundii, 95.0, 91.3, 0.65; GCA_000759755.1, s__Citrobacter werkmanii, 95.0, 91.08, 0.61; GCF_000155975.1, s__Citrobacter portucalensis_A, 95.0, 90.26, 0.6; GCF_003818115.1, s__Citrobacter youngae, 95.0, 89.48, 0.58; GCF_005281345.1, s__Citrobacter sp005281345, 95.0, 88.64, 0.58; GCF_018342065.1, s__Citrobacter sp018342065, 95.0, 88.48, 0.58; GCF_004684345.1, s__Citrobacter tructae, 95.0, 87.77, 0.61; GCF_015672735.1, s__Citrobacter sp015672735, 95.0, 87.74, 0.56; GCF_001037495.1, s__Citrobacter murliniae, 95.0, 87.31, 0.56; GCF_013337685.1, s__Citrobacter gillenii, 95.0, 87.3, 0.6; GCF_010231475.1, s__Citrobacter sp010231475, 95.0, 83.86, 0.51; GCF_016811995.1, s__Citrobacter sp016811995, 95.0, 83.74, 0.48	10.8	11	N/A	N/A
STP51B.12603_R.bin.106.fa	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Mucinivorans;s__	N/A	N/A	N/A	N/A	N/A	GCA_000723505.1	95.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Mucinivorans;s__Mucinivorans hirudinis	76.25	0.03	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Mucinivorans;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCA_002315675.1, s__Mucinivorans sp002315675, 95.0, 76.14, 0.01	73.61	11	0.8978637205956936	N/A
STP51B.12603_R.bin.107.fa	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__JADFUS01;s__	N/A	N/A	N/A	N/A	N/A	GCA_015222165.1	95.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__JADFUS01;s__JADFUS01 sp015222165	74.54	0.01	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__JADFUS01;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	N/A	57.51	11	0.9239290639203473	N/A
