Genome	Completeness	Contamination	Strain heterogeneity	GUNC pass	Genome size (bp)	# ambiguous bases	# scaffolds	# contigs	N50 (scaffolds)	N50 (contigs)	Mean scaffold length (bp)	Mean contig length (bp)	Longest scaffold (bp)	Longest contig (bp)	GC	GC std (scaffolds > 1kbp)	Coding density	# predicted genes	5S rRNA	23S rRNA	16S rRNA	# tRNA	# tRNA types
STP51B.12603_R.bin.102	60.32	0.54	100.0	True	2269102	0	503	503	5341	5341	4511	4511	21260	21260	48.3	2.48	88.59	2007	No	No	No	17	12
STP51B.12603_R.bin.104	86.11	0.72	0.0	True	1665304	0	254	254	8052	8052	6556	6556	25324	25324	47.8	2.08	90.02	1514	No	No	No	22	13
STP51B.12603_R.bin.106	67.54	0.0	0.0	True	1304724	0	25	25	89511	89511	52188	52188	209017	209017	48.5	1.6	92.51	1168	No	No	No	23	15
STP51B.12603_R.bin.107	68.57	0.0	0.0	True	1582985	0	305	305	6457	6457	5190	5190	23258	23258	47.6	2.26	92.27	1544	No	No	No	18	13
STP51B.12603_R.bin.109	90.43	3.0	75.0	True	3016417	0	514	514	7407	7407	5868	5868	34245	34245	56.6	2.66	91.07	3109	No	No	No	44	20
STP51B.12603_R.bin.11	64.49	1.44	33.33	True	1608628	0	226	226	10361	10361	7117	7117	39375	39375	56.8	1.88	93.15	1406	No	No	No	8	7
STP51B.12603_R.bin.111	60.94	0.93	0.0	True	1092813	0	80	80	24256	24256	13660	13660	62619	62619	30.0	0.99	87.75	1122	Yes	No	No	23	19
STP51B.12603_R.bin.112	97.12	0.48	0.0	True	2136594	0	86	86	60699	60699	24844	24844	174633	174633	43.1	1.09	87.61	1903	Yes	No	No	34	19
STP51B.12603_R.bin.115	82.64	0.19	0.0	True	2711485	0	40	40	129117	129117	67787	67787	377149	377149	46.0	1.73	89.07	2273	Yes	No	Yes	42	21
STP51B.12603_R.bin.117	93.14	0.48	100.0	True	2069030	0	195	195	14195	14195	10610	10610	80163	80163	44.8	2.03	83.91	1845	No	No	Yes	39	19
STP51B.12603_R.bin.120	87.26	1.63	14.29	True	1808396	0	59	59	54489	54489	30650	30650	190846	190846	53.0	1.96	88.29	1670	Yes	No	No	31	19
STP51B.12603_R.bin.134	88.85	2.4	14.29	True	2366252	0	294	294	10525	10525	8048	8048	30458	30458	58.2	1.82	89.73	1990	Yes	No	No	15	15
