Genome	Completeness	Contamination	Strain heterogeneity	GUNC pass	Genome size (bp)	# ambiguous bases	# scaffolds	# contigs	N50 (scaffolds)	N50 (contigs)	Mean scaffold length (bp)	Mean contig length (bp)	Longest scaffold (bp)	Longest contig (bp)	GC	GC std (scaffolds > 1kbp)	Coding density	# predicted genes	5S rRNA	23S rRNA	16S rRNA	# tRNA	# tRNA types
STP51B.12603_R.bin.1	0.16	0.0	0.0	True	232091	0	2	2	221768	221768	116045	116045	221768	221768	45.8	0.24	91.39	230	No	No	No	1	1
STP51B.12603_R.bin.10	0.0	0.0	0.0	False	305885	0	34	34	25617	25617	8996	8996	99715	99715	35.6	1.09	90.26	377	No	No	No	1	1
STP51B.12603_R.bin.100	18.97	1.72	0.0	False	229892	0	103	103	2153	2153	2231	2231	5065	5065	60.2	1.92	94.41	265	No	No	No	2	2
STP51B.12603_R.bin.101	96.55	13.79	86.36	True	2394912	0	32	32	152868	152868	74841	74841	325702	325702	41.8	1.07	86.48	2107	No	Yes	No	45	22
STP51B.12603_R.bin.102	60.32	0.54	100.0	True	2269102	0	503	503	5341	5341	4511	4511	21260	21260	48.3	2.48	88.59	2007	No	No	No	17	12
STP51B.12603_R.bin.103	91.52	57.62	39.84	True	6967592	0	478	478	22215	22215	14576	14576	96758	96758	45.3	2.28	91.3	5613	Yes	No	No	84	20
STP51B.12603_R.bin.104	86.11	0.72	0.0	True	1665304	0	254	254	8052	8052	6556	6556	25324	25324	47.8	2.08	90.02	1514	No	No	No	22	13
STP51B.12603_R.bin.105	17.24	0.0	0.0	True	294088	0	2	2	159380	159380	147044	147044	159380	159380	51.3	0.33	86.87	279	Yes	No	No	8	5
STP51B.12603_R.bin.106	67.54	0.0	0.0	True	1304724	0	25	25	89511	89511	52188	52188	209017	209017	48.5	1.6	92.51	1168	No	No	No	23	15
STP51B.12603_R.bin.107	68.57	0.0	0.0	True	1582985	0	305	305	6457	6457	5190	5190	23258	23258	47.6	2.26	92.27	1544	No	No	No	18	13
STP51B.12603_R.bin.108	100.0	98.43	0.92	True	4480940	0	316	316	24333	24333	14180	14180	195072	195072	29.5	1.98	87.07	4539	Yes	Yes	Yes	77	22
STP51B.12603_R.bin.109	90.43	3.0	75.0	True	3016417	0	514	514	7407	7407	5868	5868	34245	34245	56.6	2.66	91.07	3109	No	No	No	44	20
STP51B.12603_R.bin.11	64.49	1.44	33.33	True	1608628	0	226	226	10361	10361	7117	7117	39375	39375	56.8	1.88	93.15	1406	No	No	No	8	7
STP51B.12603_R.bin.110	3.45	0.0	0.0	True	580563	0	36	36	33524	33524	16126	16126	88714	88714	45.1	2.0	91.52	486	No	No	No	5	4
STP51B.12603_R.bin.111	60.94	0.93	0.0	True	1092813	0	80	80	24256	24256	13660	13660	62619	62619	30.0	0.99	87.75	1122	Yes	No	No	23	19
STP51B.12603_R.bin.112	97.12	0.48	0.0	True	2136594	0	86	86	60699	60699	24844	24844	174633	174633	43.1	1.09	87.61	1903	Yes	No	No	34	19
STP51B.12603_R.bin.113	82.23	51.12	10.96	False	5155351	0	2269	2269	2221	2221	2272	2272	9091	9091	39.5	2.5	88.95	6316	No	No	No	24	13
STP51B.12603_R.bin.114	67.78	14.44	38.78	True	2779559	0	849	849	3523	3523	3273	3273	20451	20451	58.6	2.08	89.71	2981	No	No	No	14	8
STP51B.12603_R.bin.115	82.64	0.19	0.0	True	2711485	0	40	40	129117	129117	67787	67787	377149	377149	46.0	1.73	89.07	2273	Yes	No	Yes	42	21
STP51B.12603_R.bin.116	0.31	0.0	0.0	True	216996	0	21	21	23213	23213	10333	10333	34011	34011	36.9	1.52	91.78	242	No	No	No	0	0
STP51B.12603_R.bin.117	93.14	0.48	100.0	True	2069030	0	195	195	14195	14195	10610	10610	80163	80163	44.8	2.03	83.91	1845	No	No	Yes	39	19
STP51B.12603_R.bin.118	39.66	1.72	0.0	False	1796528	0	432	432	4683	4683	4158	4158	19732	19732	47.2	1.79	91.31	1672	Yes	No	No	9	6
STP51B.12603_R.bin.119	0.0	0.0	0.0	False	637694	0	88	88	10950	10950	7246	7246	29881	29881	36.8	1.96	87.63	644	No	No	No	3	3
STP51B.12603_R.bin.12	0.0	0.0	0.0	True	351022	0	57	57	8807	8807	6158	6158	32586	32586	38.9	1.31	82.65	413	No	No	No	5	3
STP51B.12603_R.bin.120	87.26	1.63	14.29	True	1808396	0	59	59	54489	54489	30650	30650	190846	190846	53.0	1.96	88.29	1670	Yes	No	No	31	19
STP51B.12603_R.bin.121	8.62	0.0	0.0	True	205991	0	22	22	11564	11564	9363	9363	43043	43043	49.0	1.1	90.58	199	No	No	No	2	2
STP51B.12603_R.bin.122	0.0	0.0	0.0	True	334080	0	150	150	2195	2195	2227	2227	6602	6602	35.9	1.78	82.83	516	No	No	No	3	2
STP51B.12603_R.bin.123	88.05	1.57	0.0	False	2720704	0	89	89	76453	76453	30569	30569	182339	182339	35.9	1.99	86.24	2616	Yes	No	No	50	21
STP51B.12603_R.bin.124	64.62	1.18	14.29	False	1989572	0	634	634	3392	3392	3138	3138	13652	13652	58.8	1.93	89.93	2215	Yes	No	No	16	13
STP51B.12603_R.bin.125	29.46	0.07	100.0	True	1266033	0	11	11	131501	131501	115093	115093	273111	273111	52.3	0.82	89.12	1156	Yes	No	No	15	9
STP51B.12603_R.bin.126	12.5	4.17	100.0	True	1526513	0	9	9	206376	206376	169612	169612	392358	392358	51.6	0.68	88.43	1458	No	No	No	23	12
STP51B.12603_R.bin.127	9.48	0.0	0.0	True	345422	0	7	7	72276	72276	49346	49346	90775	90775	46.7	1.79	90.41	309	Yes	No	No	8	7
STP51B.12603_R.bin.128	27.59	1.72	0.0	True	650697	0	19	19	47300	47300	34247	34247	159485	159485	45.1	1.09	92.49	672	No	No	No	18	14
STP51B.12603_R.bin.129	82.48	81.9	22.67	False	4732304	0	1017	1017	5543	5543	4653	4653	51513	51513	55.3	2.2	89.25	4336	No	No	No	47	18
STP51B.12603_R.bin.13	0.16	0.0	0.0	True	228304	0	4	4	220945	220945	57076	57076	220945	220945	30.9	1.57	91.04	222	No	No	No	1	1
