Genome	Cluster	Representative
STP248.12601_R.bin.62	10	True
STP248.12601_R.bin.92	21	True
STP248.12601_R.bin.71	32	True
STP248.12601_R.bin.104	43	True
STP248.12601_R.bin.140	54	True
STP248.12601_R.bin.139	65	True
STP248.12601_R.bin.7	67	True
STP248.12601_R.bin.64	68	True
STP248.12601_R.bin.137	69	True
STP248.12601_R.bin.44	0	True
STP248.12601_R.bin.134	1	True
STP248.12601_R.bin.103	2	True
STP248.12601_R.bin.78	3	True
STP248.12601_R.bin.31	4	True
STP248.12601_R.bin.107	5	True
STP248.12601_R.bin.94	6	True
STP248.12601_R.bin.143	7	True
STP248.12601_R.bin.37	8	True
STP248.12601_R.bin.55	9	True
STP248.12601_R.bin.74	11	True
STP248.12601_R.bin.119	12	True
STP248.12601_R.bin.21	13	True
STP248.12601_R.bin.77	14	True
STP248.12601_R.bin.10	15	True
STP248.12601_R.bin.73	16	True
STP248.12601_R.bin.32	17	True
STP248.12601_R.bin.38	18	True
STP248.12601_R.bin.3	19	True
STP248.12601_R.bin.84	20	True
STP248.12601_R.bin.89	22	True
STP248.12601_R.bin.135	23	True
STP248.12601_R.bin.72	24	True
STP248.12601_R.bin.85	25	True
STP248.12601_R.bin.128	26	True
STP248.12601_R.bin.141	27	True
STP248.12601_R.bin.53	28	True
STP248.12601_R.bin.29	29	True
STP248.12601_R.bin.96	30	True
STP248.12601_R.bin.112	31	True
STP248.12601_R.bin.39	33	True
STP248.12601_R.bin.67	34	True
STP248.12601_R.bin.79	35	True
STP248.12601_R.bin.108	36	True
STP248.12601_R.bin.117	37	True
STP248.12601_R.bin.36	38	True
STP248.12601_R.bin.51	39	True
STP248.12601_R.bin.83	40	True
STP248.12601_R.bin.87	41	True
STP248.12601_R.bin.113	42	True
STP248.12601_R.bin.126	44	True
STP248.12601_R.bin.109	45	True
STP248.12601_R.bin.132	46	True
STP248.12601_R.bin.13	47	True
STP248.12601_R.bin.61	48	True
STP248.12601_R.bin.22	49	True
STP248.12601_R.bin.75	50	True
STP248.12601_R.bin.100	51	True
STP248.12601_R.bin.115	52	True
STP248.12601_R.bin.118	53	True
STP248.12601_R.bin.12	55	True
STP248.12601_R.bin.120	56	True
STP248.12601_R.bin.123	57	True
STP248.12601_R.bin.125	58	True
STP248.12601_R.bin.142	59	True
STP248.12601_R.bin.19	60	True
STP248.12601_R.bin.27	61	True
STP248.12601_R.bin.49	62	True
STP248.12601_R.bin.56	63	True
STP248.12601_R.bin.59	64	True
STP248.12601_R.bin.9	66	True
