Bin Id	Marker lineage	# genomes	# markers	# marker sets	Completeness	Contamination	Strain heterogeneity	Genome size (bp)	# ambiguous bases	# scaffolds	# contigs	N50 (scaffolds)	N50 (contigs)	Mean scaffold length (bp)	Mean contig length (bp)	Longest scaffold (bp)	Longest contig (bp)	GC	GC std (scaffolds > 1kbp)	Coding density	Translation table	# predicted genes	0	1	2	3	4	5+

STP51B.12603_R.bin.1	k__Bacteria (UID203)	5449	103	57	0.16	0.00	0.00	232091	0	2	2	221768	221768	116045	116045	221768	221768	45.8	0.24	91.39	11	230	102	1	0	0	0	0
STP51B.12603_R.bin.10	root (UID1)	5656	56	24	0.00	0.00	0.00	305885	0	34	34	25617	25617	8996	8996	99715	99715	35.6	1.09	90.26	11	377	56	0	0	0	0	0
STP51B.12603_R.bin.100	k__Bacteria (UID203)	5449	104	58	18.97	1.72	0.00	229892	0	103	103	2153	2153	2231	2231	5065	5065	60.2	1.92	94.41	11	265	92	11	1	0	0	0
STP51B.12603_R.bin.101	k__Bacteria (UID203)	5449	104	58	96.55	13.79	86.36	2394912	0	32	32	152868	152868	74841	74841	325702	325702	41.8	1.07	86.48	11	2107	3	81	19	1	0	0
STP51B.12603_R.bin.102	k__Bacteria (UID2569)	434	278	186	60.32	0.54	100.00	2269102	0	503	503	5341	5341	4511	4511	21260	21260	48.3	2.48	88.59	11	2007	128	149	1	0	0	0
STP51B.12603_R.bin.103	o__Bacteroidales (UID2621)	198	427	260	91.52	57.62	39.84	6967592	0	478	478	22215	22215	14576	14576	96758	96758	45.3	2.28	91.30	11	5613	46	151	222	8	0	0
STP51B.12603_R.bin.104	p__Bacteroidetes (UID2605)	350	315	209	86.11	0.72	0.00	1665304	0	254	254	8052	8052	6556	6556	25324	25324	47.8	2.08	90.02	11	1514	41	272	2	0	0	0
STP51B.12603_R.bin.105	k__Bacteria (UID203)	5449	104	58	17.24	0.00	0.00	294088	0	2	2	159380	159380	147044	147044	159380	159380	51.3	0.33	86.87	11	279	90	14	0	0	0	0
STP51B.12603_R.bin.106	p__Bacteroidetes (UID2605)	350	315	209	67.54	0.00	0.00	1304724	0	25	25	89511	89511	52188	52188	209017	209017	48.5	1.60	92.51	11	1168	90	225	0	0	0	0
STP51B.12603_R.bin.107	k__Bacteria (UID203)	5449	104	58	68.57	0.00	0.00	1582985	0	305	305	6457	6457	5190	5190	23258	23258	47.6	2.26	92.27	11	1544	57	47	0	0	0	0
STP51B.12603_R.bin.108	k__Bacteria (UID203)	5449	104	58	100.00	98.43	0.92	4480940	0	316	316	24333	24333	14180	14180	195072	195072	29.5	1.98	87.07	11	4539	0	5	94	5	0	0
STP51B.12603_R.bin.109	c__Deltaproteobacteria (UID3218)	61	284	169	90.43	3.00	75.00	3016417	0	514	514	7407	7407	5868	5868	34245	34245	56.6	2.66	91.07	11	3109	20	256	8	0	0	0
STP51B.12603_R.bin.11	p__Bacteroidetes (UID2605)	350	314	208	64.49	1.44	33.33	1608628	0	226	226	10361	10361	7117	7117	39375	39375	56.8	1.88	93.15	11	1406	130	181	3	0	0	0
STP51B.12603_R.bin.110	k__Bacteria (UID203)	5449	104	58	3.45	0.00	0.00	580563	0	36	36	33524	33524	16126	16126	88714	88714	45.1	2.00	91.52	11	486	101	3	0	0	0	0
STP51B.12603_R.bin.111	o__Clostridiales (UID1120)	304	250	143	60.94	0.93	0.00	1092813	0	80	80	24256	24256	13660	13660	62619	62619	30.0	0.99	87.75	11	1122	80	168	2	0	0	0
STP51B.12603_R.bin.112	p__Bacteroidetes (UID2605)	350	314	208	97.12	0.48	0.00	2136594	0	86	86	60699	60699	24844	24844	174633	174633	43.1	1.09	87.61	11	1903	6	307	1	0	0	0
STP51B.12603_R.bin.113	k__Bacteria (UID203)	5449	103	57	82.23	51.12	10.96	5155351	0	2269	2269	2221	2221	2272	2272	9091	9091	39.5	2.50	88.95	11	6316	20	50	19	10	4	0
STP51B.12603_R.bin.114	o__Clostridiales (UID1212)	172	257	149	67.78	14.44	38.78	2779559	0	849	849	3523	3523	3273	3273	20451	20451	58.6	2.08	89.71	11	2981	90	134	25	8	0	0
STP51B.12603_R.bin.115	o__Bacteroidales (UID2617)	213	406	265	82.64	0.19	0.00	2711485	0	40	40	129117	129117	67787	67787	377149	377149	46.0	1.73	89.07	11	2273	67	338	1	0	0	0
