Genome	Completeness	Contamination	Strain heterogeneity	GUNC pass	Genome size (bp)	# ambiguous bases	# scaffolds	# contigs	N50 (scaffolds)	N50 (contigs)	Mean scaffold length (bp)	Mean contig length (bp)	Longest scaffold (bp)	Longest contig (bp)	GC	GC std (scaffolds > 1kbp)	Coding density	# predicted genes	5S rRNA	23S rRNA	16S rRNA	# tRNA	# tRNA types
STP748.12607_R.bin.1	48.07	12.4	0.0	True	3904632	0	1448	1448	2797	2797	2696	2696	11771	11771	42.0	2.6	78.55	5056	Yes	No	No	16	12
STP748.12607_R.bin.10	0.0	0.0	0.0	True	10806617	0	4590	4590	2311	2311	2354	2354	10070	10070	42.6	3.43	81.14	13239	Yes	Yes	Yes	23	13
STP748.12607_R.bin.11	95.78	0.68	0.0	True	2338030	0	63	63	59218	59218	37111	37111	168947	168947	46.3	1.92	92.39	1999	Yes	No	No	41	21
STP748.12607_R.bin.12	0.0	0.0	0.0	True	487255	0	159	159	3394	3394	3064	3064	7208	7208	47.9	1.97	85.11	527	No	No	No	0	0
STP748.12607_R.bin.13	50.88	1.75	0.0	True	936469	0	420	420	2164	2164	2229	2229	7705	7705	59.6	3.02	93.56	1070	No	No	No	3	2
STP748.12607_R.bin.14	44.12	0.0	0.0	True	2119066	0	699	699	3240	3240	3031	3031	10139	10139	51.0	2.89	91.58	2096	Yes	No	No	19	10
STP748.12607_R.bin.15	96.17	0.16	0.0	True	1902348	0	91	91	29226	29226	20904	20904	65799	65799	50.4	2.01	92.81	1707	Yes	Yes	Yes	39	22
STP748.12607_R.bin.16	93.91	0.0	0.0	True	2866896	0	62	62	71113	71113	46240	46240	178026	178026	57.5	1.81	89.97	2499	No	No	No	40	21
STP748.12607_R.bin.17	13.79	0.0	0.0	True	429048	0	165	165	2560	2560	2600	2600	6331	6331	48.5	2.33	91.9	491	No	No	No	6	6
STP748.12607_R.bin.18	8.93	0.0	0.0	True	665047	0	334	334	1921	1921	1991	1991	5931	5931	68.6	3.06	89.46	887	No	No	No	7	7
STP748.12607_R.bin.19	0.0	0.0	0.0	True	226692	0	98	98	2322	2322	2313	2313	5642	5642	51.0	2.18	83.54	236	No	No	No	0	0
STP748.12607_R.bin.2	97.41	236.32	23.05	False	16826631	0	6197	6197	2721	2721	2715	2715	24361	24361	44.5	3.84	90.23	18101	Yes	No	Yes	140	21
