k141_330557	2030808	species	Candidatus Cloacimonetes bacterium	1	1	1	1.000	unknown;Candidatus Cloacimonetes;unknown	-_cellular organisms;d_Bacteria;-_FCB group;p_Candidatus Cloacimonetes;-_unclassified Candidatus Cloacimonetes;s_Candidatus Cloacimonetes bacterium
k141_766732	1898203	species	Lachnospiraceae bacterium	2	1	1	1.000	unknown;Firmicutes;Lachnospiraceae	-_cellular organisms;d_Bacteria;-_Terrabacteria group;p_Firmicutes;c_Clostridia;o_Eubacteriales;f_Lachnospiraceae;-_unclassified Lachnospiraceae;s_Lachnospiraceae bacterium
k141_338597	1	no rank	root	1	1	1	1.000	unknown;unknown;unknown	-_root
k141_662231	1	no rank	root	2	1	1	1.000	unknown;unknown;unknown	-_root
k141_19788	1	no rank	root	2	2	2	1.000	unknown;unknown;unknown	-_root
k141_128009	186802	order	Eubacteriales	2	2	1	0.500	unknown;Firmicutes;uc_Eubacteriales	-_cellular organisms;d_Bacteria;-_Terrabacteria group;p_Firmicutes;c_Clostridia;o_Eubacteriales
k141_676088	1	no rank	root	3	2	2	1.000	unknown;unknown;unknown	-_root
k141_576105	131567	no rank	cellular organisms	2	2	2	1.000	unknown;unknown;unknown	-_cellular organisms
k141_149850	1	no rank	root	1	1	1	1.000	unknown;unknown;unknown	-_root
k141_475424	1	no rank	root	1	1	1	1.000	unknown;unknown;unknown	-_root
k141_480470	2	superkingdom	Bacteria	4	4	2	0.500	uc_Bacteria;uc_Bacteria;uc_Bacteria	-_cellular organisms;d_Bacteria
k141_370444	1	no rank	root	1	1	1	1.000	unknown;unknown;unknown	-_root
k141_699172	1239	phylum	Firmicutes	2	2	1	0.500	unknown;Firmicutes;uc_Firmicutes	-_cellular organisms;d_Bacteria;-_Terrabacteria group;p_Firmicutes
k141_62279	66852	species	Methanobrevibacter sp.	1	1	1	1.000	unknown;Euryarchaeota;Methanobacteriaceae	-_cellular organisms;d_Archaea;p_Euryarchaeota;-_Methanomada group;c_Methanobacteria;o_Methanobacteriales;f_Methanobacteriaceae;g_Methanobrevibacter;-_unclassified Methanobrevibacter;s_Methanobrevibacter sp.
k141_389813	1239	phylum	Firmicutes	7	6	4	0.670	unknown;Firmicutes;uc_Firmicutes	-_cellular organisms;d_Bacteria;-_Terrabacteria group;p_Firmicutes
k141_284731	1898203	species	Lachnospiraceae bacterium	1	1	1	1.000	unknown;Firmicutes;Lachnospiraceae	-_cellular organisms;d_Bacteria;-_Terrabacteria group;p_Firmicutes;c_Clostridia;o_Eubacteriales;f_Lachnospiraceae;-_unclassified Lachnospiraceae;s_Lachnospiraceae bacterium
k141_71480	186802	order	Eubacteriales	9	6	3	0.500	unknown;Firmicutes;uc_Eubacteriales	-_cellular organisms;d_Bacteria;-_Terrabacteria group;p_Firmicutes;c_Clostridia;o_Eubacteriales
k141_408054	2	superkingdom	Bacteria	5	4	4	1.000	uc_Bacteria;uc_Bacteria;uc_Bacteria	-_cellular organisms;d_Bacteria
k141_836282	0	no rank	unclassified	2	0	0	0.000		
k141_625007	0	no rank	unclassified	1	0	0	0.000		
k141_91752	1	no rank	root	3	2	2	1.000	unknown;unknown;unknown	-_root
k141_629976	186802	order	Eubacteriales	9	7	4	0.570	unknown;Firmicutes;uc_Eubacteriales	-_cellular organisms;d_Bacteria;-_Terrabacteria group;p_Firmicutes;c_Clostridia;o_Eubacteriales
k141_850464	1485	genus	Clostridium	1	1	1	1.000	unknown;Firmicutes;Clostridiaceae	-_cellular organisms;d_Bacteria;-_Terrabacteria group;p_Firmicutes;c_Clostridia;o_Eubacteriales;f_Clostridiaceae;g_Clostridium
