Bin Id	Marker lineage	# genomes	# markers	# marker sets	Completeness	Contamination	Strain heterogeneity	Genome size (bp)	# ambiguous bases	# scaffolds	# contigs	N50 (scaffolds)	N50 (contigs)	Mean scaffold length (bp)	Mean contig length (bp)	Longest scaffold (bp)	Longest contig (bp)	GC	GC std (scaffolds > 1kbp)	Coding density	Translation table	# predicted genes	0	1	2	3	4	5+

STP572.12604_R.bin.1	c__Clostridia (UID1085)	35	420	196	64.89	1.37	0.00	1320107	0	426	426	3467	3467	3098	3098	10966	10966	41.7	2.04	90.93	11	1508	130	285	5	0	0	0
STP572.12604_R.bin.10	k__Bacteria (UID1453)	901	171	117	86.04	1.28	0.00	1923773	0	205	205	14579	14579	9384	9384	48274	48274	36.7	1.57	91.74	11	1988	21	148	2	0	0	0
STP572.12604_R.bin.100	c__Clostridia (UID1118)	387	223	124	87.23	0.81	0.00	2105809	0	37	37	80670	80670	56913	56913	258111	258111	45.8	1.37	91.31	11	1696	19	203	1	0	0	0
STP572.12604_R.bin.101	o__Bacteroidales (UID2617)	213	406	265	89.70	0.31	0.00	2344283	0	43	43	105716	105716	54518	54518	279621	279621	41.6	1.41	91.56	11	1992	43	361	2	0	0	0
STP572.12604_R.bin.102	k__Bacteria (UID2565)	2921	152	93	97.85	0.00	0.00	1718962	0	25	25	127733	127733	68758	68758	257891	257891	37.3	0.68	90.46	11	1694	3	149	0	0	0	0
STP572.12604_R.bin.103	p__Bacteroidetes (UID2605)	350	316	210	99.05	1.19	50.00	2388272	0	151	151	23330	23330	15816	15816	83957	83957	45.4	2.13	88.08	11	2089	4	308	4	0	0	0
STP572.12604_R.bin.104	root (UID1)	5656	56	24	4.17	0.00	0.00	366559	0	139	139	2764	2764	2637	2637	9319	9319	54.9	2.35	92.90	11	396	55	1	0	0	0	0
STP572.12604_R.bin.105	k__Bacteria (UID2569)	434	278	186	29.66	0.00	0.00	913723	0	16	16	95931	95931	57107	57107	138708	138708	47.1	0.64	91.03	11	779	182	96	0	0	0	0
STP572.12604_R.bin.106	c__Clostridia (UID1118)	387	223	124	89.58	2.85	60.00	2726676	0	363	363	11503	11503	7511	7511	57486	57486	45.8	3.06	91.73	11	2399	18	200	5	0	0	0
STP572.12604_R.bin.107	k__Bacteria (UID203)	5449	104	58	18.89	0.16	100.00	961836	0	476	476	1987	1987	2020	2020	5699	5699	69.4	1.79	92.97	11	1257	85	18	1	0	0	0
STP572.12604_R.bin.108	p__Bacteroidetes (UID2605)	350	314	208	98.56	1.20	0.00	2232689	0	25	25	115303	115303	89307	89307	230319	230319	54.2	1.65	90.34	11	1877	3	307	4	0	0	0
STP572.12604_R.bin.109	o__Clostridiales (UID1212)	172	263	149	92.39	0.00	0.00	2345059	0	147	147	25064	25064	15952	15952	82473	82473	39.6	1.64	90.53	11	2346	13	250	0	0	0	0
STP572.12604_R.bin.11	root (UID1)	5656	56	24	0.46	0.46	0.00	288266	0	15	15	29685	29685	19217	19217	47763	47763	40.4	1.76	89.15	11	266	55	0	1	0	0	0
STP572.12604_R.bin.110	f__Lachnospiraceae (UID1255)	90	354	174	93.49	0.05	66.67	2213341	0	39	39	114665	114665	56752	56752	255856	255856	44.4	1.22	91.48	11	2059	27	324	3	0	0	0
STP572.12604_R.bin.111	k__Bacteria (UID203)	5449	104	58	3.45	0.00	0.00	252018	0	2	2	136596	136596	126009	126009	136596	136596	45.7	0.49	90.50	11	211	101	3	0	0	0	0
STP572.12604_R.bin.112	k__Bacteria (UID2372)	131	177	106	93.40	0.00	0.00	1520234	0	34	34	89861	89861	44712	44712	176877	176877	27.9	1.39	91.41	11	1563	20	157	0	0	0	0
STP572.12604_R.bin.12	k__Bacteria (UID203)	5449	104	58	85.52	68.97	75.00	6640941	0	378	378	32014	32014	17568	17568	111873	111873	46.1	2.73	88.43	11	5628	44	16	42	2	0	0
STP572.12604_R.bin.13	k__Bacteria (UID203)	5449	104	58	1.72	0.00	0.00	638199	0	318	318	1972	1972	2006	2006	3846	3846	64.6	2.40	90.97	11	796	103	1	0	0	0	0
STP572.12604_R.bin.14	k__Bacteria (UID203)	5449	104	58	41.43	10.00	30.00	1889394	0	898	898	2068	2068	2104	2104	5819	5819	61.7	2.53	94.87	11	2084	66	30	7	1	0	0
STP572.12604_R.bin.15	k__Bacteria (UID2495)	2993	143	89	96.56	0.00	0.00	1597831	0	18	18	123881	123881	88768	88768	300557	300557	43.9	0.82	91.43	11	1383	4	139	0	0	0	0
STP572.12604_R.bin.16	o__Clostridiales (UID1212)	172	263	149	65.78	0.67	100.00	1009424	0	19	19	99277	99277	53127	53127	203331	203331	34.8	1.13	88.51	11	920	70	192	1	0	0	0
STP572.12604_R.bin.17	root (UID1)	5656	56	24	8.33	0.00	0.00	360788	0	14	14	40325	40325	25770	25770	98348	98348	28.1	1.01	82.70	11	348	54	2	0	0	0	0
